factor,term,p_value,p_adj
DR 10+,IRF1,2.673375704076033e-05,0.02107106123121746
DR 11+,ZBTB16,7.591801615649538e-06,0.007743637647962529
DR 12+,RUNX2,3.4764733009964805e-08,6.698005226586552e-05
DR 12-,HSF1,6.549958754893529e-05,0.04206529067031622
DR 14+,SRF,2.664331800032968e-07,0.0004199955764779242
DR 15+,ELK3,5.914264446272601e-06,0.006409584093647931
DR 15-,RUNX2,4.1337614793296446e-13,1.4335884810315208e-09
DR 16+,KLF4,2.6519470030415735e-06,0.003099011780004179
DR 16-,STAT1,7.690768248701349e-07,0.0010258301648652416
DR 17-,MYBL2,1.2470557974201122e-05,0.011381025014349866
DR 19+,HSF2,4.119384179859282e-17,3.5715060839379976e-13
DR 20-,NR5A2,1.686750425925163e-10,4.874708730923721e-07
DR 21-,MBD2,5.967341790385361e-05,0.03979757947895468
DR 22+,KDM5B,6.436950470818813e-17,3.720557372133274e-13
DR 23+,RFXAP,2.6808060380658986e-06,0.003099011780004179
DR 23-,NFIL3,3.743666515814912e-07,0.0005409598115352548
DR 25+,NOTCH1,1.703558012400599e-05,0.014066521873822091
DR 26-,NR2F2,6.15372882297444e-08,0.00010670565779037679
DR 30+,POU2F2,6.7163142138574926e-09,1.4557611058536115e-05
DR 4+,TFE3,8.055803441026825e-05,0.04988843988121612
DR 5-,E2F1,3.829768437671361e-05,0.026563273883688558
DR 9+,HOXA10,3.1937405630412964e-19,5.537946136313608e-15
