factor,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 10-,,,,,False,Regulation Of DNA-templated Transcription (GO:0006355),0.011691817747325845,,,,,1,"JUND, FOSB, CD81, SFRP1, MT-ND4, MT-ND1, MT-CO3, MT-ND2",0.68143153,True
DR 11+,,,,,False,,,,,ZBTB16,0.007743637647962529,1,"CRABP1, ELFN1-AS1, SCGB1B2P, GSTM3, AL589182.1, PPP1R1B, TRGC1, SPINK8",5.9437103,True
DR 11-,,,,,False,Negative Regulation Of Cell Adhesion (GO:0007162),0.003434995139977818,,,,,1,"TNC, LAMB3, HLA-A, FN1, CTSD, LGALS3BP, MUC1, CD81",1.5135871,True
DR 12+,,,,,False,,,,,RUNX2,6.698005226586552e-05,1,"MGP, MUCL1, APOD, SCGB2A2, SCRG1, PLA2G2A, CLU, ALB",4.740424,True
DR 15+,,,,,False,,,,,ELK3,0.006409584093647931,1,"AQP5, AARD, SFRP1, TTYH1, SPDEF, PCSK1N, PEG10, PART1",0.6999402,True
DR 15-,,,,,False,,,,,RUNX2,1.4335884810315208e-09,1,"FDCSP, ODAM, WFDC2, TCN1, MMP7, RARRES1, CXCL17, CTSC",20.863483,True
DR 17+,,,,,False,Cellular Response To Decreased Oxygen Levels (GO:0036294),0.00046572277314375123,,,,,1,"CA9, NDUFA4L2, NRN1, NDRG1, SLC2A1, CASP14, ERO1A, EGLN3",8.842148,True
DR 20+,,,,,False,Skeletal Myofibril Assembly (GO:0014866),0.004999907920148112,,,,,1,ACTL8,0.3966474,True
DR 21+,,,,,False,Actin Filament Bundle Assembly (GO:0051017),0.015896407790404386,,,,,1,"CTNNB1, MDM2, AARS, HSPA4, HERC6, CAPN6, EHF, NOL11",1.1401218,True
DR 22+,,,,,False,,,,,KDM5B,3.720557372133274e-13,1,"CALML5, HIST1H1C, HIST1H2BK, GLYATL2, SPTSSB, CXCL17, SMIM22, LBH",0.4954851,True
DR 22-,,,,,False,Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209),0.00021935359634452258,,,,,1,"SPIB, CD70, NPB, CSAG3, TMEM176A, TFPI2, PLEK, MOXD1",8.597349,True
DR 23-,,,,,False,,,,,NFIL3,0.0005409598115352548,1,,0.03895754,False
DR 24+,,,,,False,Mucosal Immune Response (GO:0002385),0.0004982414957516654,,,,,1,"SCGB1D2, LTF, CLU, SCGB2A2, HP, SCGB2A1, CYP4Z1, TF",2.8719466,True
DR 24-,,,,,False,Mitotic Spindle Organization (GO:0007052),5.656268620777459e-05,,,,,1,"PTTG1, HIST1H2BJ, NMU, CDKN3, TROAP, BIRC5, CDC20, CCNB2",1.3803436,True
DR 25-,,,,,False,Vasodilation (GO:0042311),0.017026093169470187,,,,,1,"AKR1C2, OLAH, AKR1C1, CDKN1A, HMOX1, NUPR1, LINC01705, DEFB1",1.3395274,True
DR 26+,,,,,False,Secondary Alcohol Biosynthetic Process (GO:1902653),2.9946515312960775e-07,,,,,1,"LY6D, S100A9, CRABP2, SLC22A18AS, SCD, G6PD, S100A8, FADS2",0.50801784,True
DR 27-,,,,,False,Response To Endoplasmic Reticulum Stress (GO:0034976),0.0026551119660221346,,,,,1,"TRIB3, GDF15, PSAT1, ASNS, DDIT3, NUPR1, MTHFD2, STC2",5.285954,True
