factor,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
DR 18-,GO:BP,GO:0007051,spindle organization,0.0032747742474735185,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the spindle, the array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during DNA segregation and serves to move the duplicated chromosomes apart."" [GOC:go_curators, GOC:mah]",46,49,20,1865,0.40816326530612246,0.43478260869565216,query_1,"['GO:0000226', 'GO:0022402']"
DR 18-,GO:BP,GO:0051276,chromosome organization,0.008285106904023098,True,"""A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",87,56,36,1865,0.6428571428571429,0.41379310344827586,query_1,['GO:0006996']
DR 18-,GO:BP,GO:0048285,organelle fission,0.01184762583502972,True,"""The creation of two or more organelles by division of one organelle."" [GOC:jid]",87,56,33,1865,0.5892857142857143,0.3793103448275862,query_1,['GO:0006996']
DR 18-,GO:BP,GO:0090231,regulation of spindle checkpoint,0.028163248150809055,True,"""Any process that modulates the rate, frequency, or extent of the spindle checkpoint, a cell cycle checkpoint that delays the metaphase/anaphase transition until the spindle is correctly assembled and oriented, and chromosomes are attached to the spindle."" [GOC:ascb_2009, GOC:dph, GOC:tb]",10,84,9,1865,0.10714285714285714,0.9,query_1,"['GO:0031577', 'GO:1901976']"
DR 18-,GO:BP,GO:2001251,negative regulation of chromosome organization,0.04220293809631798,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of chromosome organization."" [GOC:obol]",20,51,13,1865,0.2549019607843137,0.65,query_1,"['GO:0010639', 'GO:0033044', 'GO:0051276']"
DR 19+,GO:BP,GO:0002478,antigen processing and presentation of exogenous peptide antigen,4.736037566649049e-11,True,"""The process in which an antigen-presenting cell expresses a peptide antigen of exogenous origin on its cell surface in association with an MHC protein complex. The peptide is typically a fragment of a larger exogenous protein which has been degraded within the cell."" [GOC:add, ISBN:0781735149]",17,13,10,1865,0.7692307692307693,0.5882352941176471,query_1,"['GO:0019884', 'GO:0048002']"
DR 19+,GO:BP,GO:0048002,antigen processing and presentation of peptide antigen,2.445171553171757e-10,True,"""The process in which an antigen-presenting cell expresses peptide antigen in association with an MHC protein complex on its cell surface, including proteolysis and transport steps for the peptide antigen both prior to and following assembly with the MHC protein complex. The peptide antigen is typically, but not always, processed from an endogenous or exogenous protein."" [GOC:add, ISBN:0781735149, PMID:15771591]",23,13,11,1865,0.8461538461538461,0.4782608695652174,query_1,['GO:0019882']
DR 19+,GO:BP,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,4.231191082061468e-10,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or polysaccharide) on its cell surface in association with an MHC class II protein complex."" [GOC:add, ISBN:0781735149, PMID:15531770, PMID:15771591, PMID:16153240]",18,8,8,1865,1.0,0.4444444444444444,query_1,['GO:0019882']
DR 19+,GO:BP,GO:0019884,antigen processing and presentation of exogenous antigen,5.118293909461888e-10,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or lipid) of exogenous origin on its cell surface in association with an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]",18,13,10,1865,0.7692307692307693,0.5555555555555556,query_1,['GO:0019882']
DR 19+,GO:BP,GO:0019882,antigen processing and presentation,1.4722536060693462e-09,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or lipid) on its cell surface in association with an MHC protein complex."" [GO_REF:0000022, GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]",38,13,12,1865,0.9230769230769231,0.3157894736842105,query_1,['GO:0002376']
DR 19+,GO:BP,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,3.04568168999131e-08,True,"""The process in which an antigen-presenting cell expresses a peptide antigen of exogenous origin on its cell surface in association with an MHC class II protein complex. The peptide antigen is typically, but not always, processed from a whole protein."" [GOC:add, ISBN:0781735149, PMID:15771591]",14,8,7,1865,0.875,0.5,query_1,"['GO:0002478', 'GO:0002495']"
DR 19+,GO:BP,GO:0002503,peptide antigen assembly with MHC class II protein complex,4.1171123140606796e-08,True,"""The binding of a peptide to the antigen binding groove of an MHC class II protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591]",8,8,6,1865,0.75,0.75,query_1,"['GO:0002399', 'GO:0002495', 'GO:0002501']"
DR 19+,GO:BP,GO:0002399,MHC class II protein complex assembly,4.1171123140606796e-08,True,"""The aggregation, arrangement and bonding together of a set of components to form an MHC class II protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591]",8,8,6,1865,0.75,0.75,query_1,['GO:0002396']
DR 19+,GO:BP,GO:0002396,MHC protein complex assembly,7.97512382278594e-08,True,"""The aggregation, arrangement and bonding together of a set of components to form an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]",9,12,7,1865,0.5833333333333334,0.7777777777777778,query_1,['GO:0065003']
DR 19+,GO:BP,GO:0002501,peptide antigen assembly with MHC protein complex,7.97512382278594e-08,True,"""The binding of a peptide to the antigen binding groove of an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591]",9,12,7,1865,0.5833333333333334,0.7777777777777778,query_1,"['GO:0002396', 'GO:0048002', 'GO:0065003']"
DR 19+,GO:BP,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,8.641449790986221e-08,True,"""The process in which an antigen-presenting cell expresses a peptide antigen on its cell surface in association with an MHC class II protein complex. The peptide antigen is typically, but not always, processed from a whole protein."" [GOC:add, ISBN:0781735149, PMID:15531770, PMID:15771591]",16,8,7,1865,0.875,0.4375,query_1,"['GO:0002504', 'GO:0048002']"
DR 19+,GO:BP,GO:0019883,antigen processing and presentation of endogenous antigen,0.00037533742758168534,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or lipid) of endogenous origin on its cell surface in association with an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]",10,19,7,1865,0.3684210526315789,0.7,query_1,['GO:0019882']
DR 19+,GO:BP,GO:0002483,antigen processing and presentation of endogenous peptide antigen,0.0028255550915785408,True,"""The process in which an antigen-presenting cell expresses a peptide antigen of endogenous origin on its cell surface in association with an MHC protein complex. The peptide is typically a fragment of a larger endogenous protein which has been degraded within the cell."" [GOC:add, ISBN:0781735149]",8,19,6,1865,0.3157894736842105,0.75,query_1,"['GO:0019883', 'GO:0048002']"
DR 20+,GO:BP,GO:0010273,detoxification of copper ion,4.198983494379295e-14,True,"""Any process that reduces or removes the toxicity of copper ion. These include transport of copper away from sensitive areas and to compartments or complexes whose purpose is sequestration of copper ion."" [GOC:kmv, PMID:16367966]",8,8,8,1865,1.0,1.0,query_1,"['GO:0061687', 'GO:1990169']"
DR 20+,GO:BP,GO:1990169,stress response to copper ion,4.198983494379295e-14,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis caused by a copper ion stimulus."" [GOC:kmv, PMID:23437011]",8,8,8,1865,1.0,1.0,query_1,"['GO:0046688', 'GO:0097501']"
DR 20+,GO:BP,GO:0097501,stress response to metal ion,1.056835066507415e-12,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis caused by a metal ion stimulus."" [GOC:kmv]",8,8,8,1865,1.0,1.0,query_1,"['GO:0006950', 'GO:0010038']"
DR 20+,GO:BP,GO:0061687,detoxification of inorganic compound,2.8453251790584296e-12,True,"""Any process that reduces or removes the toxicity of inorganic compounds. These include transport of such compounds away from sensitive areas and to compartments or complexes whose purpose is sequestration of inorganic compounds."" [GOC:vw]",8,8,8,1865,1.0,1.0,query_1,['GO:0098754']
DR 20+,GO:BP,GO:0071276,cellular response to cadmium ion,6.8558787647788985e-12,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cadmium (Cd) ion stimulus."" [GOC:mah]",10,8,8,1865,1.0,0.8,query_1,"['GO:0046686', 'GO:0071248']"
DR 20+,GO:BP,GO:0071294,cellular response to zinc ion,6.8558787647788985e-12,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a zinc ion stimulus."" [GOC:mah]",8,8,8,1865,1.0,1.0,query_1,"['GO:0010043', 'GO:0071248']"
DR 20+,GO:BP,GO:0071280,cellular response to copper ion,6.8558787647788985e-12,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a copper ion stimulus."" [GOC:mah]",10,8,8,1865,1.0,0.8,query_1,"['GO:0046688', 'GO:0071248']"
DR 20+,GO:BP,GO:0006882,intracellular zinc ion homeostasis,2.5387146492368947e-10,True,"""A homeostatic process involved in the maintenance of a steady state level of zinc ions within a cell."" [GOC:ai, GOC:mah]",8,8,8,1865,1.0,1.0,query_1,"['GO:0030003', 'GO:0098771']"
DR 20+,GO:BP,GO:0046688,response to copper ion,2.5387146492368947e-10,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a copper ion stimulus."" [GOC:ai]",13,8,8,1865,1.0,0.6153846153846154,query_1,['GO:0010038']
DR 20+,GO:BP,GO:0046686,response to cadmium ion,2.0276002418631045e-09,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cadmium (Cd) ion stimulus."" [GOC:ai]",14,8,8,1865,1.0,0.5714285714285714,query_1,['GO:0010038']
DR 20+,GO:BP,GO:0010043,response to zinc ion,5.276330993761707e-09,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a zinc ion stimulus."" [GOC:sm]",14,8,8,1865,1.0,0.5714285714285714,query_1,['GO:0010038']
DR 20+,GO:BP,GO:0098754,detoxification,6.958912284900694e-05,True,"""Any process that reduces or removes the toxicity of a toxic substance. These may include transport of the toxic substance away from sensitive areas and to compartments or complexes whose purpose is sequestration of the toxic substance."" [GOC:dos]",34,8,8,1865,1.0,0.23529411764705882,query_1,"['GO:0008150', 'GO:0009636']"
DR 20+,GO:BP,GO:0071248,cellular response to metal ion,0.00023610676956571536,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a metal ion stimulus."" [GOC:mah]",34,8,8,1865,1.0,0.23529411764705882,query_1,"['GO:0010038', 'GO:0070887']"
DR 20+,GO:BP,GO:0045926,negative regulation of growth,0.001735999489264237,True,"""Any process that stops, prevents or reduces the rate or extent of growth, the increase in size or mass of all or part of an organism."" [GOC:go_curators]",43,8,8,1865,1.0,0.18604651162790697,query_1,"['GO:0040007', 'GO:0040008', 'GO:0048519']"
DR 20+,GO:BP,GO:0009636,response to toxic substance,0.0033927698591116762,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a toxic stimulus."" [GOC:lr]",51,8,8,1865,1.0,0.1568627450980392,query_1,['GO:0042221']
DR 20+,GO:BP,GO:0010038,response to metal ion,0.03491137688333748,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a metal ion stimulus."" [GOC:sm]",63,8,8,1865,1.0,0.12698412698412698,query_1,['GO:0042221']
