factor,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 8+,,,,,False,Mitotic Sister Chromatid Segregation (GO:0000070),1.9305914631290575e-23,chromosome segregation,1.057173353550403e-09,TP53,0.0016497663736004754,3,"DEPDC1, CENPF, CCNB1, TPX2, CDC20, NUF2, HMMR, CKAP2",5.6587152,True
DR 19+,,,,,False,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),1.7649133273911048e-10,antigen processing and presentation of exogenous peptide antigen,4.736037566649049e-11,RFXAP,0.008072752451678843,3,"HLA-DRA, HLA-DRB5, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQA2, HLA-DPB1, CD74",5.855751,True
DR 23-,,,,,False,Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483),3.5104129786965005e-06,antigen processing and presentation of endogenous peptide antigen via MHC class I,0.01075033658949216,CIITA,1.38345913982806e-05,3,"HLA-B, HLA-A, LGALS3BP, IFI6, TAP1, HLA-F, BST2, C1S",0.9997064,True
DR 24+,,,,,False,Mitotic Spindle Organization (GO:0007052),2.965837721016178e-11,spindle elongation,0.0017732258002276348,E2F1,0.0002243221395557766,3,"HIST1H1B, HIST1H4C, HIST1H1A, HIST1H1E, HIST1H3B, HIST1H1D, PKMYT1, RRM2",8.334083,True
DR 30+,,,,,False,Supramolecular Fiber Organization (GO:0097435),0.00018885875262649883,mesenchyme migration,0.009241942228189895,ELK1,0.0016497663736004754,3,"ACTG2, TAGLN, MYL9, ACTA1, CNN1, ACTA2, MYLK, TPM2",10.393151,True
DR 39-,,,,,False,Epidermis Development (GO:0008544),0.023891756260217497,neutrophil aggregation,0.028765720466234806,CEBPE,8.710524254500963e-05,3,"S100A8, S100A9, S100A7, ORM1, CHI3L2, OLFM4, PI3, SAA2",33.11932,True
DR 45+,,,,,False,Response To Unfolded Protein (GO:0006986),1.63683484937751e-05,protein refolding,0.0017463894179286091,HSF2,8.997975357549848e-13,3,"HSPA6, HSPA1A, HSPA1B, HSPB1, DDIT4, ID3, ID1, RGS2",20.404661,True
DR 5-,,,,,False,DNA Metabolic Process (GO:0006259),1.672875927759404e-21,DNA replication,9.575758945480269e-06,,,2,"GINS2, PCNA, CDC45, CDC6, TYMS, MCM5, CCNE2, DHFR",4.788057,True
DR 6-,,,,,False,Retina Homeostasis (GO:0001895),0.004648100940339905,,,RARA,8.075648412981534e-08,2,"CSN3, PRR27, PIP, APOD, AZGP1, UGT2B28, ACY3, LRRC26",8.655937,True
DR 7+,,,,,False,Ubiquitin-Dependent ERAD Pathway (GO:0030433),0.0003932695500972222,,,BRCA1,0.00046398884848982753,2,"SDF2L1, HSPA5, HERPUD1",0.41620547,True
DR 10-,,,,,False,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902043),0.009321453202376257,,,FOSL1,0.0001959991106684562,2,"ELN, EFEMP1, IGFBP5, SCRG1, GFRA1, CTGF, C2orf40, FBLN5",1.5376651,True
DR 11-,,,,,False,Negative Regulation Of Endopeptidase Activity (GO:0010951),0.008124827710390798,,,RUNX2,2.872164869484296e-05,2,"FDCSP, ODAM, MMP7, WFDC2, SERPINA1, CTSC, RARRES1, TNC",18.603636,True
DR 12-,,,,,False,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238),0.00034051117989875723,,,TFE3,0.00533675892326182,2,"UPP1, CAV1, TNFRSF12A, LAMB3, GAL, PMAIP1, UNC5B-AS1, SFN",1.1495627,True
DR 18-,,,,,False,Mitotic Spindle Organization (GO:0007052),5.021561995980988e-16,mitotic sister chromatid segregation,1.320054832885896e-09,,,2,"UBE2C, CDK1, KPNA2, PLK1, CDCA3, CDC20, FAM83D, CCNB1",11.491238,True
DR 20+,,,,,False,Cellular Response To Zinc Ion (GO:0071294),2.7282705327306125e-20,stress response to copper ion,4.198983494379295e-14,,,2,"MT1G, MT1E, MT1M, MT1F, MT1X, MT2A, MT1H, MT1A",10.019393,True
DR 21-,,,,,False,Defense Response To Virus (GO:0051607),1.341257463784931e-10,,,KLF4,0.0006169110308350323,2,"CXCL10, CXCL11, CXCL9, IDO1, GBP4, IFNL1, CCL5, CCL8",20.933521,True
DR 23+,,,,,False,Negative Regulation Of Protein Dephosphorylation (GO:0035308),0.006661566959265526,,,KDM5B,0.04929766467138879,2,"CALML5, PPP1R1B",0.15873744,True
