factor,term,p_value,p_adj
DR 10+,DDIT3,2.231035273421252e-05,0.01369620812062394
DR 11-,RUNX2,2.1640934767298431e-13,1.2620993156288446e-09
DR 13+,HDAC3,2.3228933185390265e-09,3.612563688991894e-06
DR 16+,NR2F1,3.93598973705983e-08,4.590938429306586e-05
DR 18+,TFAP2A,4.2976001592558133e-10,9.114037865010874e-07
DR 21-,TBX2,3.1067165594874576e-07,0.00025883387107044075
DR 22+,RUNX2,7.749570840367652e-13,3.615639771281932e-09
DR 22-,BHLHE40,8.766925451118843e-05,0.047561589982255896
DR 23+,ARNT,2.8389330647363566e-19,2.2075543511389907e-15
DR 26-,SRF,6.515186200411406e-09,8.940368451952782e-06
DR 27+,RUNX2,1.972522814025304e-08,2.556389566976794e-05
DR 28+,ZEB2,8.687807155842181e-06,0.005477545008959092
DR 3+,TP53,6.253359481261768e-07,0.0004558699061839829
DR 3-,FOXA2,4.792465546131545e-08,5.0817561936434855e-05
DR 31-,CIITA,7.38775761461655e-12,2.1542701204221864e-08
DR 33+,NOTCH1,4.5470261831640686e-07,0.0003421710541962948
DR 35-,KLF4,2.468684781821516e-08,3.0310251889648594e-05
DR 36-,CEBPE,4.506798557136352e-07,0.0003421710541962948
DR 38+,NR2F2,9.365173457506472e-13,3.641179440278516e-09
DR 39+,KDM5B,2.2394170030333344e-10,5.224111984676162e-07
DR 39-,HNF1B,5.401767192567631e-05,0.03073473782151651
DR 40-,POU3F1,1.0472782863519747e-07,0.00010179544943341192
DR 41-,MBD2,1.2914453460387016e-07,0.00011587245012458011
DR 44-,SATB1,4.16244695899971e-22,4.8550781329772625e-18
DR 46+,NFIA,3.4229585033361603e-06,0.002218077110161832
DR 46-,POU2F2,5.39106190103048e-08,5.467943131619089e-05
DR 48+,SREBF1,1.6818455297774964e-09,3.0180071168191873e-06
DR 48-,NFATC4,3.7890986744187886e-25,8.839209387684151e-21
DR 49+,JDP2,1.2554834611622747e-07,0.00011587245012458011
DR 49-,KDM5B,5.12301055401846e-10,9.959132517011887e-07
DR 5+,E2F4,5.965804521030177e-05,0.03313578282537904
DR 51-,IRF1,1.6772627670034906e-11,4.3474650920730476e-08
DR 56+,SSRP1,3.985734357265028e-05,0.023244802771569643
DR 6-,SNAI2,4.6613992850250144e-08,5.0817561936434855e-05
DR 8-,CREM,2.1549724136915444e-09,3.5907997476140244e-06
