title,variable,value
DR 55-,27,0.993179862081281
DR 17-,24,0.8554108388858136
DR 38+,31,0.8477387743034979
DR 39+,26,0.7232896148883788
DR 7+,6,0.6453872308562922
DR 27+,25,0.6231523376568935
DR 39+,29,0.6150689961772756
DR 17-,25,0.6073888279680345
DR 49+,22,0.6026340805881196
DR 4+,33,0.5846551105512392
DR 17-,28,0.5808227496686532
DR 17-,29,0.5691229322285009
DR 17+,22,0.5530839315472356
DR 17-,26,0.5356432354887171
DR 33+,27,0.49460310219575404
DR 39+,23,0.48345663167287894
DR 2-,26,0.48270911731118343
DR 54-,23,0.4636801599231916
DR 22+,27,0.45937734358233295
DR 49-,29,0.448815355625869
DR 49-,23,0.4485676909475284
DR 17-,23,0.4234986040125227
DR 45+,15,0.4066710583484803
DR 43-,28,0.40060333565870404
