factor,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 50+,,,,,False,Response To Endoplasmic Reticulum Stress (GO:0034976),1.2023599300335364e-05,,,,,1,"DDIT3, TRIB3, GDF15, HERPUD1, HSPA5, AC015912.3, GFPT1, KLF10",2.3950553,True
DR 51+,,,,,False,Positive Regulation Of Supramolecular Fiber Organization (GO:1902905),0.03129770957196901,,,,,1,"SPIB, CDC42EP4, CSTA, NPB, RBP5, REM1, CLDN3, FXYD3",2.1520958,True
DR 51-,,,,,False,,,,,IRF1,4.3474650920730476e-08,1,,0.017923698,False
DR 1-,,,,,False,,,,,,,0,,0.003702926,False
DR 2+,,,,,False,,,,,,,0,,0.0028176452,False
DR 5-,,,,,False,,,,,,,0,,0.042330272,False
DR 6+,,,,,False,,,,,,,0,"MALAT1, XIST, NEAT1, AC245014.3, AC007952.4, Z93241.1, N4BP2L2, AC009948.3",12.773527,True
DR 7+,,,,,False,,,,,,,0,"IQCN, AC020916.1, PHLDB2, NABP1, ANKRD36C, AC016831.1, VMP1, KCNQ1OT1",8.545133,True
DR 9-,,,,,False,,,,,,,0,"SFRP1, SLPI, MB, SCGB3A1, MESP1, SLC34A2, MSMB, PPP1R1B",0.9508623,True
DR 11+,,,,,False,,,,,,,0,,0.0072349766,False
DR 12+,,,,,False,,,,,,,0,,0.05054205,False
DR 12-,,,,,False,,,,,,,0,"JUND, CD81, BRI3, CTSD, MUC1, METRN, SOX4, MRPL12",0.9386669,True
DR 13-,,,,,False,,,,,,,0,"CA9, CASP14, NDRG1, NDUFA4L2, SLC2A1, ADM, BNIP3, HILPDA",7.9152946,True
DR 15-,,,,,False,,,,,,,0,,0.0003746449,False
DR 17+,,,,,False,,,,,,,0,,0.051575053,False
DR 19+,,,,,False,,,,,,,0,"ELF5, SELENBP1, PPP1R1B, NDRG2, SFRP1, EHF, S100B, ZG16B",1.5001651,True
DR 19-,,,,,False,,,,,,,0,"LGALS7, CDA, LGALS7B, PTN, IGFL2-AS1, MMP12, TNC, TUBA4A",0.6439486,True
DR 20+,,,,,False,,,,,,,0,"S100A6, S100A2, LINC01133, CALML5, S100A13, ADIRF, S100A16, LGALS1",3.2290256,True
DR 20-,,,,,False,,,,,,,0,,0.024508234,False
DR 24+,,,,,False,,,,,,,0,,0.0002987794,False
DR 24-,,,,,False,,,,,,,0,"SCGB2A2, TFF3, SCGB1D2, TFF1, PIP, SCGB3A1, AGR3, ANKRD30A",33.283527,True
DR 25+,,,,,False,,,,,,,0,,0.0018268161,False
DR 26+,,,,,False,,,,,,,0,,0.0060249483,False
DR 27-,,,,,False,,,,,,,0,,0.006523859,False
DR 28-,,,,,False,,,,,,,0,,0.01028638,False
DR 30-,,,,,False,,,,,,,0,,0.0056713573,False
DR 31+,,,,,False,,,,,,,0,,0.009442871,False
DR 32+,,,,,False,,,,,,,0,RARRES3,0.1412865,True
DR 32-,,,,,False,,,,,,,0,"IGFBP5, TNC, DSC3, CAVIN2, DST, LAMA3, LAMB3, AHNAK",0.41787937,True
DR 33-,,,,,False,,,,,,,0,,0.0006837142,False
DR 34+,,,,,False,,,,,,,0,,0.00156061,False
DR 35+,,,,,False,,,,,,,0,,0.0019705638,False
DR 36+,,,,,False,,,,,,,0,,0.005515672,False
DR 37+,,,,,False,,,,,,,0,,0.0021827684,False
DR 38-,,,,,False,,,,,,,0,,0.0008656999,False
DR 40+,,,,,False,,,,,,,0,,0.0037196472,False
DR 41+,,,,,False,,,,,,,0,,0.0068912334,False
DR 42+,,,,,False,,,,,,,0,,0.0021901284,False
DR 43+,,,,,False,,,,,,,0,,0.00094705017,False
DR 44+,,,,,False,,,,,,,0,,0.0017431842,False
DR 45-,,,,,False,,,,,,,0,,0.0012318791,False
DR 47+,,,,,False,,,,,,,0,,0.0050107413,False
DR 50-,,,,,False,,,,,,,0,,0.005131061,False
DR 52+,,,,,False,,,,,,,0,,0.0009800283,False
DR 52-,,,,,False,,,,,,,0,"HIST1H1C, HIST1H4H, HIST1H2BJ, HIST3H2A, HIST1H2BC, HIST1H2BK, HIST2H2AA4, HIST1H2AC",6.925934,True
DR 53+,,,,,False,,,,,,,0,,0.00018330467,False
DR 54+,,,,,False,,,,,,,0,,0.05136439,False
DR 54-,,,,,False,,,,,,,0,,0.0011038928,False
DR 56-,,,,,False,,,,,,,0,,0.00031542717,False
DR 38+,31,0.848,,,True,Hydrogen Peroxide Catabolic Process (GO:0042744),0.0006600354097721839,,,NR2F2,3.641179440278516e-09,2,"HBB, HBA2, HBA1, ALAS2, HBM, SNCA, TRIM58, HEMGN",70.46613,True
DR 39+,26,0.723,,,True,Epidermis Development (GO:0008544),0.01049989605597755,,,KDM5B,5.224111984676162e-07,2,CALML5,0.15253158,True
DR 17-,24,0.855,,,True,Regulation Of Cell Morphogenesis (GO:0022604),0.03490917558998777,,,,,1,"PRR27, CSN3, SELENBP1, ELF3, LRRC26, CSN1S1, CLDN3, ZG16B",0.40642938,True
DR 55-,27,0.993,,,True,B Cell Receptor Signaling Pathway (GO:0050853),0.032098195407031814,,,,,1,"IGLV3-21, IGLV3-9, IGHV3-48, IGHV3-21, IGHV3-15, FCRL5, DNAAF1, IGHG1",2.8429656,True
