# dim_signature_spearman | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,EMT_B_EPITHELIAL,EMT_B_HYBRID,EMT_B_MESENCHYMAL,EMT_A_EPITHELIAL,EMT_A_HYBRID,EMT_A_MESENCHYMAL,EMT_C_EPITHELIAL,EMT_C_HYBRID,EMT_C_MESENCHYMAL,EMT_SCORE_B,EMT_SCORE_A,EMT_SCORE_C
DR 46,-0.0827,0.0598,0.0231,-0.067,0.0531,0.0073,-0.0781,-0.0057,0.0175,0.0715,0.0463,0.0662
DR 17,0.1274,-0.0784,-0.1211,0.1327,-0.0556,-0.11,0.1263,-0.0419,-0.1321,-0.1644,-0.1564,-0.1746
DR 19,0.1724,-0.001,-0.0221,0.1463,0.0008,-0.0151,0.1254,-0.0168,0.0322,-0.1394,-0.1132,-0.0689
DR 52,-0.1177,-0.0687,-0.0037,-0.1168,-0.0374,0.0392,-0.1049,-0.0435,-0.0353,0.0817,0.1087,0.0525
DR 28,0.0975,0.0602,-0.0745,0.0714,0.0341,-0.1342,0.067,0.0489,0.008,-0.1191,-0.1365,-0.0413
DR 12,-0.175,-0.015,0.1155,-0.1548,0.0366,0.1627,-0.1516,0.0537,0.0745,0.2052,0.2162,0.1633
DR 30,0.0752,0.0119,0.0027,0.0628,0.028,-0.0087,0.0575,-0.0103,0.0131,-0.052,-0.0477,-0.0331
DR 16,-0.1978,-0.0769,-0.0839,-0.1736,-0.0196,-0.062,-0.1785,-0.0926,-0.1055,0.0864,0.0839,0.0577
DR 13,-0.0244,-0.0205,-0.0336,-0.0375,-0.033,-0.0546,-0.0299,-0.0076,-0.0414,-0.0099,-0.0107,-0.0128
DR 18,0.1258,0.0349,-0.0496,0.115,-0.0243,-0.0978,0.0965,0.0009,-0.017,-0.1244,-0.1451,-0.0824
DR 61,0.078,-0.0803,-0.0252,0.0565,-0.0323,0.0074,0.0777,-0.0202,-0.0373,-0.0726,-0.0319,-0.0818
DR 33,-0.0163,-0.0037,-0.0032,-0.0138,-0.027,-0.0189,-0.0175,-0.0167,-0.0137,0.0103,0.0004,0.004
DR 55,-0.1254,0.0293,0.0063,-0.1215,0.0238,0.0248,-0.1046,0.0328,0.0102,0.0958,0.1019,0.085
DR 59,0.0959,-0.0181,-0.0104,0.0891,0.0065,-0.0224,0.1065,0.058,-0.0415,-0.0675,-0.0684,-0.0986
DR 53,0.215,-0.0087,-0.0874,0.1998,-0.0456,-0.1504,0.1659,-0.0286,-0.0356,-0.2132,-0.2385,-0.1449
DR 50,0.0596,-0.0366,-0.0241,0.0506,-0.0648,-0.0122,0.0464,-0.0323,-0.0115,-0.0588,-0.0461,-0.0425
DR 1,-0.1208,0.032,0.0904,-0.1026,-0.0066,0.1128,-0.0889,-0.0041,0.0567,0.1436,0.1375,0.1006
DR 9,-0.1063,-0.0599,0.0247,-0.0995,-0.0484,0.0538,-0.0728,-0.0444,-0.0484,0.0935,0.1049,0.0218
DR 34,-0.013,0.061,0.0094,0.0017,0.0101,-0.0156,-0.0067,0.0222,-0.0213,0.0133,-0.0141,-0.0118
DR 15,0.1468,0.0158,-0.0256,0.1427,-0.0138,-0.0783,0.1384,0.0158,-0.0066,-0.1244,-0.1501,-0.1072
DR 58,0.0134,-0.0936,-0.0811,0.0405,0.0149,-0.0172,-0.0042,-0.0463,-0.0793,-0.0634,-0.0408,-0.0521
DR 35,-0.0021,0.0728,0.0827,-0.004,0.0395,0.0474,0.0073,0.0608,0.0882,0.0584,0.0343,0.0583
DR 7,-0.0347,-0.0463,-0.0997,-0.0275,-0.1385,-0.0995,-0.0094,-0.0646,-0.1455,-0.0434,-0.043,-0.0934
DR 39,0.1337,0.0194,0.0142,0.1226,0.0105,-0.0251,0.09,0.0325,0.0268,-0.0869,-0.1034,-0.047
