factor,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 3+,,,,,False,Mitotic Sister Chromatid Segregation (GO:0000070),1.8066866941398318e-25,mitotic sister chromatid segregation,1.1420788658903973e-12,TP53,0.00012419882755437258,3,"PLK1, CDC20, CCNB1, UBE2C, NEK2, PTTG1, KIF20A, CCNB2",10.27683,True
DR 10+,,,,,False,Supramolecular Fiber Organization (GO:0097435),3.613924922781104e-05,mesenchyme migration,0.01570157397797549,ELK1,0.0013782439996917952,3,"TAGLN, ACTG2, CNN1, ACTA2, MYL9, TPM2, ACTA1, MYLK",12.186572,True
DR 11-,,,,,False,Defense Response To Virus (GO:0051607),1.0940285191506354e-27,negative regulation of viral genome replication,8.804658924336397e-07,PRDM1,0.04206782750537609,3,"IFIT1, OASL, ISG15, IFNL1, MX1, IFIT2, RSAD2, IFIT3",7.2244263,True
DR 24-,,,,,False,Mucosal Immune Response (GO:0002385),0.0002769045654698373,acute-phase response,0.0013954183676158178,NR5A2,0.0001322968540687102,3,"SAA2, SAA1, LBP, LTF, HP, CLU, CFB, RARRES1",7.2248607,True
DR 25+,,,,,False,Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway (GO:0002484),4.708344052770111e-09,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",6.846532970802364e-05,CIITA,1.3546386504283348e-09,3,"HLA-B, HLA-A, HLA-C, HLA-F, LGALS3BP, IFI6, MDK, BST2",1.119017,True
DR 29+,,,,,False,Intermediate Filament Organization (GO:0045109),3.7785405115415805e-13,intermediate filament organization,0.00014661772469038532,POU3F1,4.756234068365258e-05,3,"KRT16, KRT14, KRT6A, KRT17, KRT6B, KRT5, LGALS7B, S100A2",11.472607,True
DR 32+,,,,,False,Response To Unfolded Protein (GO:0006986),1.2886939965883875e-09,protein refolding,0.00717245813498413,SATB1,4.8330676041039584e-12,3,"HSPA6, HSPA1A, HSPA1B, DNAJB1, SERPINH1, ID1, CYR61, HSPB1",22.433468,True
DR 1-,,,,,False,Extracellular Matrix Organization (GO:0030198),8.95922441811328e-10,collagen fibril organization,0.0001111966743659272,,,2,"COL1A2, COL3A1, DCN, COL1A1, SFRP2, AEBP1, MMP11, CTSK",13.086723,True
DR 2-,,,,,False,Inflammatory Response (GO:0006954),1.3431238353201752e-09,dendritic cell antigen processing and presentation,0.0008036590377634188,,,2,"C1QC, C1QB, APOC1, IL1B, C1QA, CCL3, AIF1, CCL3L1",28.354763,True
DR 13-,,,,,False,Retina Homeostasis (GO:0001895),0.00039342543085952035,,,POU2F2,0.00012419882755437258,2,"MUCL1, SCGB3A1, PIP, DCD, AZGP1, ZG16B, FAM3D, SLPI",24.580126,True
DR 14+,,,,,False,Purine Nucleotide Metabolic Process (GO:0006163),0.006764052604792688,,,GLI3,1.4359301370052365e-07,2,"RBP1, G6PD",0.20508641,True
DR 18+,,,,,False,Defense Response To Virus (GO:0051607),1.376509077490757e-11,,,KLF4,0.023409963752474103,2,"CXCL10, IDO1, CXCL11, GBP1, UBD, WARS, GBP4, TAP1",13.8639,True
DR 20-,,,,,False,Intermediate Filament Organization (GO:0045109),3.444867566217366e-08,,,NFATC4,0.00014082604687712418,2,"CST6, KLK10, KLK5, KLK6, KLK7, LCN2, SBSN, KLK11",13.155598,True
DR 21+,,,,,False,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),1.6899540175037785e-13,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,5.850392879100648e-12,,,2,"HLA-DQA1, HLA-DRB1, HLA-DRA, CD74, HLA-DRB5, HLA-DQB1, HLA-DQA2, HLA-DPA1",2.1176865,True
DR 23-,,,,,False,Regulation Of Wound Healing (GO:0061041),0.026443118011944145,,,SNAI1,1.516461358188858e-05,2,"CLDN3, MESP1, TACSTD2, AARD, LRRC26, TM4SF1, CDC42EP1, KRT23",0.83932126,True
DR 27-,,,,,False,Androgen Receptor Signaling Pathway (GO:0030521),0.006985669526603246,,,CTNNB1,3.284078269570935e-05,2,"SCGB2A2, SCGB1D2, HP, SCGB2A1, PTN, C2orf40, COL14A1, SBSPON",8.12911,True
DR 29-,,,,,False,Lactation (GO:0007595),0.007496127196881399,,,KDM5B,3.144334544851125e-06,2,"CALML5, CSN3, MSMB",0.16938762,True
DR 30+,,,,,False,Cellular Response To Zinc Ion (GO:0071294),1.3642340731121452e-19,detoxification of copper ion,3.887852691118647e-14,,,2,"MT1G, MT1X, MT1M, MT1E, MT2A, MT1F, MT1A, MT1H",18.289951,True
DR 2+,,,,,False,ERAD Pathway (GO:0036503),0.00018758134173716247,,,,,1,"HSPA5, HERPUD1",0.2478785,True
DR 4-,,,,,False,Cellular Response To Prostaglandin Stimulus (GO:0071379),0.004428707426371286,,,,,1,"AKR1C2, AKR1C3, NQO1, CRYAB, LGALS3, CALB2, FABP5",0.34065247,True
DR 5+,,,,,False,DNA Metabolic Process (GO:0006259),5.615820721465884e-16,,,,,1,"HIST1H4C, TYMS, HIST1H1B, FAM111B, TK1, GINS2, CLSPN, MYBL2",7.391097,True
DR 5-,,,,,False,,,,,EWSR1,9.269422114368272e-06,1,,0.03831256,False
DR 6-,,,,,False,Regulation Of Transcription By RNA Polymerase II (GO:0006357),5.143069081342034e-06,,,,,1,"CXCL1, CCL20, TNFAIP6, PTX3, CXCL2, CXCL8, CXCL3, NFKBIA",12.092858,True
DR 7+,,,,,False,Regulation Of Transcription By RNA Polymerase II (GO:0006357),0.00563435327980385,,,,,1,"BRI3, MUC1, CEBPD, JUND, SFRP1, SOX4, CNFN, FOSB",1.1006808,True
DR 7-,,,,,False,DNA Metabolic Process (GO:0006259),0.00022113953898010566,,,,,1,"ACTL8, CCDC86, UCHL1, DCAF13, MCM5, OAT, GMPS, MAOB",1.6035135,True
DR 8-,,,,,False,Regulation Of Transcription By RNA Polymerase II (GO:0006357),3.0115218602354106e-13,,,,,1,"FOS, EGR1, JUN, ATF3, ZFP36, RASD1, IER2, DUSP1",3.0977714,True
DR 9+,,,,,False,,,,,SNAI2,0.004846037118396222,1,,0.021114206,False
DR 15+,,,,,False,Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242),0.0017750545382191668,,,,,1,"TFF2, CRYAB, NUPR1, APOBEC3A, CCL5, LINC00518, SBSN, IGFL2-AS1",3.6779528,True
DR 15-,,,,,False,,,,,ELF3,0.040475124103603134,1,"EHF, NDRG2, PDCD4, ELF5, PIK3R1, CTNNB1, MSH2, RMI1",0.6289522,True
DR 16+,,,,,False,Apical Junction Assembly (GO:0043297),0.003468346890559938,,,,,1,"ANXA1, TM4SF1, TACSTD2, CLDN4, TCN1, EMP1, EDN1, CLDN1",0.8009456,True
DR 17+,,,,,False,,,,,RUNX2,3.314215114653868e-10,1,"FDCSP, ODAM, CSN3, WFDC2, MMP7, AKR1C1, RARRES1, SCG5",25.998348,True
DR 17-,,,,,False,,,,,HES1,0.0064108273053444945,1,LINC01405,0.4108182,True
