dim	var	var_frac	pca_var_ratio	eta2_cohort	eta2_cohort_pca	rho_n_genes_by_counts	rho_n_genes_by_counts_pca	rho_total_counts	rho_total_counts_pca	rho_pct_counts_mt	rho_pct_counts_mt_pca	rho_pct_counts_ribo	rho_pct_counts_ribo_pca	rho_size_factors	rho_size_factors_pca	rho_cnv_score	rho_cnv_score_pca	rho_cnv_corr	rho_cnv_corr_pca
33	1.79887	0.01184	0.00162	0.00126	0.02121	0.00622	-0.00807	0.01751	0.00719	0.05821	0.04886	-0.07750	-0.04199	0.01078	-0.00280	-0.01495	-0.06917	-0.00236	-0.03961
34	1.71271	0.01127	0.00157	0.00416	0.07360	-0.00873	0.04616	-0.02398	0.04003	0.09098	0.11643	-0.04636	-0.04111	-0.01782	0.03055	0.02237	0.00058	-0.01544	-0.01544
35	1.70140	0.01120	0.00153	0.00190	0.06092	0.01859	-0.05035	0.03816	-0.02116	-0.05715	-0.06594	-0.07966	-0.06380	0.02204	-0.04579	-0.01472	-0.02391	0.03215	-0.01335
36	1.52324	0.01002	0.00149	0.00573	0.08873	0.04670	0.05777	0.04209	0.05486	0.03539	0.04299	0.04301	0.00592	0.04864	0.05851	-0.01720	0.02925	0.03304	0.05614
37	1.68062	0.01106	0.00144	0.00243	0.02922	0.02867	0.05662	0.02919	0.06339	-0.02354	-0.04888	0.03849	0.03269	0.03699	0.07055	-0.02472	-0.01543	0.01637	0.04351
38	1.54193	0.01015	0.00141	0.00127	0.03412	-0.01211	0.00533	-0.02425	-0.01097	-0.02597	-0.02227	-0.06044	-0.06453	-0.00835	0.00729	0.05602	0.06378	-0.00263	0.00147
39	1.54891	0.01019	0.00137	0.00134	0.02368	-0.07066	-0.01384	-0.05734	-0.00809	-0.04797	-0.02192	0.00501	-0.04160	-0.06210	-0.00216	-0.04426	0.00189	-0.03199	0.02132
40	1.58442	0.01043	0.00135	0.00248	0.04404	0.01084	0.02915	0.01463	0.02596	-0.04503	-0.00480	-0.04646	-0.02361	0.01582	0.03063	0.05376	0.03039	0.01749	0.03450
41	1.53626	0.01011	0.00133	0.00148	0.01824	0.02243	0.00888	0.01755	0.00137	0.02162	0.02907	-0.02284	0.01309	0.01536	0.00236	0.01621	-0.01378	0.01692	0.01576
42	1.45067	0.00955	0.00132	0.00425	0.08594	-0.08097	-0.00350	-0.07426	0.00428	-0.03440	-0.00799	0.00595	0.00797	-0.06916	0.00597	0.00182	-0.00173	-0.05919	-0.01609
43	1.44962	0.00954	0.00130	0.00097	0.02193	0.02100	0.00048	0.01367	-0.00955	0.04433	0.03661	-0.04619	-0.03669	0.01491	-0.00680	0.03795	-0.01986	0.02289	-0.01317
44	1.35587	0.00892	0.00125	0.00218	0.03089	0.04301	0.01745	0.04522	0.01860	0.02731	0.02340	0.04248	0.07465	0.03766	0.01343	-0.00013	-0.04294	-0.00870	-0.07202
45	1.36380	0.00897	0.00123	0.00107	0.02864	0.01624	0.01198	0.01094	0.01717	-0.02221	-0.03625	-0.02803	0.00634	0.01507	0.00817	0.00268	-0.02419	0.02061	0.01871
