# dim_geneset_signed_significance | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,LIM_STEM,FMASC
DR 18,0.0968,0.038,-0.0,-0.447,-0.0968,-0.0,0.9943,0.0342,-0.0,-0.0
DR 61,-1.6979,-0.447,-1.0117,-1.5636,-3.4852,0.1507,1.9887,0.2473,0.0743,0.2145
DR 33,0.687,0.6262,1.0117,-0.0628,0.0,-0.0,0.48,0.2473,-0.0,-0.0
DR 55,-0.687,-0.447,-0.5999,-2.667,-4.5855,0.2638,1.2062,0.1104,0.6725,-0.2773
DR 59,-0.447,-0.0942,-0.2638,-2.667,-3.4852,-0.0628,-0.48,-0.6581,-0.0,0.1584
DR 53,0.9733,0.447,0.5999,2.667,3.4852,-0.1507,-0.9943,-0.0,-0.0,0.2145
DR 50,-3.243,-4.5147,-0.5999,-0.0628,-0.358,0.1507,0.8058,0.9169,-19.8971,0.0035
DR 1,0.2417,-0.0,0.0646,-0.0,0.0968,1.4118,1.4348,-0.0,1.9071,1.9952
DR 9,0.9733,1.0339,0.5999,-0.2145,-0.0968,1.1235,2.2806,0.9169,-0.0,-0.0342
DR 34,-0.687,-0.447,-1.0117,-0.447,-0.0968,0.447,1.4348,-0.0342,0.2873,-0.0968
DR 15,0.0968,0.038,-0.0646,0.0628,0.0968,-0.0,0.2417,0.1104,-0.9982,-2.6859
DR 58,0.447,-0.0,0.2638,-0.0,-0.0,-0.1507,-1.2062,-0.0,-0.9982,0.0968
DR 35,-2.6645,-2.2102,-2.1739,-0.2145,0.0968,0.1507,1.6979,0.447,0.0743,0.6784
DR 7,2.1424,0.6262,1.0117,-0.0,-0.0,0.8594,2.2806,0.447,-0.0,-0.2145
DR 39,-0.687,0.447,0.2638,-0.7284,-0.0968,-1.4118,-2.2806,-0.447,0.0743,-0.1584
