# convergence | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 13-,DR 13,-,IMMUNOGENIC_CONSENSUS,0.0506,IMMUNOGENIC_CONSENSUS,0.0506,0.46707545504976855,-0.08644632,HALLMARK_IFNA,0.687,0.20558905959841414,False,False,False,False,immune,immune,neither,False,none
DR 14+,DR 14,+,BENPORATH_ES1,0.2666,BENPORATH_ES1,0.2666,0.6814767912983637,0.8610409,ESC_WONG,24.2378,5.783623317834709e-25,True,True,False,True,stemness,stemness,convergent,False,"depth,cell_cycle"
DR 14-,DR 14,-,HALLMARK_IFNG,0.1125,HALLMARK_IFNG,0.1125,0.3185232087016363,-0.8610409,ISDS,0.5999,0.251246488132877,False,False,False,False,immune,immune,neither,False,none
DR 15+,DR 15,+,ESC_ASSOU,0.2,ESC_ASSOU,0.2,0.5437750508859795,0.18246806,ESC_ASSOU,0.2417,0.573191841158763,True,False,False,False,stemness,stemness,cell_only_state_not_on_one_axis,False,"depth,cell_cycle"
DR 15-,DR 15,-,LIM_STEM,0.0868,LIM_STEM,0.0868,0.45622494911402045,-0.18246806,FMASC,2.6859,0.002061104445472489,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,none
DR 16+,DR 16,+,ISDS,0.0213,ISDS,0.0213,0.4360510811906448,-0.19258994,HALLMARK_IFNA,4.5938,2.54800338136199e-05,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,False,none
DR 16-,DR 16,-,ESC_ASSOU,0.2305,ESC_ASSOU,0.2305,0.5639489188093552,0.19258994,IMMUNOGENIC_CONSENSUS,0.0968,0.8002026771193327,True,False,False,False,stemness,immune,cell_only_state_not_on_one_axis,False,"depth,cell_cycle"
DR 17+,DR 17,+,FMASC,0.0368,FMASC,0.0368,0.5056816150709534,0.034391455,FMASC,0.0968,0.8002026771193327,False,False,False,False,stemness,stemness,neither,False,none
DR 17-,DR 17,-,LIM_STEM,0.1553,LIM_STEM,0.1553,0.49431838492904656,-0.034391455,HALLMARK_IFNA,1.6979,0.020049336272477257,False,True,False,False,stemness,immune,factor_only_candidate_patient_or_technical,False,none
DR 18+,DR 18,+,ESC_ASSOU,0.2729,ESC_ASSOU,0.2729,0.6338042302732831,0.33195534,ESC_ASSOU,0.9943,0.1013211242412733,True,False,False,False,stemness,stemness,cell_only_state_not_on_one_axis,False,"depth,cell_cycle"
