factor,smi_label,smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 29+,,,Negative Regulation Of Apoptotic Process (GO:0043066),0.025969920589426262,,,,,1,"IGFL1, LAMB3, CLCF1, S100A2, ESM1, PHLDA2, TUBB2B, S100A6",6.646962,True
DR 33+,,,,,,,TFE3,1.6686748471831117e-11,1,"HIST1H2BJ, HIST1H1C, HIST1H2BC, HIST1H4H, HIST1H2BF, HIST1H2BK, HIST2H2AA4, HIST3H2A",3.4685814,True
DR 33-,,,,,,,FOSB,5.746995613450008e-05,1,"SPINK1, ALB, UGT2B15, CLEC3A, ZNF385B, HSD17B2, ITIH2, SPON1",16.96118,True
DR 34+,,,,,,,AHR,0.0018138245365971507,1,"NPB, MARCO, CA3, SPIB, RBP5, S100A3, NPW, PCSK1N",1.5883934,True
DR 38-,,,,,,,NR2F1,9.18195154346462e-08,1,TF,0.28516173,True
DR 41+,,,Regulation Of Transcription By RNA Polymerase II (GO:0006357),0.01743505813166341,,,,,1,"ACTA1, HIST3H2A, CKS1B, BRI3, BIRC5, FSCN1, NUP43, PCOLCE",1.4587373,True
DR 44-,,,Mitotic Cell Cycle Phase Transition (GO:0044772),0.00131088156128563,,,,,1,"BIRC5, PTTG1, NMU, TROAP, CCNB2, CDKN3, CDC20, CENPF",0.381613,True
DR 45+,,,,,,,CEBPZ,1.762387133632003e-05,1,,0.041661914,False
DR 47+,,,Skeletal System Development (GO:0001501),0.013499880693295602,,,,,1,CLEC3A,0.2833353,True
DR 48-,,,Cytokine-Mediated Signaling Pathway (GO:0019221),1.6475099970599993e-09,,,,,1,"CXCL1, CXCL3, CXCL8, CCL20, TNFAIP6, CXCL2, TNF, ICAM1",3.413475,True
DR 2-,,,,,,,,,0,,0.00046960992,False
DR 3+,,,,,,,,,0,,0.00089931383,False
DR 4+,,,,,,,,,0,,0.0018223645,False
DR 4-,,,,,,,,,0,"CYP4Z1, SLC40A1, CYP4X1, GATA3, AK5, CP, XBP1, PLAT",4.327407,True
DR 5+,,,,,,,,,0,,0.0052363607,False
DR 6-,,,,,,,,,0,,0.0029202516,False
DR 8+,,,,,,,,,0,,0.001586791,False
DR 9+,,,,,,,,,0,,0.009381275,False
DR 10+,,,,,,,,,0,"PIP, CITED1, GFRA1, TFF1, SERPINA1, PDZK1, TFPI2, PI15",6.4732113,True
DR 11+,,,,,,,,,0,,0.0028141337,False
DR 12-,,,,,,,,,0,,0.001959016,False
DR 13+,,,,,,,,,0,,0.00027247934,False
DR 14-,,,,,,,,,0,,0.008711024,False
DR 16-,,,,,,,,,0,,0.00011693552,False
DR 17-,,,,,,,,,0,,0.0010739132,False
DR 18+,,,,,,,,,0,,8.3015926e-05,False
DR 19-,,,,,,,,,0,,0.0033168555,False
DR 20+,,,,,,,,,0,,0.002118988,False
DR 21-,,,,,,,,,0,,9.85549e-05,False
DR 22+,,,,,,,,,0,,0.054376066,False
DR 23+,,,,,,,,,0,,0.0024937969,False
DR 24+,,,,,,,,,0,,0.0019200705,False
DR 25+,,,,,,,,,0,,0.004651955,False
DR 26+,,,,,,,,,0,,0.0027226582,False
DR 27+,,,,,,,,,0,,0.0036170003,False
DR 29-,,,,,,,,,0,,0.0024261356,False
DR 31+,,,,,,,,,0,"GDF15, LY6D, DEFB1, SPTSSB, SDC1, CLCA2, TM4SF1, MDM2",7.0612288,True
DR 31-,,,,,,,,,0,,0.0013843119,False
DR 32+,,,,,,,,,0,"SLPI, TCN1, CLDN10, CXCL17, SNCG, MIA, RBP4, PIGR",5.4568195,True
DR 32-,,,,,,,,,0,,0.000623539,False
DR 34-,,,,,,,,,0,,0.00086310675,False
DR 35+,,,,,,,,,0,,0.0003722257,False
DR 36+,,,,,,,,,0,,0.0007434755,False
DR 37-,,,,,,,,,0,,0.0013391454,False
DR 38+,,,,,,,,,0,,0.00204783,False
DR 39-,,,,,,,,,0,,0.002478388,False
DR 40+,,,,,,,,,0,,0.00011460008,False
DR 41-,,,,,,,,,0,,0.00023683824,False
DR 42+,,,,,,,,,0,,0.0018241687,False
DR 43+,,,,,,,,,0,,0.0008130474,False
DR 44+,,,,,,,,,0,,0.00057839305,False
DR 46-,,,,,,,,,0,,0.00026624976,False
DR 47-,,,,,,,,,0,,2.4215693e-05,False
DR 48+,,,,,,,,,0,,0.00047832055,False
DR 49+,,,,,,,,,0,,0.00022048473,False
DR 50+,,,,,,,,,0,,0.00037064494,False
DR 51-,,,,,,,,,0,,5.7857633e-05,False
DR 63-,,,,,,,,,0,,4.291339e-05,False
DR 17+,Lumsec-HLA,0.639,,,,,RARA,1.4542508003031048e-06,1,"PRR27, CSN3, ODAM, SERHL2, SELENBP1, S100B, IDH1, CLDN3",4.6991987,True
DR 10-,Lumsec-HLA,0.51,,,,,,,0,,0.002954223,False
DR 15+,Lumsec-HLA,0.419,,,,,,,0,,5.4209217e-05,False
DR 20-,Lumsec-HLA,0.645,,,,,,,0,"CSN3, PPP1R1B, ELN, ZG16B, SELENBP1, SCD, ELF5, CLU",0.8682981,True
DR 7-,Lumsec-KIT,0.451,,,,,,,0,"KCNQ1OT1, NEAT1, MALAT1, ANKRD36C, ANKRD36, IQCN, GABRE, VMP1",10.787913,True
DR 6+,Lumsec-myo,0.48,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),0.02692685091004549,,,,,1,"CSN1S1, SCGB3A1, SNORC, AQP5, KIT, KRT15, TMEM213, PIGR",12.587634,True
DR 5-,basal,0.507,Muscle Contraction (GO:0006936),0.003788462448549152,,,SRF,0.0002800114769092671,2,"C2orf40, MYH11, CXCL14, ACTA2, IL17B, GRP, MYLK, TPM2",15.226412,True
