dim_title_direction,n_active,fraction_active,max_ood_score,cohesion,is_candidate,rarity_score,cohesion_score,interpretability_score,score
DR 51+,42,0.0005642052094947677,31.208654403686523,0.6648741682109567,True,0.5415948250674102,0.6648741682109567,0.8993775534445819,0.3238590296621429
DR 63+,32,0.0004298706358055373,30.899961471557617,0.512145517185149,True,0.5749460399009994,0.512145517185149,0.8982663906923684,0.26449996153642574
DR 30+,44,0.0005910721242326138,3.8617806434631348,0.6014343456878617,True,0.5358893941217039,0.6014343456878617,0.6658029712043452,0.21458982038689095
DR 22+,1,1.343345736892304e-05,0.054376065731048584,1.0,False,1.0,1.0,0.1892836855252707,0.1892836855252707
DR 45-,9,0.00012090111632030736,0.6409271955490112,0.5000944465877643,False,0.730522164984023,0.5000944465877643,0.46504730500916797,0.16989576812794838
DR 29+,108,0.0014508133958436884,6.6469621658325195,0.4585840879041462,False,0.42576166343643407,0.4585840879041462,0.726503759366022,0.14184806025941843
DR 33-,194,0.0026060907295710695,16.961179733276367,0.3908042549858803,False,0.3539253900042219,0.3908042549858803,0.831216847834734,0.11497021411531863
DR 41+,243,0.0032643301406482987,1.4587372541427612,0.6193324406345501,True,0.3263054124600573,0.6193324406345501,0.5569774518886014,0.11256042403029641
DR 47+,175,0.002350855039561532,0.28333529829978943,0.7540373435395978,False,0.36656664187639815,0.7540373435395978,0.37380189702032923,0.10332068974805589
DR 37+,196,0.0026329576443089157,5.4046630859375,0.3977564267621319,False,0.3526674851507973,0.3977564267621319,0.7033764463765215,0.0986666646874114
DR 50-,302,0.004056904125414758,10.435066223144531,0.40289862626033873,False,0.29964668813029993,0.40289862626033873,0.7769184748370764,0.09379522240384006
DR 35-,159,0.002135919721658763,5.183656692504883,0.3483978645408268,False,0.3783260280231803,0.3483978645408268,0.6987094213116551,0.09209547761416048
DR 42-,59,0.0007925739847664593,3.6524336338043213,0.2447323191133037,False,0.49991185520397763,0.2447323191133037,0.6595728735754046,0.08069517126005755
DR 31+,706,0.009484020902459665,7.0612287521362305,0.5038736483186715,True,0.19549829772953423,0.5038736483186715,0.7332619632042097,0.07223102596180565
DR 21+,904,0.012143845461506427,20.148046493530273,0.503263758152051,False,0.16517880862890572,0.503263758152051,0.850463373543672,0.07069775134934334
DR 7-,875,0.011754275197807659,10.78791332244873,0.5289374042990335,False,0.16917769551699777,0.5289374042990335,0.7806357052303838,0.06985472639119583
DR 32+,247,0.0033180639701239907,5.456819534301758,0.3033934399164825,False,0.3243030063787603,0.3033934399164825,0.7044499944580861,0.06931182448190791
DR 40-,186,0.002498623070619685,50.8599967956543,0.1988169816505294,False,0.3590901383046514,0.1988169816505294,0.9539694591789416,0.06810694902856611
DR 26-,430,0.005776386668636907,1.2297943830490112,0.4905440328295953,False,0.2563091971144476,0.4905440328295953,0.5378936762048586,0.06762988140419077
DR 46+,115,0.0015448475974261496,0.22262948751449585,0.46523711808120094,False,0.4180594690055566,0.46523711808120094,0.3468489485890307,0.06746100453027302
DR 25-,581,0.007804838731344286,4.337165355682373,0.4328676653772708,False,0.21939738337894038,0.4328676653772708,0.6787799570942701,0.06446375501534328
DR 34+,210,0.002821026047473838,1.5883934497833252,0.328566686442964,False,0.34420587870800984,0.328566686442964,0.5664958477073432,0.06406761281273995
DR 18-,918,0.01233191386467135,15.126993179321289,0.4615659506308413,False,0.1632940019700402,0.4615659506308413,0.8184238758272951,0.06168538604813775
