dim_title_direction,n_active,fraction_active,max_ood_score,cohesion,is_candidate,rarity_score,cohesion_score,interpretability_score,score,host_annotation,host_coverage
DR 51+,42,0.0005642052094947677,31.208654403686523,0.6648741682109567,True,0.5415948250674102,0.6648741682109567,0.8993775534445819,0.3238590296621429,LummHR-SCGB,0.006203890006706908
DR 63+,32,0.0004298706358055373,30.899961471557617,0.512145517185149,True,0.5749460399009994,0.512145517185149,0.8982663906923684,0.26449996153642574,LummHR-SCGB,0.002850435949027498
DR 30+,44,0.0005910721242326138,3.8617806434631348,0.6014343456878617,True,0.5358893941217039,0.6014343456878617,0.6658029712043452,0.21458982038689095,Lumsec-prol,0.0010637427379101548
DR 41+,243,0.0032643301406482987,1.4587372541427612,0.6193324406345501,True,0.3263054124600573,0.6193324406345501,0.5569774518886014,0.11256042403029641,basal,0.07729007633587787
DR 31+,706,0.009484020902459665,7.0612287521362305,0.5038736483186715,True,0.19549829772953423,0.5038736483186715,0.7332619632042097,0.07223102596180565,LummHR-major,0.036203576341127926
