# signature_gene_contribution | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
EMT_B_EPITHELIAL,epithelial,GATA3,0.324002,0.36871,0.032554,0.039762,0.371158,10
EMT_B_EPITHELIAL,epithelial,CDH1,0.245429,0.219233,0.019356,0.026221,0.350321,11
EMT_B_EPITHELIAL,epithelial,SDC1,0.203181,0.185361,0.016366,0.023448,0.285706,12
EMT_B_EPITHELIAL,epithelial,KLF4,0.245308,0.237527,0.020971,0.022984,0.260832,13
EMT_B_EPITHELIAL,epithelial,KLF5,0.167408,0.132456,0.011695,0.013852,0.229796,14
EMT_B_EPITHELIAL,epithelial,FOXA1,0.114144,0.096281,0.008501,0.011413,0.246407,15
EMT_B_EPITHELIAL,epithelial,ESRP1,0.17446,0.131733,0.011631,0.010787,0.219813,16
EMT_B_EPITHELIAL,epithelial,TJP1,0.167112,0.116657,0.0103,0.010339,0.198231,17
EMT_B_EPITHELIAL,epithelial,OCLN,0.104942,0.073331,0.006474,0.009061,0.238643,18
EMT_B_EPITHELIAL,epithelial,FAT1,0.144544,0.107439,0.009486,0.009023,0.179208,19
EMT_B_EPITHELIAL,epithelial,ITGA6,0.182628,0.156229,0.013794,0.006584,0.083925,20
EMT_B_EPITHELIAL,epithelial,OVOL1,0.065958,0.04477,0.003953,0.006509,0.215184,21
EMT_B_EPITHELIAL,epithelial,TJP3,0.058046,0.037215,0.003286,0.004775,0.191176,22
EMT_B_EPITHELIAL,epithelial,GRHL2,0.07418,0.049093,0.004334,0.004208,0.153954,23
EMT_B_EPITHELIAL,epithelial,OVOL2,0.04159,0.024369,0.002152,0.002763,0.139121,24
EMT_B_EPITHELIAL,epithelial,GRHL3,0.013178,0.008064,0.000712,0.001098,0.08996,25
EMT_B_EPITHELIAL,epithelial,FOXA2,8.1e-05,1.4e-05,1e-06,2e-06,0.00693,26
EMT_B_EPITHELIAL,epithelial,GATA4,0.000793,0.000315,2.8e-05,-2.6e-05,-0.01974,27
EMT_B_EPITHELIAL,epithelial,NID1,0.026464,0.018704,0.001651,-0.001974,-0.141823,28
EMT_B_HYBRID,hybrid,YBX1,0.702315,1.34127,0.452335,0.319045,0.634914,1
EMT_B_HYBRID,hybrid,CD44,0.375922,0.442847,0.149348,0.178955,0.438473,2
EMT_B_HYBRID,hybrid,NFE2L2,0.309964,0.271252,0.091478,0.087162,0.328706,3
EMT_B_HYBRID,hybrid,CDH3,0.165917,0.152255,0.051347,0.087006,0.364959,4
EMT_B_HYBRID,hybrid,TNC,0.127188,0.115674,0.03901,0.070215,0.332652,5
EMT_B_HYBRID,hybrid,ITGB4,0.163606,0.138166,0.046596,0.065637,0.327448,6
EMT_B_HYBRID,hybrid,LAMC2,0.087546,0.072476,0.024442,0.052903,0.290955,7
EMT_B_HYBRID,hybrid,ITGAV,0.154418,0.113077,0.038135,0.034709,0.203218,8
EMT_B_HYBRID,hybrid,BMI1,0.116361,0.079303,0.026745,0.020707,0.135694,9
EMT_B_HYBRID,hybrid,MTOR,0.078492,0.046541,0.015696,0.015098,0.131022,10
EMT_B_HYBRID,hybrid,NFATC1,0.048643,0.028752,0.009696,0.012699,0.170336,11
EMT_B_HYBRID,hybrid,CSF1,0.050684,0.031838,0.010737,0.012418,0.13477,12
EMT_B_HYBRID,hybrid,DEPTOR,0.083073,0.058388,0.019691,0.012065,0.095839,13
EMT_B_HYBRID,hybrid,SNAI2,0.027713,0.021118,0.007122,0.0106,0.155905,14
EMT_B_HYBRID,hybrid,VCAM1,0.017302,0.01701,0.005736,0.008206,0.116184,15
EMT_B_HYBRID,hybrid,ALDH1A1,0.016066,0.013336,0.004498,0.005307,0.101956,16
EMT_B_HYBRID,hybrid,PDPN,0.014293,0.012616,0.004255,0.00494,0.099268,17
EMT_B_HYBRID,hybrid,HOTAIR,0.014522,0.007989,0.002694,0.001666,0.026648,18
EMT_B_HYBRID,hybrid,WT1,0.001612,0.000777,0.000262,0.000382,0.034455,19
