# signature_concentration | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,primary,n_mapped,effective_n_genes,effective_n_fraction,top_gene,top_gene_share_of_variance,top_gene_share_of_mean_signal,top_gene_detection_rate,top_gene_spearman_with_score,share_top3_of_variance,median_detection_rate,n_genes_below_noise_floor,frac_genes_below_noise_floor,frac_cells_all_zero,gini_of_mean_signal,flags
EMT_B_EPITHELIAL,epithelial,True,28,10.9641,0.3916,KRT19,0.1302,0.1613,0.7581,0.5156,0.3597,0.1785,2,0.0714,0.0203,0.6213,none
EMT_A_EPITHELIAL,epithelial,False,15,8.1598,0.544,KRT18,0.1558,0.1608,0.6834,0.5776,0.4563,0.3739,0,0.0,0.042,0.5085,low_effective_n
EMT_C_EPITHELIAL,epithelial,False,29,9.2225,0.318,KRT19,0.1607,0.1921,0.7581,0.5306,0.4264,0.1671,2,0.069,0.0288,0.6678,low_effective_n
EMT_B_HYBRID,hybrid,True,20,4.0758,0.2038,YBX1,0.319,0.4523,0.7023,0.6349,0.5852,0.0808,2,0.1,0.1569,0.709,"dominated_by_one_gene,low_effective_n,undetectable_in_many_cells"
EMT_A_HYBRID,hybrid,False,12,5.8856,0.4905,CD44,0.2911,0.3084,0.3759,0.4882,0.5649,0.1218,0,0.0,0.3612,0.5137,"low_effective_n,undetectable_in_many_cells"
EMT_C_HYBRID,hybrid,False,33,6.5235,0.1977,YBX1,0.1565,0.2469,0.7023,0.3984,0.4063,0.0785,4,0.1212,0.056,0.7157,low_effective_n
EMT_B_MESENCHYMAL,mesenchymal,True,33,6.9206,0.2097,VIM,0.2631,0.2235,0.586,0.6617,0.4734,0.039,6,0.1818,0.0547,0.7337,low_effective_n
EMT_A_MESENCHYMAL,mesenchymal,False,19,3.748,0.1973,VIM,0.3801,0.4679,0.586,0.7461,0.6535,0.028,5,0.2632,0.2561,0.753,"dominated_by_one_gene,low_effective_n,undetectable_in_many_cells"
EMT_C_MESENCHYMAL,mesenchymal,False,41,9.5011,0.2317,VIM,0.2095,0.1834,0.586,0.5976,0.406,0.0707,7,0.1707,0.0393,0.7064,low_effective_n
