factor,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
DR 9+,GO:BP,GO:0051315,attachment of mitotic spindle microtubules to kinetochore,0.009316429007538768,True,"""The cellular process in which spindle microtubules become physically associated with the proteins making up the kinetochore complex in mitosis."" [GOC:ai, GOC:clt, GOC:dph, GOC:tb, PMID:26258632, PMID:26705896]",10,100,10,1889,0.1,1.0,query_1,"['GO:0007080', 'GO:0008608', 'GO:1903047']"
DR 9+,GO:BP,GO:0090266,regulation of mitotic cell cycle spindle assembly checkpoint,0.013564934560757066,True,"""Any process that modulates the rate, frequency, or extent of the mitotic cell cycle spindle assembly checkpoint, a cell cycle checkpoint that delays the metaphase/anaphase transition of a mitotic nuclear division until the spindle is correctly assembled and chromosomes are attached to the spindle."" [GOC:mtg_cell_cycle]",10,82,9,1889,0.10975609756097561,0.9,query_1,"['GO:0007088', 'GO:0007094', 'GO:0010965', 'GO:0030071', 'GO:0033047', 'GO:1903504']"
DR 9+,GO:BP,GO:1903504,regulation of mitotic spindle checkpoint,0.013564934560757066,True,"""Any process that modulates the frequency, rate or extent of mitotic spindle checkpoint."" [GO_REF:0000058, GOC:TermGenie, PMID:23442800]",10,82,9,1889,0.10975609756097561,0.9,query_1,"['GO:0007346', 'GO:0071174', 'GO:0090231']"
DR 9+,GO:BP,GO:1905820,positive regulation of chromosome separation,0.02029074520326886,True,"""Any process that activates or increases the frequency, rate or extent of chromosome separation."" [GO_REF:0000058, GOC:bhm, GOC:TermGenie, PMID:21795393]",11,82,10,1889,0.12195121951219512,0.9090909090909091,query_1,"['GO:0051304', 'GO:0090068', 'GO:1905818']"
DR 9+,GO:BP,GO:1901970,positive regulation of mitotic sister chromatid separation,0.02181822983290878,True,"""Any process that activates or increases the frequency, rate or extent of mitotic sister chromatid separation."" [GOC:TermGenie, PMID:1846086]",8,30,6,1889,0.2,0.75,query_1,"['GO:0010965', 'GO:0051306', 'GO:1905820']"
DR 9+,GO:BP,GO:1904666,regulation of ubiquitin protein ligase activity,0.04319556746183707,True,"""Any process that modulates the frequency, rate or extent of ubiquitin protein ligase activity."" [GO_REF:0000059, GOC:dph, GOC:TermGenie, GOC:vw, PMID:10921876, PMID:26216882]",6,3,3,1889,1.0,0.5,query_1,['GO:0051438']
DR 10+,GO:BP,GO:0006119,oxidative phosphorylation,2.0572880021533748e-08,True,"""The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis."" [ISBN:0198506732, ISBN:0471331309]",20,11,11,1889,1.0,0.55,query_1,['GO:0009060']
DR 10+,GO:BP,GO:0019646,aerobic electron transport chain,2.4466052229120135e-08,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to oxygen to generate a transmembrane electrochemical gradient."" [GOC:ai, GOC:mtg_electron_transport]",13,11,10,1889,0.9090909090909091,0.7692307692307693,query_1,"['GO:0006119', 'GO:0009060', 'GO:0022904']"
DR 10+,GO:BP,GO:0042773,ATP synthesis coupled electron transport,4.7377908576431966e-08,True,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP."" [ISBN:0716731363]",15,11,10,1889,0.9090909090909091,0.6666666666666666,query_1,"['GO:0006119', 'GO:0022904']"
DR 10+,GO:BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,4.7377908576431966e-08,True,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP, as it occurs in the mitochondrial inner membrane or chloroplast thylakoid membrane."" [GOC:mtg_sensu, ISBN:0716731363]",15,11,10,1889,0.9090909090909091,0.6666666666666666,query_1,['GO:0042773']
DR 10+,GO:BP,GO:0022904,respiratory electron transport chain,2.2836587264103878e-07,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."" [GOC:mtg_electron_transport, ISBN:0716720094]",16,11,10,1889,0.9090909090909091,0.625,query_1,"['GO:0022900', 'GO:0045333']"
DR 10+,GO:BP,GO:1902600,proton transmembrane transport,3.8492595429650953e-07,True,"""The directed movement of a proton across a membrane."" [GO_REF:0000069, GOC:pr, GOC:TermGenie]",16,11,11,1889,1.0,0.6875,query_1,['GO:0098655']
DR 10+,GO:BP,GO:0022900,electron transport chain,5.918075361960797e-07,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors."" [GOC:mtg_electron_transport]",17,11,10,1889,0.9090909090909091,0.5882352941176471,query_1,['GO:0006091']
DR 10+,GO:BP,GO:0009060,aerobic respiration,5.1226854961558886e-05,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor."" [GOC:das, GOC:jl, ISBN:0140513590]",37,11,11,1889,1.0,0.2972972972972973,query_1,['GO:0045333']
DR 10+,GO:BP,GO:0045333,cellular respiration,0.00021522302333079255,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration)."" [GOC:das, ISBN:0140513590, ISBN:0198506732]",41,11,11,1889,1.0,0.2682926829268293,query_1,['GO:0015980']
DR 10+,GO:BP,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,0.0007608835123976075,True,"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a mitochondrial membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]",7,11,7,1889,0.6363636363636364,1.0,query_1,"['GO:0006119', 'GO:0015986']"
DR 10+,GO:BP,GO:0015986,proton motive force-driven ATP synthesis,0.002263265315680946,True,"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]",7,11,7,1889,0.6363636363636364,1.0,query_1,['GO:0006754']
DR 10+,GO:BP,GO:0015980,energy derivation by oxidation of organic compounds,0.003378264341594156,True,"""The chemical reactions and pathways by which a cell derives energy from organic compounds; results in the oxidation of the compounds from which energy is released."" [GOC:mah]",46,11,11,1889,1.0,0.2391304347826087,query_1,['GO:0006091']
DR 10+,GO:BP,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",0.007602681891926976,True,"""The transfer of electrons from NADH to ubiquinone that occurs during oxidative phosphorylation."" [ISBN:0716731363]",7,11,6,1889,0.5454545454545454,0.8571428571428571,query_1,"['GO:0019646', 'GO:0042775']"
DR 10+,GO:BP,GO:0006091,generation of precursor metabolites and energy,0.0140181004413014,True,"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]",50,11,11,1889,1.0,0.22,query_1,['GO:0008152']
DR 10+,GO:BP,GO:0006754,ATP biosynthetic process,0.014094327092084143,True,"""The chemical reactions and pathways resulting in the formation of ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."" [GOC:go_curators, ISBN:0198506732]",10,11,7,1889,0.6363636363636364,0.7,query_1,"['GO:0009152', 'GO:0009206', 'GO:0046034']"
DR 10+,GO:BP,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,0.029058244374289277,True,"""The chemical reactions and pathways resulting in the formation of purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",12,11,7,1889,0.6363636363636364,0.5833333333333334,query_1,"['GO:0009145', 'GO:0009201', 'GO:0009205']"
