factor,smi_cell_type,smi_cell_type_value,smi_cnv_status,smi_cnv_status_value,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 13+,,,,,,,,,False,,,,,,,0,,0.008528677,False
DR 14-,,,,,,,,,False,,,,,,,0,,0.0041192556,False
DR 19-,,,,,,,,,False,,,,,,,0,,0.002302299,False
DR 20+,,,,,,,,,False,,,,,,,0,,0.005829775,False
DR 21+,,,,,,,,,False,,,,,,,0,"SOX4, CEBPD, JUND, BRI3, C4orf48, FOSB, CSTA, S100A10",0.7239466,True
DR 21-,,,,,,,,,False,,,,,,,0,,0.0098049,False
DR 23+,,,,,,,,,False,,,,,,,0,"MALAT1, NEAT1, ANKRD30A, HIST1H3J, XIST, HIST1H2BB, KCNQ1OT1, AC073195.1",3.7105594,True
DR 23-,,,,,,,,,False,,,,,,,0,,0.0024739355,False
DR 25+,,,,,,,,,False,,,,,,,0,,0.0017057003,False
DR 26-,,,,,,,,,False,,,,,,,0,"HIST1H1C, HIST1H4H, HIST1H2BJ, HIST1H2BC, HIST1H2AC, HIST1H2BF, HIST2H2AA4, HIST1H2BK",1.8483852,True
DR 27+,,,,,,,,,False,,,,,,,0,,0.0010982588,False
DR 30-,,,,,,,,,False,,,,,,,0,,5.2960702e-05,False
DR 31+,,,,,,,,,False,,,,,,,0,"SLPI, TCN1, CLDN10, CXCL17, LTF, PI3, SNCG, IL33",2.234922,True
DR 31-,,,,,,,,,False,,,,,,,0,,0.002570801,False
DR 32+,,,,,,,,,False,,,,,,,0,,0.00012607318,False
DR 33+,,,,,,,,,False,,,,,,,0,,0.0008337098,False
DR 34-,,,,,,,,,False,,,,,,,0,,0.0015521607,False
DR 35-,,,,,,,,,False,,,,,,,0,,0.00029123473,False
DR 36-,,,,,,,,,False,,,,,,,0,,3.3641783e-05,False
DR 37-,,,,,,,,,False,,,,,,,0,,4.032726e-05,False
DR 38+,,,,,,,,,False,,,,,,,0,,0.00032618936,False
