SRR26540980	07	A		P	P07_A_P
SRR26540982	06	C		P	P06_C_P
SRR26540998	66	C		N	P66_C_N
SRR26540999	66	C		P	P66_C_P
SRR26541005	66	A		P	P66_A_P
SRR26541010	12	C		P	P12_C_P
SRR26541012	12	B		P	P12_B_P
SRR26541014	12	A		P	P12_A_P
SRR26541017	02	B		P	P02_B_P
SRR26541019	11	B		P	P11_B_P
SRR26541021	11	A		P	P11_A_P
SRR26541023	10	C		P	P10_C_P
SRR26541036	07	C		P	P07_C_P
SRR26541040	57	A		P	P57_A_P
SRR26541042	56	C		N	P56_C_N
SRR26541052	53	C		N	P53_C_N
SRR26541056	53	B		P	P53_B_P
SRR26541057	04	A		P	P04_A_P
SRR26541061	53	A		N	P53_A_N
SRR26541065	47	B		N	P47_B_N
SRR26541068	47	A		N	P47_A_N
SRR26541075	46	B		N	P46_B_N
SRR26541077	46	B		P	P46_B_P
SRR26541078	46	A		N	P46_A_N
SRR26541082	45	C		N	P45_C_N
SRR26541085	45	B		N	P45_B_N
SRR26541086	45	B		P	P45_B_P
SRR26541103	42	C		P	P42_C_P
SRR26541104	04	C		P	P04_C_P
SRR26541105	64	C		N	P64_C_N
SRR26541109	64	B		P	P64_B_P
SRR26541112	64	A		P	P64_A_P
SRR26541114	63	C		N	P63_C_N
SRR26541116	63	C		P	P63_C_P
SRR26541125	57	C		P	P57_C_P
SRR26541126	04	B		P	P04_B_P
SRR26541131	52	C		N	P52_C_N
SRR26541132	52	C		P	P52_C_P
SRR26541138	52	A		N	P52_A_N
SRR26541149	48	A		P	P48_A_P
SRR26541150	03	B	1	P	P03_B1_P
SRR26541165	39	A		N	P39_A_N
SRR26541166	39	A		P	P39_A_P
SRR26541168	30	C		P	P30_C_P
SRR26541177	18	B		N	P18_B_N
SRR26541185	17	B		P	P17_B_P
SRR26541193	16	B		N	P16_B_N
SRR26541199	15	C		P	P15_C_P
SRR26541206	26	B		P	P26_B_P
SRR26541210	23	C		P	P23_C_P
SRR26554494	UNPARSED	UNPARSED	UNPARSED	UNPARSED	UNPARSED_B3
SRR26554495	UNPARSED	UNPARSED	UNPARSED	UNPARSED	UNPARSED_B2
SRR26554496	UNPARSED	UNPARSED	UNPARSED	UNPARSED	UNPARSED_B1
SRR26554503	UNPARSED	UNPARSED	UNPARSED	UNPARSED	UNPARSED_B6
SRR26540976	19	B		P	P19_B_P
SRR26540974	19	C		P	P19_C_P
SRR26540977	07	B		P	P07_B_P
SRR26540978	02	A		P	P02_A_P
SRR26540984	06	B		P	P06_B_P
SRR26540986	06	A		P	P06_A_P
SRR26540988	05	C		P	P05_C_P
SRR26540991	05	B		P	P05_B_P
SRR26540995	03	C	1	P	P03_C1_P
SRR26540993	05	A		P	P05_A_P
SRR26541007	15	B		P	P15_B_P
SRR26541001	66	B		N	P66_B_N
SRR26541002	66	B		P	P66_B_P
SRR26541016	11	C		P	P11_C_P
SRR26541004	66	A		N	P66_A_N
SRR26541008	15	A		P	P15_A_P
SRR26541027	10	A		P	P10_A_P
SRR26541030	09	C		P	P09_C_P
SRR26541032	09	B		P	P09_B_P
SRR26541025	10	B		P	P10_B_P
SRR26541034	09	A		P	P09_A_P
SRR26541038	57	B		P	P57_B_P
SRR26541045	56	B		N	P56_B_N
SRR26541039	57	A		N	P57_A_N
SRR26541043	56	C		P	P56_C_P
SRR26541047	56	B		P	P56_B_P
SRR26541049	56	A		N	P56_A_N
SRR26541055	53	B		N	P53_B_N
SRR26541058	01	C		P	P01_C_P
SRR26541062	47	C		N	P47_C_N
SRR26541050	56	A		P	P56_A_P
SRR26541063	47	C		P	P47_C_P
SRR26541053	53	C		P	P53_C_P
SRR26541073	46	C		P	P46_C_P
SRR26541066	47	B		P	P47_B_P
SRR26541069	47	A		P	P47_A_P
SRR26541079	46	A		P	P46_A_P
SRR26541072	46	C		N	P46_C_N
SRR26541081	03	B	2	P	P03_B2_P
SRR26541083	45	C		P	P45_C_P
SRR26541089	45	A		P	P45_A_P
SRR26541088	45	A		N	P45_A_N
SRR26541091	43	C		N	P43_C_N
SRR26541093	43	C		P	P43_C_P
SRR26541095	43	B		N	P43_B_N
SRR26541096	43	B		P	P43_B_P
SRR26541099	43	A		P	P43_A_P
SRR26541108	64	B		N	P64_B_N
SRR26541098	43	A		N	P43_A_N
SRR26541118	63	B		N	P63_B_N
SRR26541101	42	C		N	P42_C_N
SRR26541119	63	B		P	P63_B_P
SRR26541106	64	C		P	P64_C_P
SRR26541121	63	A		N	P63_A_N
SRR26541111	64	A		N	P64_A_N
SRR26541122	63	A		P	P63_A_P
SRR26541128	57	B		N	P57_B_N
SRR26541129	53	A		P	P53_A_P
SRR26541124	57	C		N	P57_C_N
SRR26541135	52	B		P	P52_B_P
SRR26541144	48	B		P	P48_B_P
SRR26541134	52	B		N	P52_B_N
SRR26541147	48	A		N	P48_A_N
SRR26541148	03	C	2	P	P03_C2_P
SRR26541152	42	B		N	P42_B_N
SRR26541153	42	B		P	P42_B_P
SRR26541156	42	A		P	P42_A_P
SRR26541139	52	A		P	P52_A_P
SRR26541158	39	C		N	P39_C_N
SRR26541141	48	C		N	P48_C_N
SRR26541142	48	C		P	P48_C_P
SRR26541173	19	A		P	P19_A_P
SRR26541145	48	B		N	P48_B_N
SRR26541175	18	C		P	P18_C_P
SRR26541189	16	C		N	P16_C_N
SRR26541155	42	A		N	P42_A_N
SRR26541190	02	C		P	P02_C_P
SRR26541159	39	C		P	P39_C_P
SRR26541162	39	B		N	P39_B_N
SRR26541194	16	B		P	P16_B_P
SRR26541163	39	B		P	P39_B_P
SRR26541197	16	A		P	P16_A_P
SRR26541201	03	A	2	P	P03_A2_P
SRR26541170	30	B		P	P30_B_P
SRR26541208	26	A		P	P26_A_P
SRR26541213	23	B		P	P23_B_P
SRR26541178	18	B		P	P18_B_P
SRR26541219	20	B		P	P20_B_P
SRR26541181	18	A		P	P18_A_P
SRR26541221	20	A		P	P20_A_P
SRR26541183	17	C		P	P17_C_P
SRR26541223	03	A	1	P	P03_A1_P
SRR26541225	01	A		P	P01_A_P
SRR26541187	17	A		P	P17_A_P
SRR26541191	16	C		P	P16_C_P
SRR26554504	UNPARSED	UNPARSED	UNPARSED	UNPARSED	UNPARSED_B5
SRR26541196	16	A		N	P16_A_N
SRR26541202	30	A		P	P30_A_P
SRR26541204	26	C		P	P26_C_P
SRR26541215	23	A		P	P23_A_P
SRR26541217	20	C		P	P20_C_P
SRR26554493	UNPARSED	UNPARSED	UNPARSED	UNPARSED	UNPARSED_B4
SRR26554501	UNPARSED	UNPARSED	UNPARSED	UNPARSED	UNPARSED_C5
SRR26554502	UNPARSED	UNPARSED	UNPARSED	UNPARSED	UNPARSED_C4
