subcluster,n,median_nullpos,positive,cohort,resolution
epi_s453,30,0.9985,True,Patient16,0.05
epi_s454,16,1.0,True,Patient16,0.05
epi_s455,17,1.0,True,Patient16,0.05
epi_s456,24,1.0,True,Patient16,0.05
epi_s457,5,1.0,True,Patient16,0.05
epi_s458,14,0.9984999999999999,True,Patient16,0.05
epi_s459,8,1.0,True,Patient16,0.05
epi_s46,52,1.0,True,Patient16,0.05
epi_s460,5,1.0,True,Patient16,0.05
epi_s461,11,0.9975,True,Patient16,0.05
epi_s462,14,1.0,True,Patient16,0.05
epi_s463,3,1.0,True,Patient16,0.05
epi_s464,8,0.99925,True,Patient16,0.05
epi_s465,8,1.0,True,Patient16,0.05
epi_s466,7,1.0,True,Patient16,0.05
epi_s467,15,0.9975,True,Patient16,0.05
epi_s468,6,1.0,True,Patient16,0.05
epi_s469,5,0.9995,True,Patient16,0.05
epi_s47,4,1.0,True,Patient16,0.05
epi_s470,19,1.0,True,Patient16,0.05
epi_s471,13,1.0,True,Patient16,0.05
epi_s472,7,1.0,True,Patient16,0.05
epi_s473,14,1.0,True,Patient16,0.05
epi_s474,12,1.0,True,Patient16,0.05
epi_s475,25,1.0,True,Patient16,0.05
epi_s476,5,1.0,True,Patient16,0.05
epi_s477,13,1.0,True,Patient16,0.05
epi_s478,14,0.998,True,Patient16,0.05
epi_s479,4,0.99475,True,Patient16,0.05
epi_s48,3,0.999,True,Patient16,0.05
epi_s480,12,0.99875,True,Patient16,0.05
epi_s481,15,0.9975,True,Patient16,0.05
epi_s482,4,1.0,True,Patient16,0.05
epi_s483,8,1.0,True,Patient16,0.05
epi_s484,9,1.0,True,Patient16,0.05
epi_s485,3,0.9995,True,Patient16,0.05
epi_s486,9,1.0,True,Patient16,0.05
epi_s487,7,1.0,True,Patient16,0.05
epi_s488,4,0.99775,True,Patient16,0.05
epi_s489,16,1.0,True,Patient16,0.05
epi_s49,15,0.997,True,Patient16,0.05
epi_s490,15,0.999,True,Patient16,0.05
epi_s491,7,1.0,True,Patient16,0.05
epi_s492,2,0.976,True,Patient16,0.05
epi_s493,13,0.998,True,Patient16,0.05
epi_s494,12,1.0,True,Patient16,0.05
epi_s495,6,0.9975,True,Patient16,0.05
epi_s496,10,1.0,True,Patient16,0.05
epi_s497,4,0.9982500000000001,True,Patient16,0.05
epi_s498,6,0.9975,True,Patient16,0.05
epi_s499,13,1.0,True,Patient16,0.05
epi_s5,8,0.9944999999999999,True,Patient16,0.05
epi_s50,23,1.0,True,Patient16,0.05
epi_s500,2,1.0,True,Patient16,0.05
epi_s501,5,1.0,True,Patient16,0.05
epi_s502,8,0.9935,True,Patient16,0.05
epi_s503,17,1.0,True,Patient16,0.05
epi_s504,3,0.9975,True,Patient16,0.05
epi_s505,11,1.0,True,Patient16,0.05
epi_s506,11,0.9985,True,Patient16,0.05
epi_s507,5,0.9995,True,Patient16,0.05
epi_s508,12,1.0,True,Patient16,0.05
epi_s509,9,0.9935,True,Patient16,0.05
epi_s51,5,0.999,True,Patient16,0.05
epi_s510,9,1.0,True,Patient16,0.05
epi_s511,1,0.994,True,Patient16,0.05
epi_s512,4,1.0,True,Patient16,0.05
epi_s513,4,0.998,True,Patient16,0.05
epi_s514,13,1.0,True,Patient16,0.05
epi_s515,13,0.9985,True,Patient16,0.05
epi_s516,12,1.0,True,Patient16,0.05
epi_s517,13,1.0,True,Patient16,0.05
epi_s518,18,1.0,True,Patient16,0.05
epi_s519,9,1.0,True,Patient16,0.05
epi_s52,3,1.0,True,Patient16,0.05
epi_s520,5,0.9995,True,Patient16,0.05
epi_s521,7,0.9975,True,Patient16,0.05
epi_s522,14,1.0,True,Patient16,0.05
epi_s523,6,1.0,True,Patient16,0.05
epi_s524,6,1.0,True,Patient16,0.05
epi_s525,10,0.999,True,Patient16,0.05
epi_s526,7,0.997,True,Patient16,0.05
epi_s527,8,1.0,True,Patient16,0.05
epi_s528,8,0.9985,True,Patient16,0.05
epi_s529,3,0.9985,True,Patient16,0.05
epi_s53,19,0.9955,True,Patient16,0.05
epi_s530,28,1.0,True,Patient16,0.05
epi_s531,20,0.9985,True,Patient16,0.05
epi_s532,4,1.0,True,Patient16,0.05
epi_s533,2,1.0,True,Patient16,0.05
epi_s534,3,1.0,True,Patient16,0.05
epi_s535,3,1.0,True,Patient16,0.05
epi_s536,11,1.0,True,Patient16,0.05
epi_s537,6,0.99925,True,Patient16,0.05
epi_s538,15,0.9985,True,Patient16,0.05
epi_s539,8,0.9965,True,Patient16,0.05
epi_s54,3,1.0,True,Patient16,0.05
epi_s540,1,0.9975,True,Patient16,0.05
epi_s541,8,1.0,True,Patient16,0.05
epi_s542,5,1.0,True,Patient16,0.05
epi_s543,13,1.0,True,Patient16,0.05
epi_s544,8,1.0,True,Patient16,0.05
epi_s545,6,0.99375,True,Patient16,0.05
epi_s546,12,1.0,True,Patient16,0.05
epi_s547,10,0.9975,True,Patient16,0.05
epi_s548,14,0.99525,True,Patient16,0.05
epi_s549,10,1.0,True,Patient16,0.05
epi_s55,1,1.0,True,Patient16,0.05
epi_s550,5,0.999,True,Patient16,0.05
epi_s551,11,0.9985,True,Patient16,0.05
epi_s552,10,1.0,True,Patient16,0.05
epi_s553,12,0.9975,True,Patient16,0.05
epi_s554,7,1.0,True,Patient16,0.05
epi_s555,4,0.99975,True,Patient16,0.05
epi_s556,3,0.999,True,Patient16,0.05
epi_s557,3,1.0,True,Patient16,0.05
epi_s558,3,1.0,True,Patient16,0.05
epi_s559,9,0.993,True,Patient16,0.05
epi_s56,11,1.0,True,Patient16,0.05
epi_s560,9,0.9975,True,Patient16,0.05
epi_s561,8,0.99975,True,Patient16,0.05
epi_s562,9,0.9985,True,Patient16,0.05
epi_s563,3,0.9975,True,Patient16,0.05
epi_s564,5,1.0,True,Patient16,0.05
epi_s565,8,0.99925,True,Patient16,0.05
epi_s566,5,0.9995,True,Patient16,0.05
epi_s567,4,1.0,True,Patient16,0.05
epi_s568,22,1.0,True,Patient16,0.05
epi_s569,19,0.9975,True,Patient16,0.05
epi_s57,2,0.75575,False,Patient16,0.05
epi_s570,8,1.0,True,Patient16,0.05
epi_s571,10,1.0,True,Patient16,0.05
epi_s572,12,0.99275,True,Patient16,0.05
epi_s573,5,1.0,True,Patient16,0.05
epi_s574,3,1.0,True,Patient16,0.05
epi_s575,3,0.9945,True,Patient16,0.05
epi_s576,2,0.9970000000000001,True,Patient16,0.05
epi_s577,7,1.0,True,Patient16,0.05
epi_s578,3,0.995,True,Patient16,0.05
epi_s579,9,1.0,True,Patient16,0.05
epi_s58,5,1.0,True,Patient16,0.05
epi_s580,13,1.0,True,Patient16,0.05
epi_s581,15,1.0,True,Patient16,0.05
epi_s582,6,1.0,True,Patient16,0.05
epi_s583,5,1.0,True,Patient16,0.05
epi_s584,1,0.993,True,Patient16,0.05
epi_s585,5,1.0,True,Patient16,0.05
epi_s586,4,0.99925,True,Patient16,0.05
epi_s587,13,0.9985,True,Patient16,0.05
epi_s588,10,0.9995,True,Patient16,0.05
epi_s589,14,1.0,True,Patient16,0.05
epi_s59,14,0.9925,True,Patient16,0.05
epi_s590,14,0.9985,True,Patient16,0.05
epi_s591,4,1.0,True,Patient16,0.05
epi_s592,3,1.0,True,Patient16,0.05
epi_s593,4,1.0,True,Patient16,0.05
epi_s594,3,1.0,True,Patient16,0.05
epi_s595,4,0.9862500000000001,True,Patient16,0.05
epi_s596,2,0.9995,True,Patient16,0.05
epi_s597,8,1.0,True,Patient16,0.05
epi_s598,8,1.0,True,Patient16,0.05
epi_s599,4,1.0,True,Patient16,0.05
epi_s6,80,1.0,True,Patient16,0.05
epi_s60,2,0.9902500000000001,True,Patient16,0.05
epi_s600,5,0.9995,True,Patient16,0.05
epi_s601,11,1.0,True,Patient16,0.05
epi_s602,2,0.9890000000000001,True,Patient16,0.05
epi_s603,10,0.9984999999999999,True,Patient16,0.05
epi_s604,5,1.0,True,Patient16,0.05
epi_s605,9,0.999,True,Patient16,0.05
epi_s606,9,1.0,True,Patient16,0.05
epi_s607,7,1.0,True,Patient16,0.05
epi_s608,3,0.992,True,Patient16,0.05
epi_s609,5,0.999,True,Patient16,0.05
epi_s61,4,0.9995,True,Patient16,0.05
epi_s610,2,1.0,True,Patient16,0.05
epi_s611,11,1.0,True,Patient16,0.05
epi_s612,7,0.9985,True,Patient16,0.05
epi_s613,8,1.0,True,Patient16,0.05
epi_s614,2,1.0,True,Patient16,0.05
epi_s615,11,0.9995,True,Patient16,0.05
epi_s616,3,1.0,True,Patient16,0.05
epi_s617,2,1.0,True,Patient16,0.05
epi_s618,5,0.9985,True,Patient16,0.05
epi_s619,16,1.0,True,Patient16,0.05
epi_s62,8,0.6765,False,Patient16,0.05
epi_s620,3,1.0,True,Patient16,0.05
epi_s621,2,1.0,True,Patient16,0.05
epi_s622,2,1.0,True,Patient16,0.05
epi_s623,7,0.9985,True,Patient16,0.05
epi_s624,3,0.993,True,Patient16,0.05
epi_s625,21,1.0,True,Patient16,0.05
epi_s626,3,0.9995,True,Patient16,0.05
epi_s627,2,0.99925,True,Patient16,0.05
epi_s628,11,0.9985,True,Patient16,0.05
epi_s629,2,0.9964999999999999,True,Patient16,0.05
epi_s63,4,0.99775,True,Patient16,0.05
epi_s630,6,0.99975,True,Patient16,0.05
epi_s631,10,1.0,True,Patient16,0.05
epi_s632,6,0.99775,True,Patient16,0.05
epi_s633,3,1.0,True,Patient16,0.05
epi_s634,20,0.9982500000000001,True,Patient16,0.05
epi_s635,3,1.0,True,Patient16,0.05
epi_s636,4,1.0,True,Patient16,0.05
epi_s637,2,0.99875,True,Patient16,0.05
epi_s638,11,0.9995,True,Patient16,0.05
epi_s639,7,1.0,True,Patient16,0.05
epi_s64,10,0.99875,True,Patient16,0.05
epi_s640,5,1.0,True,Patient16,0.05
epi_s641,2,0.99975,True,Patient16,0.05
epi_s642,4,1.0,True,Patient16,0.05
epi_s643,3,1.0,True,Patient16,0.05
epi_s644,9,1.0,True,Patient16,0.05
epi_s645,6,1.0,True,Patient16,0.05
epi_s646,5,1.0,True,Patient16,0.05
epi_s647,4,1.0,True,Patient16,0.05
epi_s648,3,0.9995,True,Patient16,0.05
epi_s649,3,1.0,True,Patient16,0.05
epi_s65,4,0.9982500000000001,True,Patient16,0.05
epi_s650,6,0.9982500000000001,True,Patient16,0.05
epi_s651,5,1.0,True,Patient16,0.05
epi_s652,13,1.0,True,Patient16,0.05
epi_s653,5,0.9955,True,Patient16,0.05
epi_s654,6,1.0,True,Patient16,0.05
epi_s655,2,1.0,True,Patient16,0.05
epi_s656,4,1.0,True,Patient16,0.05
epi_s657,5,1.0,True,Patient16,0.05
epi_s658,2,0.99925,True,Patient16,0.05
epi_s659,1,0.999,True,Patient16,0.05
epi_s66,14,1.0,True,Patient16,0.05
epi_s660,9,0.9985,True,Patient16,0.05
epi_s661,2,0.99975,True,Patient16,0.05
epi_s662,3,1.0,True,Patient16,0.05
epi_s663,6,1.0,True,Patient16,0.05
epi_s664,3,0.9985,True,Patient16,0.05
epi_s665,6,1.0,True,Patient16,0.05
epi_s666,5,1.0,True,Patient16,0.05
epi_s667,3,0.9975,True,Patient16,0.05
epi_s668,2,1.0,True,Patient16,0.05
epi_s669,4,1.0,True,Patient16,0.05
epi_s67,12,0.995,True,Patient16,0.05
epi_s670,10,0.99925,True,Patient16,0.05
epi_s671,2,0.99925,True,Patient16,0.05
epi_s672,1,1.0,True,Patient16,0.05
epi_s673,10,0.996,True,Patient16,0.05
epi_s674,1,0.9975,True,Patient16,0.05
epi_s675,6,0.99875,True,Patient16,0.05
epi_s676,2,1.0,True,Patient16,0.05
epi_s677,1,1.0,True,Patient16,0.05
epi_s678,4,1.0,True,Patient16,0.05
epi_s679,3,0.991,True,Patient16,0.05
epi_s68,17,0.6055,False,Patient16,0.05
epi_s680,4,1.0,True,Patient16,0.05
epi_s681,3,0.996,True,Patient16,0.05
epi_s682,4,1.0,True,Patient16,0.05
epi_s683,1,1.0,True,Patient16,0.05
epi_s684,2,0.99925,True,Patient16,0.05
epi_s685,4,1.0,True,Patient16,0.05
epi_s686,1,0.99,True,Patient16,0.05
epi_s687,4,1.0,True,Patient16,0.05
epi_s688,1,0.9965,True,Patient16,0.05
epi_s689,1,1.0,True,Patient16,0.05
epi_s69,22,0.9962500000000001,True,Patient16,0.05
epi_s690,2,1.0,True,Patient16,0.05
epi_s691,2,0.99975,True,Patient16,0.05
epi_s692,1,1.0,True,Patient16,0.05
epi_s693,1,0.998,True,Patient16,0.05
epi_s694,3,1.0,True,Patient16,0.05
epi_s695,3,1.0,True,Patient16,0.05
epi_s696,3,0.9985,True,Patient16,0.05
epi_s697,3,1.0,True,Patient16,0.05
epi_s698,6,0.99975,True,Patient16,0.05
epi_s699,1,1.0,True,Patient16,0.05
epi_s7,12,1.0,True,Patient16,0.05
epi_s70,5,0.551,False,Patient16,0.05
epi_s700,3,1.0,True,Patient16,0.05
epi_s701,2,0.99975,True,Patient16,0.05
epi_s702,2,1.0,True,Patient16,0.05
epi_s703,1,1.0,True,Patient16,0.05
epi_s704,3,0.9895,True,Patient16,0.05
epi_s705,1,0.9985,True,Patient16,0.05
epi_s706,3,1.0,True,Patient16,0.05
epi_s707,2,1.0,True,Patient16,0.05
epi_s708,2,0.9925,True,Patient16,0.05
epi_s709,2,0.9995,True,Patient16,0.05
epi_s71,4,0.99975,True,Patient16,0.05
epi_s710,6,1.0,True,Patient16,0.05
epi_s711,2,0.85275,False,Patient16,0.05
epi_s712,5,1.0,True,Patient16,0.05
epi_s713,4,0.4375,False,Patient16,0.05
epi_s714,1,0.9985,True,Patient16,0.05
epi_s715,3,0.9985,True,Patient16,0.05
epi_s716,2,0.99525,True,Patient16,0.05
epi_s717,2,0.999,True,Patient16,0.05
epi_s718,2,0.99475,True,Patient16,0.05
epi_s719,3,0.996,True,Patient16,0.05
epi_s72,19,0.9905,True,Patient16,0.05
epi_s720,2,0.99125,True,Patient16,0.05
epi_s721,2,0.995,True,Patient16,0.05
epi_s722,3,0.9955,True,Patient16,0.05
epi_s723,1,1.0,True,Patient16,0.05
epi_s724,1,1.0,True,Patient16,0.05
epi_s725,1,1.0,True,Patient16,0.05
epi_s726,1,0.999,True,Patient16,0.05
epi_s727,1,1.0,True,Patient16,0.05
epi_s728,3,1.0,True,Patient16,0.05
epi_s729,1,1.0,True,Patient16,0.05
epi_s73,12,0.99675,True,Patient16,0.05
epi_s730,1,0.9995,True,Patient16,0.05
epi_s731,1,1.0,True,Patient16,0.05
epi_s732,1,0.9995,True,Patient16,0.05
epi_s733,1,0.999,True,Patient16,0.05
epi_s734,2,1.0,True,Patient16,0.05
epi_s735,1,0.9985,True,Patient16,0.05
epi_s736,2,1.0,True,Patient16,0.05
epi_s737,1,1.0,True,Patient16,0.05
epi_s738,1,1.0,True,Patient16,0.05
epi_s739,1,1.0,True,Patient16,0.05
epi_s74,2,0.9965,True,Patient16,0.05
epi_s740,1,1.0,True,Patient16,0.05
epi_s741,1,1.0,True,Patient16,0.05
epi_s742,1,0.9995,True,Patient16,0.05
epi_s743,1,1.0,True,Patient16,0.05
epi_s744,1,1.0,True,Patient16,0.05
epi_s745,1,0.9985,True,Patient16,0.05
epi_s75,1,0.962,True,Patient16,0.05
epi_s76,9,1.0,True,Patient16,0.05
epi_s77,11,0.9985,True,Patient16,0.05
epi_s78,10,0.9990000000000001,True,Patient16,0.05
epi_s79,27,1.0,True,Patient16,0.05
epi_s8,49,0.386,False,Patient16,0.05
epi_s80,16,1.0,True,Patient16,0.05
epi_s81,5,1.0,True,Patient16,0.05
epi_s82,3,1.0,True,Patient16,0.05
epi_s83,28,1.0,True,Patient16,0.05
epi_s84,22,1.0,True,Patient16,0.05
epi_s85,12,1.0,True,Patient16,0.05
epi_s86,8,1.0,True,Patient16,0.05
epi_s87,22,1.0,True,Patient16,0.05
epi_s88,57,1.0,True,Patient16,0.05
epi_s89,9,0.9985,True,Patient16,0.05
epi_s9,7,0.4975,False,Patient16,0.05
epi_s90,8,1.0,True,Patient16,0.05
epi_s91,6,0.999,True,Patient16,0.05
epi_s92,7,1.0,True,Patient16,0.05
epi_s93,7,0.9995,True,Patient16,0.05
epi_s94,11,0.986,True,Patient16,0.05
epi_s95,19,1.0,True,Patient16,0.05
epi_s96,19,0.998,True,Patient16,0.05
epi_s97,16,1.0,True,Patient16,0.05
epi_s98,5,0.993,True,Patient16,0.05
epi_s99,3,1.0,True,Patient16,0.05
epi_s1,114,0.98375,True,Patient43,0.005
epi_s10,232,0.9835,True,Patient43,0.005
epi_s11,129,0.156,False,Patient43,0.005
epi_s12,136,0.965,True,Patient43,0.005
epi_s13,21,0.9775,True,Patient43,0.005
epi_s14,4,0.92675,True,Patient43,0.005
epi_s15,11,0.97,True,Patient43,0.005
epi_s16,96,0.07575,False,Patient43,0.005
epi_s17,1,0.0105,False,Patient43,0.005
epi_s18,218,0.89425,False,Patient43,0.005
epi_s19,89,0.5005,False,Patient43,0.005
epi_s2,4,0.975,True,Patient43,0.005
epi_s20,85,0.3465,False,Patient43,0.005
epi_s21,4,0.94725,True,Patient43,0.005
epi_s22,296,0.9257500000000001,True,Patient43,0.005
epi_s23,45,0.156,False,Patient43,0.005
epi_s24,202,0.1745,False,Patient43,0.005
epi_s25,315,0.763,False,Patient43,0.005
epi_s26,16,0.2415,False,Patient43,0.005
epi_s27,64,0.21175,False,Patient43,0.005
epi_s28,498,0.9985,True,Patient43,0.005
epi_s29,59,0.333,False,Patient43,0.005
epi_s3,78,0.63975,False,Patient43,0.005
epi_s30,20,0.97,True,Patient43,0.005
epi_s31,135,0.2975,False,Patient43,0.005
epi_s32,508,0.0405,False,Patient43,0.005
epi_s33,60,0.14675,False,Patient43,0.005
epi_s34,5,0.252,False,Patient43,0.005
epi_s35,1,0.9475,True,Patient43,0.005
epi_s36,2,0.21475,False,Patient43,0.005
epi_s37,1,0.8655,False,Patient43,0.005
epi_s38,4,0.93475,True,Patient43,0.005
epi_s39,2,0.60875,False,Patient43,0.005
epi_s4,446,0.975,True,Patient43,0.005
epi_s40,1,0.675,False,Patient43,0.005
epi_s41,1,0.6355,False,Patient43,0.005
epi_s42,92,0.9895,True,Patient43,0.005
epi_s43,12,0.9745,True,Patient43,0.005
epi_s44,4,0.14175,False,Patient43,0.005
epi_s45,440,0.982,True,Patient43,0.005
epi_s46,102,0.991,True,Patient43,0.005
epi_s47,1,0.992,True,Patient43,0.005
epi_s48,4,0.9915,True,Patient43,0.005
epi_s49,1,0.662,False,Patient43,0.005
epi_s5,108,0.37575000000000003,False,Patient43,0.005
epi_s50,1,0.999,True,Patient43,0.005
epi_s51,1,0.994,True,Patient43,0.005
epi_s52,1,0.8635,False,Patient43,0.005
epi_s53,1,0.9895,True,Patient43,0.005
epi_s6,188,0.291,False,Patient43,0.005
epi_s7,287,0.975,True,Patient43,0.005
epi_s8,34,0.99,True,Patient43,0.005
epi_s9,214,0.04475,False,Patient43,0.005
epi_s1,99,0.9855,True,Patient43,0.01
epi_s10,22,0.9915,True,Patient43,0.01
epi_s11,181,0.041,False,Patient43,0.01
epi_s12,187,0.9845,True,Patient43,0.01
epi_s13,89,0.1445,False,Patient43,0.01
epi_s14,103,0.976,True,Patient43,0.01
epi_s15,62,0.9795,True,Patient43,0.01
epi_s16,108,0.9624999999999999,True,Patient43,0.01
epi_s17,72,0.972,True,Patient43,0.01
epi_s18,69,0.9855,True,Patient43,0.01
epi_s19,117,0.9755,True,Patient43,0.01
epi_s2,35,0.7695,False,Patient43,0.01
epi_s20,65,0.057,False,Patient43,0.01
epi_s21,65,0.9125,True,Patient43,0.01
epi_s22,60,0.58075,False,Patient43,0.01
epi_s23,78,0.964,True,Patient43,0.01
epi_s24,55,0.9705,True,Patient43,0.01
epi_s25,6,0.988,True,Patient43,0.01
epi_s26,12,0.97,True,Patient43,0.01
epi_s27,67,0.2855,False,Patient43,0.01
epi_s28,6,0.79575,False,Patient43,0.01
epi_s29,111,0.9695,True,Patient43,0.01
epi_s3,219,0.975,True,Patient43,0.01
epi_s30,55,0.106,False,Patient43,0.01
epi_s31,145,0.2845,False,Patient43,0.01
epi_s32,139,0.184,False,Patient43,0.01
epi_s33,247,0.675,False,Patient43,0.01
epi_s34,62,0.2155,False,Patient43,0.01
epi_s35,247,0.999,True,Patient43,0.01
epi_s36,50,0.1515,False,Patient43,0.01
epi_s37,48,0.20875,False,Patient43,0.01
epi_s38,120,0.8294999999999999,False,Patient43,0.01
epi_s39,39,0.089,False,Patient43,0.01
epi_s4,31,0.3615,False,Patient43,0.01
epi_s40,78,0.9955,True,Patient43,0.01
epi_s41,9,0.917,True,Patient43,0.01
epi_s42,32,0.12325,False,Patient43,0.01
epi_s43,99,0.997,True,Patient43,0.01
epi_s44,93,0.383,False,Patient43,0.01
epi_s45,64,0.99175,True,Patient43,0.01
epi_s46,50,0.6405000000000001,False,Patient43,0.01
epi_s47,240,0.03625,False,Patient43,0.01
epi_s48,4,0.62225,False,Patient43,0.01
epi_s49,195,0.041,False,Patient43,0.01
epi_s5,16,0.5157499999999999,False,Patient43,0.01
epi_s50,274,0.9257500000000001,True,Patient43,0.01
epi_s51,81,0.346,False,Patient43,0.01
epi_s52,47,0.066,False,Patient43,0.01
epi_s53,4,0.975,True,Patient43,0.01
epi_s54,32,0.3105,False,Patient43,0.01
epi_s55,46,0.32875,False,Patient43,0.01
epi_s56,4,0.975,True,Patient43,0.01
epi_s57,40,0.12675,False,Patient43,0.01
epi_s58,1,0.3535,False,Patient43,0.01
epi_s59,24,0.41125,False,Patient43,0.01
epi_s6,1,0.1385,False,Patient43,0.01
epi_s60,1,0.8655,False,Patient43,0.01
epi_s61,9,0.9655,True,Patient43,0.01
epi_s62,4,0.974,True,Patient43,0.01
epi_s63,26,0.156,False,Patient43,0.01
epi_s64,2,0.21150000000000002,False,Patient43,0.01
epi_s65,8,0.96025,True,Patient43,0.01
epi_s66,2,0.01325,False,Patient43,0.01
epi_s67,17,0.087,False,Patient43,0.01
epi_s68,1,0.898,False,Patient43,0.01
epi_s69,1,0.675,False,Patient43,0.01
epi_s7,53,0.194,False,Patient43,0.01
epi_s70,44,0.9915,True,Patient43,0.01
epi_s71,1,0.046,False,Patient43,0.01
epi_s72,1,0.9885,True,Patient43,0.01
epi_s73,1,0.937,True,Patient43,0.01
epi_s74,1,0.9555,True,Patient43,0.01
epi_s75,1,0.927,True,Patient43,0.01
epi_s76,1,0.522,False,Patient43,0.01
epi_s77,238,0.9785,True,Patient43,0.01
epi_s78,64,0.98325,True,Patient43,0.01
epi_s79,83,0.9805,True,Patient43,0.01
epi_s8,19,0.9785,True,Patient43,0.01
epi_s80,102,0.9915,True,Patient43,0.01
epi_s81,52,0.97175,True,Patient43,0.01
epi_s82,97,0.9905,True,Patient43,0.01
epi_s83,1,0.992,True,Patient43,0.01
epi_s84,8,0.995,True,Patient43,0.01
epi_s85,27,0.9975,True,Patient43,0.01
epi_s86,10,0.8845,False,Patient43,0.01
epi_s87,1,0.999,True,Patient43,0.01
epi_s88,1,0.9745,True,Patient43,0.01
epi_s9,12,0.5365,False,Patient43,0.01
epi_s1,57,0.9835,True,Patient43,0.02
epi_s10,8,0.17825,False,Patient43,0.02
epi_s100,3,0.314,False,Patient43,0.02
epi_s101,12,0.86675,False,Patient43,0.02
epi_s102,22,0.156,False,Patient43,0.02
epi_s103,5,0.088,False,Patient43,0.02
epi_s104,5,0.943,True,Patient43,0.02
epi_s105,17,0.3515,False,Patient43,0.02
epi_s106,29,0.089,False,Patient43,0.02
epi_s107,36,0.15475,False,Patient43,0.02
epi_s108,13,0.9795,True,Patient43,0.02
epi_s109,13,0.321,False,Patient43,0.02
epi_s11,56,0.98525,True,Patient43,0.02
epi_s110,1,0.9475,True,Patient43,0.02
epi_s111,23,0.383,False,Patient43,0.02
epi_s112,7,0.1525,False,Patient43,0.02
epi_s113,10,0.54725,False,Patient43,0.02
epi_s114,15,0.706,False,Patient43,0.02
epi_s115,10,0.77325,False,Patient43,0.02
epi_s116,5,0.978,True,Patient43,0.02
epi_s117,3,0.244,False,Patient43,0.02
epi_s118,1,0.8655,False,Patient43,0.02
epi_s119,14,0.5585,False,Patient43,0.02
epi_s12,38,0.1075,False,Patient43,0.02
epi_s120,10,0.70575,False,Patient43,0.02
epi_s121,5,0.959,True,Patient43,0.02
epi_s122,1,0.0355,False,Patient43,0.02
epi_s123,2,0.60875,False,Patient43,0.02
epi_s124,2,0.45475,False,Patient43,0.02
epi_s125,3,0.702,False,Patient43,0.02
epi_s126,1,0.6565,False,Patient43,0.02
epi_s127,1,0.6035,False,Patient43,0.02
epi_s128,2,0.5582499999999999,False,Patient43,0.02
epi_s129,4,0.976,True,Patient43,0.02
epi_s13,86,0.978,True,Patient43,0.02
epi_s130,6,0.5217499999999999,False,Patient43,0.02
epi_s131,20,0.98375,True,Patient43,0.02
epi_s132,3,0.9805,True,Patient43,0.02
epi_s133,2,0.041249999999999995,False,Patient43,0.02
epi_s134,20,0.97775,True,Patient43,0.02
epi_s135,29,0.997,True,Patient43,0.02
epi_s136,1,0.3275,False,Patient43,0.02
epi_s137,1,0.721,False,Patient43,0.02
epi_s138,2,0.98075,True,Patient43,0.02
epi_s139,41,0.912,True,Patient43,0.02
epi_s14,39,0.98,True,Patient43,0.02
epi_s140,1,0.927,True,Patient43,0.02
epi_s141,7,0.9955,True,Patient43,0.02
epi_s142,171,0.9775,True,Patient43,0.02
epi_s143,45,0.9805,True,Patient43,0.02
epi_s144,82,0.9810000000000001,True,Patient43,0.02
epi_s145,79,0.9915,True,Patient43,0.02
epi_s146,72,0.9995,True,Patient43,0.02
epi_s147,29,0.9825,True,Patient43,0.02
epi_s148,38,0.98975,True,Patient43,0.02
epi_s149,74,0.99,True,Patient43,0.02
epi_s15,91,0.9695,True,Patient43,0.02
epi_s150,21,0.9955,True,Patient43,0.02
epi_s151,2,0.996,True,Patient43,0.02
epi_s152,12,0.993,True,Patient43,0.02
epi_s153,38,0.9995,True,Patient43,0.02
epi_s154,22,0.982,True,Patient43,0.02
epi_s155,40,0.9445,True,Patient43,0.02
epi_s156,84,0.99725,True,Patient43,0.02
epi_s157,7,0.995,True,Patient43,0.02
epi_s158,27,0.9975,True,Patient43,0.02
epi_s159,25,1.0,True,Patient43,0.02
epi_s16,55,0.9555,True,Patient43,0.02
epi_s160,9,0.9795,True,Patient43,0.02
epi_s161,20,0.9935,True,Patient43,0.02
epi_s162,25,0.9745,True,Patient43,0.02
epi_s163,1,0.998,True,Patient43,0.02
epi_s164,1,0.9845,True,Patient43,0.02
epi_s165,4,0.8049999999999999,False,Patient43,0.02
epi_s166,1,0.953,True,Patient43,0.02
epi_s167,1,0.999,True,Patient43,0.02
epi_s168,1,0.97,True,Patient43,0.02
epi_s169,1,0.97,True,Patient43,0.02
epi_s17,20,0.9695,True,Patient43,0.02
epi_s18,56,0.97275,True,Patient43,0.02
epi_s19,56,0.98575,True,Patient43,0.02
epi_s2,34,0.667,False,Patient43,0.02
epi_s20,41,0.9855,True,Patient43,0.02
epi_s21,30,0.9864999999999999,True,Patient43,0.02
epi_s22,11,0.1,False,Patient43,0.02
epi_s23,5,0.9675,True,Patient43,0.02
epi_s24,5,0.9665,True,Patient43,0.02
epi_s25,48,0.9035,True,Patient43,0.02
epi_s26,51,0.9605,True,Patient43,0.02
epi_s27,23,0.954,True,Patient43,0.02
epi_s28,30,0.33575,False,Patient43,0.02
epi_s29,24,0.98125,True,Patient43,0.02
epi_s3,122,0.978,True,Patient43,0.02
epi_s30,39,0.9695,True,Patient43,0.02
epi_s31,114,0.9822500000000001,True,Patient43,0.02
epi_s32,48,0.9345000000000001,True,Patient43,0.02
epi_s33,6,0.988,True,Patient43,0.02
