sample,rho,method,tfidf_min,adjust_method,n_cells,n_genes,umis_before,umis_after,frac_removed,n_deltas,soupx_version
P53_A_P,0.011,autoEstCont,1,subtraction,8894,30869,39849734,39411349,0.0110009517252988,401622,1.6.2
P52_B_N,0.011,autoEstCont,1,subtraction,3714,30869,22270263,22025092,0.0110088955842147,234385,1.6.2
P09_B_P,0.011,autoEstCont,1,subtraction,10399,30869,67391016,66650136,0.0109937502648721,645742,1.6.2
P06_A_P,0.011,autoEstCont,1,subtraction,8463,30869,70228487,69457092,0.0109840754507498,679022,1.6.2
P26_A_P,0.011,autoEstCont,1,subtraction,5295,30869,53308636,52722949,0.0109867189248661,515737,1.6.2
P06_C_P,0.01,autoEstCont,1,subtraction,5230,30869,49862337,49363364,0.0100070119055992,421759,1.6.2
P05_C_P,0.01,autoEstCont,1,subtraction,3340,30869,18020187,17839805,0.0100099960116951,165440,1.6.2
P06_B_P,0.01,autoEstCont,1,subtraction,2288,30869,18498177,18312962,0.0100126082694527,156412,1.6.2
P04_C_P,0.01,autoEstCont,1,subtraction,3101,30869,21756697,21539574,0.0099795938694186,192910,1.6.2
P05_A_P,0.01,autoEstCont,1,subtraction,6910,30869,41309964,40897383,0.0099874451597198,359617,1.6.2
P04_B_P,0.01,autoEstCont,1,subtraction,1222,30869,6651633,6584901,0.0100324236168772,62026,1.6.2
P05_B_P,0.01,autoEstCont,1,subtraction,4756,30869,27996952,27716927,0.0100019816442876,232463,1.6.2
P03_B1_P,0.01,autoEstCont,1,subtraction,1919,30869,7493540,7418552,0.0100070193793588,66504,1.6.2
P03_C2_P,0.01,autoEstCont,1,subtraction,1765,30869,8507320,8422117,0.0100152574488793,79179,1.6.2
P03_C1_P,0.01,autoEstCont,1,subtraction,109,30869,62352,61734,0.0099114703618167,583,1.6.2
P03_B2_P,0.01,autoEstCont,1,subtraction,4058,30869,28639420,28353122,0.0099966409934279,253660,1.6.2
P03_A1_P,0.01,autoEstCont,1,subtraction,1550,30869,7271214,7198173,0.0100452276607455,62426,1.6.2
P03_A2_P,0.01,autoEstCont,1,subtraction,2419,30869,11357835,11244146,0.0100097421735745,97053,1.6.2
P02_C_P,0.01,autoEstCont,1,subtraction,4532,30869,27681997,27405028,0.0100053836433838,247902,1.6.2
P04_A_P,0.01,autoEstCont,1,subtraction,3367,30869,19908694,19709582,0.0100012587465557,181532,1.6.2
P19_A_P,0.01,autoEstCont,1,subtraction,2611,30869,7718734,7641509,0.0100048790384537,69816,1.6.2
P18_C_P,0.01,autoEstCont,1,subtraction,11681,30869,52780770,52253389,0.0099919156162367,486361,1.6.2
P18_B_P,0.01,autoEstCont,1,subtraction,7128,30869,40407992,40004212,0.0099925777059152,369914,1.6.2
P18_B_N,0.01,autoEstCont,1,subtraction,1258,30869,11258648,11145971,0.0100080400417528,69407,1.6.2
P17_B_P,0.01,autoEstCont,1,subtraction,3110,30869,19848505,19650653,0.0099681059102436,183913,1.6.2
P16_B_P,0.01,autoEstCont,1,subtraction,8354,30869,59921732,59322675,0.0099973245099123,543085,1.6.2
P16_C_N,0.01,autoEstCont,1,subtraction,171,30869,2053397,2032762,0.0100492013965151,18681,1.6.2
P16_C_P,0.01,autoEstCont,1,subtraction,11570,30869,58343109,57760780,0.009981110194179,532133,1.6.2
P12_A_P,0.01,autoEstCont,1,subtraction,8301,30869,31749201,31431552,0.010004944691364,288264,1.6.2
P12_B_P,0.01,autoEstCont,1,subtraction,6436,30869,25131906,24880817,0.0099908458992326,233663,1.6.2
P11_B_P,0.01,autoEstCont,1,subtraction,4834,30869,23205708,22973974,0.0099860775633305,206194,1.6.2
P07_B_P,0.01,autoEstCont,1,subtraction,543,30869,7000858,6930793,0.0100080590121954,56574,1.6.2
P10_A_P,0.01,autoEstCont,1,subtraction,7021,30869,54892891,54344427,0.0099915305972862,484201,1.6.2
P09_C_P,0.01,autoEstCont,1,subtraction,6851,30869,44157815,43715935,0.010006835709602,405011,1.6.2
P07_C_P,0.01,autoEstCont,1,subtraction,4445,30869,39754331,39357356,0.0099857044506672,350595,1.6.2
P07_A_P,0.01,autoEstCont,1,subtraction,3370,30869,25382495,25128577,0.0100036659122754,229790,1.6.2
P42_C_P,0.01,autoEstCont,1,subtraction,2258,30869,6196390,6134285,0.0100227713233028,59952,1.6.2
P43_A_P,0.01,autoEstCont,1,subtraction,1768,30869,7129710,7058165,0.0100347699976577,69747,1.6.2
P39_B_P,0.01,autoEstCont,1,subtraction,3947,30869,25366117,25112600,0.0099943164340052,219968,1.6.2
P39_C_N,0.01,autoEstCont,1,subtraction,240,30869,779943,772129,0.0100186808523187,7720,1.6.2
P42_A_N,0.01,autoEstCont,1,subtraction,2199,30869,21482299,21267502,0.0099987901667321,202744,1.6.2
P39_C_P,0.01,autoEstCont,1,subtraction,513,30869,1011404,1001317,0.009973264887226,10006,1.6.2
P42_A_P,0.01,autoEstCont,1,subtraction,2710,30869,11268601,11155502,0.0100366496249179,104290,1.6.2
P42_C_N,0.01,autoEstCont,1,subtraction,5591,30869,23152262,22920924,0.0099920258331561,228249,1.6.2
P23_C_P,0.01,autoEstCont,1,subtraction,423,30869,2802525,2774476,0.0100084745006735,24678,1.6.2
P23_B_P,0.01,autoEstCont,1,subtraction,996,30869,3959715,3919902,0.0100545114989336,37218,1.6.2
P26_C_P,0.01,autoEstCont,1,subtraction,7335,30869,38434261,38050634,0.0099813809350985,339509,1.6.2
P26_B_P,0.01,autoEstCont,1,subtraction,4964,30869,13376423,13242416,0.0100181490971091,129777,1.6.2
P30_A_P,0.01,autoEstCont,1,subtraction,167,30869,923110,913728,0.0101634691423557,5236,1.6.2
P39_A_N,0.01,autoEstCont,1,subtraction,520,30869,549462,543959,0.0100152512821633,5308,1.6.2
P39_A_P,0.01,autoEstCont,1,subtraction,484,30869,503514,498510,0.0099381546491259,4903,1.6.2
P39_B_N,0.01,autoEstCont,1,subtraction,3876,30869,31710394,31393424,0.0099957761483506,265897,1.6.2
P20_A_P,0.01,autoEstCont,1,subtraction,1089,30869,4728989,4681689,0.0100021378776732,42614,1.6.2
P20_B_P,0.01,autoEstCont,1,subtraction,5768,30869,34747609,34400259,0.0099963712611132,316654,1.6.2
P20_C_P,0.01,autoEstCont,1,subtraction,4553,30869,32890888,32562173,0.0099941053582986,299600,1.6.2
P11_C_P,0.01,autoEstCont,1,subtraction,3221,30869,14603920,14457685,0.01001340735912,139855,1.6.2
P11_A_P,0.01,autoEstCont,1,subtraction,3974,30869,9996418,9895906,0.0100548016299438,90027,1.6.2
P16_A_N,0.01,autoEstCont,1,subtraction,3860,30869,25450372,25195869,0.0099999717096473,231172,1.6.2
P15_C_P,0.01,autoEstCont,1,subtraction,1027,30869,11184948,11072756,0.0100306232983828,92724,1.6.2
P15_B_P,0.01,autoEstCont,1,subtraction,6207,30869,40012962,39613303,0.0099882383113752,356284,1.6.2
P47_C_N,0.01,autoEstCont,1,subtraction,2361,30869,5228481,5176048,0.0100283428399185,38887,1.6.2
P47_B_N,0.01,autoEstCont,1,subtraction,2947,30869,12878138,12749066,0.010022566926989,122850,1.6.2
P47_A_P,0.01,autoEstCont,1,subtraction,3210,30869,14811249,14663168,0.0099978739132668,143214,1.6.2
P46_C_P,0.01,autoEstCont,1,subtraction,2696,30869,4962398,4912603,0.0100344631768754,49016,1.6.2
