# convergence | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 12-,DR 12,-,MP8_PROTEASOMAL_DEGRADATION,0.2024,MP8_PROTEASOMAL_DEGRADATION,0.2024,MP14_EMT_3,4.3109,4.887648886615807e-05,True,True,False,False,proteostasis,emt,both_routes_different_family,False,none
DR 13+,DR 13,+,MP7_STRESS_IN_VITRO,0.0714,MP7_STRESS_IN_VITRO,0.0714,MP41_UNASSIGNED,0.7354,0.1839077368328081,False,False,False,False,stress,unassigned,neither,False,cell_cycle
DR 13-,DR 13,-,MP23_SECRETED_2,0.1401,MP23_SECRETED_2,0.1401,MP14_EMT_3,13.5505,2.815140015133303e-14,False,True,False,False,secreted,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 14+,DR 14,+,MP2_CELL_CYCLE_G1_S,0.5793,MP2_CELL_CYCLE_G1_S,0.5793,MP2_CELL_CYCLE_G1_S,25.8313,1.4746875033173517e-26,True,True,True,True,cell_cycle,cell_cycle,convergent,False,cell_cycle
DR 14-,DR 14,-,MP15_EMT_4,0.1817,MP15_EMT_4,0.1817,MP6_HYPOXIA,4.2503,5.619530077001323e-05,False,True,False,False,emt,stress,factor_only_candidate_patient_or_technical,False,none
DR 15+,DR 15,+,MP11_TRANSLATION_INITIATION,0.1284,MP11_TRANSLATION_INITIATION,0.1284,MP14_EMT_3,4.3109,4.887648886615807e-05,False,True,False,False,proteostasis,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 15-,DR 15,-,MP33_RBCS,0.1663,MP33_RBCS,0.1663,MP12_EMT_1,10.9761,1.0565741960029275e-11,False,True,False,False,other_lineage,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 16+,DR 16,+,MP30_PDAC_CLASSICAL,0.117,MP30_PDAC_CLASSICAL,0.117,MP14_EMT_3,5.9215,1.198119123190034e-06,False,True,False,False,epithelial_lineage,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 16-,DR 16,-,MP5_STRESS,0.2233,MP5_STRESS,0.2233,MP5_STRESS,2.4937,0.003208484902035953,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 17+,DR 17,+,MP23_SECRETED_2,0.1108,MP23_SECRETED_2,0.1108,MP23_SECRETED_2,2.2495,0.005629891173942436,False,True,False,False,secreted,secreted,factor_only_candidate_patient_or_technical,False,none
DR 17-,DR 17,-,MP16_MES_GLIOMA,0.1744,MP16_MES_GLIOMA,0.1744,MP39_METAL_RESPONSE,3.1763,0.0006663463144693568,False,True,False,False,emt,detoxification,factor_only_candidate_patient_or_technical,False,none
DR 18+,DR 18,+,MP3_CELL_CYCLE_HMG_RICH,0.1763,MP3_CELL_CYCLE_HMG_RICH,0.1763,MP10_PROTEIN_MATURATION,3.5572,0.0002772043237577702,False,True,False,False,cell_cycle,proteostasis,factor_only_candidate_patient_or_technical,False,depth
DR 18-,DR 18,-,MP17_INTERFERON_MHC_II_1,0.1027,MP17_INTERFERON_MHC_II_1,0.1027,MP35_HEMATO_RELATED_1,0.8186,0.1518448266141223,False,False,False,False,immune,other_lineage,neither,False,none
DR 19+,DR 19,+,MP5_STRESS,0.703,MP5_STRESS,0.703,MP5_STRESS,35.1144,7.684223711000205e-36,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 19-,DR 19,-,MP21_RESPIRATION,0.1103,MP21_RESPIRATION,0.1103,MP2_CELL_CYCLE_G1_S,2.3521,0.00444528899122317,False,True,False,False,metabolic,cell_cycle,factor_only_candidate_patient_or_technical,False,cell_cycle
DR 20+,DR 20,+,MP13_EMT_2,0.2185,MP13_EMT_2,0.2185,MP13_EMT_2,3.0645,0.0008619855787057589,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 20-,DR 20,-,MP23_SECRETED_2,0.1498,MP23_SECRETED_2,0.1498,MP23_SECRETED_2,5.2845,5.1939767350700705e-06,False,True,False,False,secreted,secreted,factor_only_candidate_patient_or_technical,False,none
DR 21+,DR 21,+,MP17_INTERFERON_MHC_II_1,0.0951,MP17_INTERFERON_MHC_II_1,0.0951,MP35_HEMATO_RELATED_1,0.8186,0.1518448266141223,False,False,False,False,immune,other_lineage,neither,False,none
DR 21-,DR 21,-,MP3_CELL_CYCLE_HMG_RICH,0.2081,MP3_CELL_CYCLE_HMG_RICH,0.2081,MP14_EMT_3,2.9497,0.001122793784950934,True,True,False,False,cell_cycle,emt,both_routes_different_family,False,"depth,cell_cycle"
DR 22+,DR 22,+,MP28_OLIGO_NORMAL,0.1493,MP28_OLIGO_NORMAL,0.1493,MP32_SKIN_PIGMENTATION,2.2384,0.005775638463945334,False,True,False,False,neural,other_lineage,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 22-,DR 22,-,MP30_PDAC_CLASSICAL,0.1023,MP30_PDAC_CLASSICAL,0.1023,MP14_EMT_3,4.3109,4.887648886615807e-05,False,True,False,False,epithelial_lineage,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 23+,DR 23,+,MP39_METAL_RESPONSE,0.0687,MP39_METAL_RESPONSE,0.0687,MP14_EMT_3,2.9497,0.001122793784950934,False,True,False,False,detoxification,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 23-,DR 23,-,MP17_INTERFERON_MHC_II_1,0.3598,MP17_INTERFERON_MHC_II_1,0.3598,MP17_INTERFERON_MHC_II_1,21.6707,2.134518877403093e-22,True,True,True,True,immune,immune,convergent,False,none
DR 24+,DR 24,+,MP3_CELL_CYCLE_HMG_RICH,0.1077,MP3_CELL_CYCLE_HMG_RICH,0.1077,MP2_CELL_CYCLE_G1_S,1.3437,0.045321053854810445,False,True,False,False,cell_cycle,cell_cycle,factor_only_candidate_patient_or_technical,False,cell_cycle
DR 24-,DR 24,-,MP6_HYPOXIA,0.452,MP6_HYPOXIA,0.452,MP6_HYPOXIA,24.4393,3.63663739330848e-25,True,True,True,True,stress,stress,convergent,False,none
DR 25+,DR 25,+,MP3_CELL_CYCLE_HMG_RICH,0.0938,MP3_CELL_CYCLE_HMG_RICH,0.0938,MP26_NPC_GLIOMA,1.8808,0.013158306550959186,False,True,False,False,cell_cycle,neural,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 25-,DR 25,-,MP23_SECRETED_2,0.3418,MP23_SECRETED_2,0.3418,MP23_SECRETED_2,9.5063,3.1167358754452866e-10,True,True,True,True,secreted,secreted,convergent,False,none
DR 26+,DR 26,+,MP22_SECRETED_1,0.1776,MP22_SECRETED_1,0.1776,MP5_STRESS,5.9251,1.1882285961900014e-06,False,True,False,False,secreted,stress,factor_only_candidate_patient_or_technical,False,cell_cycle
DR 26-,DR 26,-,MP8_PROTEASOMAL_DEGRADATION,0.2744,MP8_PROTEASOMAL_DEGRADATION,0.2744,MP26_NPC_GLIOMA,2.6384,0.0022993230870212242,True,True,False,False,proteostasis,neural,both_routes_different_family,False,none
DR 27+,DR 27,+,MP21_RESPIRATION,0.0745,MP21_RESPIRATION,0.0745,MP14_EMT_3,1.4098,0.038922434816444154,False,True,False,False,metabolic,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 27-,DR 27,-,MP17_INTERFERON_MHC_II_1,0.5126,MP17_INTERFERON_MHC_II_1,0.5126,MP17_INTERFERON_MHC_II_1,26.6135,2.4350057999520334e-27,True,True,True,True,immune,immune,convergent,False,none
