# convergence | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 51+,DR 51,+,MP30_PDAC_CLASSICAL,0.1506,MP30_PDAC_CLASSICAL,0.1506,MP18_INTERFERON_MHC_II_2,4.0793,8.3310549691761e-05,False,True,False,False,epithelial_lineage,immune,factor_only_candidate_patient_or_technical,False,none
DR 51-,DR 51,-,MP5_STRESS,0.147,MP5_STRESS,0.147,MP14_EMT_3,6.8176,1.5219486509036537e-07,False,True,False,False,stress,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 52+,DR 52,+,MP2_CELL_CYCLE_G1_S,0.1715,MP2_CELL_CYCLE_G1_S,0.1715,MP19_EPITHELIAL_SENESCENCE,1.7651,0.017175128696706298,False,True,False,False,cell_cycle,senescence,factor_only_candidate_patient_or_technical,True,none
DR 52-,DR 52,-,MP17_INTERFERON_MHC_II_1,0.2254,MP17_INTERFERON_MHC_II_1,0.2254,MP18_INTERFERON_MHC_II_2,6.3708,4.257944535825967e-07,True,True,False,True,immune,immune,convergent,True,none
DR 53+,DR 53,+,MP41_UNASSIGNED,0.2554,MP41_UNASSIGNED,0.2554,MP18_INTERFERON_MHC_II_2,5.5391,2.890014355349468e-06,True,True,False,False,unassigned,immune,both_routes_different_family,True,depth
DR 53-,DR 53,-,MP12_EMT_1,0.2587,MP12_EMT_1,0.2587,MP14_EMT_3,2.9497,0.001122793784950934,True,True,False,True,emt,emt,convergent,True,mesenchymal_may_be_ambient_or_doublet
DR 54+,DR 54,+,MP41_UNASSIGNED,0.245,MP41_UNASSIGNED,0.245,MP17_INTERFERON_MHC_II_1,4.0793,8.3310549691761e-05,True,True,False,False,unassigned,immune,both_routes_different_family,True,depth
DR 54-,DR 54,-,MP2_CELL_CYCLE_G1_S,0.1982,MP2_CELL_CYCLE_G1_S,0.1982,MP14_EMT_3,4.3109,4.887648886615807e-05,False,True,False,False,cell_cycle,emt,factor_only_candidate_patient_or_technical,True,mesenchymal_may_be_ambient_or_doublet
DR 55+,DR 55,+,MP41_UNASSIGNED,0.1016,MP41_UNASSIGNED,0.1016,MP19_EPITHELIAL_SENESCENCE,2.2495,0.005629891173942436,False,True,False,False,unassigned,senescence,factor_only_candidate_patient_or_technical,True,none
DR 55-,DR 55,-,MP16_MES_GLIOMA,0.1695,MP16_MES_GLIOMA,0.1695,MP18_INTERFERON_MHC_II_2,4.7865,1.634933151129828e-05,False,True,False,False,emt,immune,factor_only_candidate_patient_or_technical,True,none
DR 56+,DR 56,+,MP28_OLIGO_NORMAL,0.1578,MP28_OLIGO_NORMAL,0.1578,MP14_EMT_3,4.3109,4.887648886615807e-05,False,True,False,False,neural,emt,factor_only_candidate_patient_or_technical,True,mesenchymal_may_be_ambient_or_doublet
DR 56-,DR 56,-,MP3_CELL_CYCLE_HMG_RICH,0.3138,MP3_CELL_CYCLE_HMG_RICH,0.3138,MP18_INTERFERON_MHC_II_2,3.4447,0.0003591699547871438,True,True,False,False,cell_cycle,immune,both_routes_different_family,True,"depth,cell_cycle"
DR 57+,DR 57,+,MP18_INTERFERON_MHC_II_2,0.2319,MP18_INTERFERON_MHC_II_2,0.2319,MP18_INTERFERON_MHC_II_2,5.5391,2.890014355349468e-06,True,True,True,True,immune,immune,convergent,True,none
DR 57-,DR 57,-,MP2_CELL_CYCLE_G1_S,0.1374,MP2_CELL_CYCLE_G1_S,0.1374,MP14_EMT_3,2.3619,0.004346102853675936,False,True,False,False,cell_cycle,emt,factor_only_candidate_patient_or_technical,True,mesenchymal_may_be_ambient_or_doublet
DR 58+,DR 58,+,MP10_PROTEIN_MATURATION,0.1744,MP10_PROTEIN_MATURATION,0.1744,MP11_TRANSLATION_INITIATION,1.4144,0.03851234824289314,False,True,False,False,proteostasis,proteostasis,factor_only_candidate_patient_or_technical,True,none
DR 58-,DR 58,-,MP3_CELL_CYCLE_HMG_RICH,0.3557,MP3_CELL_CYCLE_HMG_RICH,0.3557,MP14_EMT_3,6.8176,1.5219486509036537e-07,True,True,False,False,cell_cycle,emt,both_routes_different_family,True,"depth,cell_cycle"
DR 59+,DR 59,+,MP40_PDAC_RELATED,0.206,MP40_PDAC_RELATED,0.206,MP30_PDAC_CLASSICAL,3.1152,0.0007670081876935095,True,True,False,True,epithelial_lineage,epithelial_lineage,convergent,True,none
DR 59-,DR 59,-,MP5_STRESS,0.2501,MP5_STRESS,0.2501,MP18_INTERFERON_MHC_II_2,4.7865,1.634933151129828e-05,True,True,False,False,stress,immune,both_routes_different_family,True,cell_cycle
DR 60+,DR 60,+,MP31_ALVEOLAR,0.1763,MP31_ALVEOLAR,0.1763,MP14_EMT_3,3.5923,0.0002556819088689687,False,True,False,False,epithelial_lineage,emt,factor_only_candidate_patient_or_technical,True,mesenchymal_may_be_ambient_or_doublet
DR 60-,DR 60,-,MP5_STRESS,0.3427,MP5_STRESS,0.3427,MP11_TRANSLATION_INITIATION,1.4144,0.03851234824289314,True,True,False,False,stress,proteostasis,both_routes_different_family,True,cell_cycle
DR 61+,DR 61,+,MP5_STRESS,0.3131,MP5_STRESS,0.3131,MP14_EMT_3,3.5923,0.0002556819088689687,True,True,False,False,stress,emt,both_routes_different_family,True,cell_cycle
DR 61-,DR 61,-,MP3_CELL_CYCLE_HMG_RICH,0.1705,MP3_CELL_CYCLE_HMG_RICH,0.1705,MP17_INTERFERON_MHC_II_1,4.0793,8.3310549691761e-05,False,True,False,False,cell_cycle,immune,factor_only_candidate_patient_or_technical,True,none
DR 62+,DR 62,+,MP10_PROTEIN_MATURATION,0.3054,MP10_PROTEIN_MATURATION,0.3054,MP18_INTERFERON_MHC_II_2,6.3708,4.257944535825967e-07,True,True,False,False,proteostasis,immune,both_routes_different_family,True,depth
DR 62-,DR 62,-,MP30_PDAC_CLASSICAL,0.0805,MP30_PDAC_CLASSICAL,0.0805,MP25_ASTROCYTES,1.5528,0.028002705950106354,False,True,False,False,epithelial_lineage,neural,factor_only_candidate_patient_or_technical,True,lineage_control_claim_bounds_the_rest
DR 63+,DR 63,+,MP38_GLUTATHIONE,0.0912,MP38_GLUTATHIONE,0.0912,MP6_HYPOXIA,1.2757,0.053002944883579574,False,False,False,False,detoxification,stress,neither,False,none
DR 63-,DR 63,-,MP41_UNASSIGNED,0.1279,MP41_UNASSIGNED,0.1279,MP14_EMT_3,8.7632,1.7250432972458458e-09,False,True,False,False,unassigned,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 64+,DR 64,+,MP2_CELL_CYCLE_G1_S,0.1173,MP2_CELL_CYCLE_G1_S,0.1173,MP14_EMT_3,5.9215,1.198119123190034e-06,False,True,False,False,cell_cycle,emt,factor_only_candidate_patient_or_technical,True,mesenchymal_may_be_ambient_or_doublet
DR 64-,DR 64,-,MP14_EMT_3,0.245,MP14_EMT_3,0.245,MP38_GLUTATHIONE,0.9719,0.1066841742340247,True,False,False,False,emt,detoxification,cell_only_state_not_on_one_axis,True,mesenchymal_may_be_ambient_or_doublet
