# dim_geneset_signed_significance | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP16_MES_GLIOMA,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP24_CILIA,MP25_ASTROCYTES,MP26_NPC_GLIOMA,MP27_OLIGO_PROGENITOR,MP28_OLIGO_NORMAL,MP29_NPC_OPC,MP30_PDAC_CLASSICAL,MP31_ALVEOLAR,MP40_PDAC_RELATED,MP32_SKIN_PIGMENTATION,MP33_RBCS,MP34_PLATELET_ACTIVATION,MP35_HEMATO_RELATED_1,MP36_IG,MP37_HEMATO_RELATED_2,MP41_UNASSIGNED
DR 20,0.0463,0.7354,0.0,0.826,-4.2503,2.0817,1.4144,0.0,1.8808,0.6445,0.9962,3.0645,1.854,0.639,1.2193,0.2985,0.5028,-2.2495,1.1694,0.4869,-0.9719,1.2193,1.077,-5.2845,0.9478,1.5528,0.4015,-0.1823,-0.9719,-0.0216,-0.6791,-1.0881,-0.0,-0.3006,-0.0725,0.7545,0.0973,0.0,-0.5953,-0.0372
DR 21,0.0,-0.3006,0.0,0.0,-1.7189,-0.0725,-0.1487,0.0,-0.7582,-0.1487,-0.9962,-0.1771,-2.9497,-0.2137,0.0,0.0,-2.8427,-0.975,-0.5233,0.0,-0.9719,-2.606,-0.0697,-1.0839,-1.5163,-1.5528,-0.7582,-0.5028,-0.5711,0.0216,-1.4144,-0.1605,0.0,-0.0877,0.0,-0.7545,0.8186,0.0808,-0.1284,0.0372
DR 45,-0.0463,-0.3006,0.0,-13.1468,1.7189,-3.657,-0.6445,-0.4869,-0.7582,0.6445,2.5827,-3.0645,-6.8176,1.2757,-4.4403,0.5028,2.8427,-3.4518,0.5233,0.4869,0.0725,2.0781,-7.7759,-1.0839,0.1823,7.3265,-0.7582,0.1823,0.2741,0.2573,-0.06,0.0216,-7.765,1.051,-0.0725,-3.0165,-0.0,0.0,-0.0,0.0
DR 51,-0.3785,-1.3312,0.0,-2.4937,-0.5897,-0.5711,-1.4144,0.0,1.8808,-1.4144,0.724,-0.3508,-6.8176,0.639,-1.6865,0.1449,4.0793,0.2323,-2.1005,0.4869,0.9719,-2.606,0.0697,3.3158,-0.5028,0.5233,-0.7582,0.0,0.9719,-0.0216,3.1152,0.4015,-0.0,-0.0,0.2741,1.1694,0.5179,0.0,0.1284,0.0372
DR 6,-0.1801,-0.7354,0.0,6.8019,-5.0678,-0.5711,-0.6445,0.0,-1.8808,1.4144,-0.724,-1.5359,-2.9497,0.639,0.0973,-0.7527,-2.2869,1.7651,1.1694,-0.4869,0.2741,-2.606,2.0175,8.5477,-1.5163,1.166,-3.5572,-0.1823,-0.9719,0.0,-1.4144,-0.7012,1.4098,0.0877,0.0725,-1.1694,-0.0,-0.0,0.1284,-0.0372
DR 63,-0.1801,-1.3312,0.0,-0.3508,1.2757,-0.2741,-0.6445,0.0,0.4015,0.1487,0.1568,-0.3508,-8.7632,0.639,0.5179,-0.7527,-1.4098,-0.975,0.5233,-0.4869,0.2741,-1.2193,0.4518,0.7824,-0.5028,-0.789,-1.2617,0.0,0.5711,0.2573,-1.9105,0.4015,-0.2517,-0.0877,0.5711,0.7545,-0.273,-0.0,0.3219,-0.0372
DR 5,0.6386,0.7354,-0.2137,-2.4937,1.7189,0.9719,0.6445,0.4869,0.7582,0.1487,-6.4605,-5.1217,5.0843,-6.3597,-0.8186,1.4098,-1.051,4.8886,0.5233,-0.4869,0.2741,-1.6046,-0.7251,1.8167,0.9478,-5.4833,0.1284,-0.9478,-0.0725,-0.0216,3.8277,0.4015,1.4098,-0.3006,-0.0725,0.187,-0.0,-0.0,-0.0,-0.0372
DR 29,0.0,-0.3006,-0.2137,0.826,2.2369,-0.9719,0.1487,0.4869,-0.4015,-0.1487,0.724,19.817,17.6427,0.0787,9.7362,-0.1449,1.4098,5.7038,0.1125,0.4869,-0.0,2.0781,7.7759,0.5463,0.1823,-1.166,1.2617,-0.5028,-0.5711,-0.6445,-0.2015,0.0216,8.7632,-0.6332,-0.0,0.4413,0.273,-0.0808,-0.1284,-0.0372
DR 14,25.8313,6.1012,0.0,-2.4937,-4.2503,-0.9719,0.1487,0.0,-0.4015,0.1487,-0.724,0.0,-1.854,-0.2137,-0.273,-0.5028,-1.051,-0.975,1.1694,-0.4869,-0.2741,-1.2193,-0.4518,-0.7824,-0.5028,-0.5233,0.4015,-0.5028,-0.9719,-0.0216,-1.0148,0.0216,-0.47,-1.5842,-0.0725,-0.4413,-1.2193,-0.2466,-0.0,-0.0372
DR 2,-0.6386,-1.3312,0.0,-0.06,-0.9056,-2.8303,-1.4144,-0.4869,-0.7582,-0.1487,29.2929,3.0645,-7.765,3.3143,0.273,-0.7527,1.8256,-2.2495,-0.5233,0.4869,-0.9719,1.2193,-0.0697,-0.5463,-0.9478,1.166,0.4015,1.5163,0.2741,0.0216,-3.1152,0.1605,-0.7205,0.3006,0.0725,0.187,-0.273,0.0,-0.1284,0.0
DR 4,-0.0,0.7354,-0.2137,-0.5655,-0.3508,-0.5711,-0.6445,0.0,-1.2617,-0.1487,0.5005,1.166,1.4098,-0.4015,0.273,-1.051,-3.4447,-0.975,0.5233,0.4869,-0.2741,0.5953,1.4992,-2.7677,0.9478,2.0349,0.7582,1.5163,0.9719,0.2573,-1.0148,-0.1605,0.2517,1.051,0.0725,-0.4413,-0.273,-0.0,-0.3219,-0.3006
DR 40,-0.0,0.3006,0.0,-0.5655,0.5897,0.5711,0.6445,0.0,0.1284,0.1487,0.06,0.06,4.3109,0.4015,0.0973,0.7527,0.2985,1.7651,0.5233,0.0,0.5711,0.5953,-0.0697,0.7824,0.5028,0.2956,1.8808,-0.0,0.0725,0.0216,1.9105,0.0216,0.1067,0.3006,0.0,0.187,0.5179,-16.6268,0.5953,-0.3006
DR 11,-16.1484,-4.4403,0.2137,1.166,0.9056,0.2741,-1.4144,0.0,1.2617,0.1487,-0.0,-0.1771,-0.2517,0.2137,-0.0,0.7527,0.7527,0.6744,-1.1694,-0.4869,0.0725,-0.5953,-0.0,1.8167,-0.5028,0.2956,-1.8808,0.1823,0.5711,0.2573,1.0148,-0.0216,-0.0,1.051,-0.0,-0.4413,0.5179,-0.0,0.5953,0.3006
DR 57,0.0,0.3006,0.0,0.1771,1.2757,-0.5711,0.1487,0.0,0.7582,0.6445,0.1568,-0.06,-2.3619,1.2757,-0.0,2.8427,5.5391,-2.2495,0.5233,0.0,0.9719,0.8849,-0.0,0.7824,-1.5163,-2.0349,0.7582,0.5028,-1.4537,-0.6445,1.0148,0.7012,-1.0285,-1.051,0.0725,-0.187,0.5179,-0.0,-0.0,0.0
DR 27,0.1801,0.3006,0.0,-0.1771,0.5897,0.5711,0.1487,-0.4869,-1.8808,0.6445,-0.1568,-1.166,1.4098,-1.2757,-0.5179,-26.6135,-7.2279,-2.2495,0.1125,0.4869,-0.0,-0.5953,-0.216,-7.6918,0.1823,-1.166,0.1284,0.1823,0.2741,0.6445,-0.6791,-2.1366,-0.7205,-1.051,0.0725,1.1694,-1.2193,0.0,-0.3219,0.0
DR 42,0.3785,-0.7354,0.0,0.3508,-0.9056,0.2741,0.1487,0.0,2.6384,0.1487,-0.0,-1.166,-3.5923,0.0787,0.273,-0.7527,-1.4098,1.7651,0.5233,-0.4869,0.5711,-2.0781,0.0697,2.7677,-0.5028,0.789,-0.4015,0.5028,0.9719,0.2573,1.0148,0.1605,-0.7205,0.6332,-0.5711,0.4413,-0.0,-0.0,-0.0,0.0372
DR 41,3.6541,4.4403,0.0,0.06,2.2369,0.2741,0.1487,0.0,-1.8808,0.6445,2.1005,0.1771,-2.9497,-0.4015,0.5179,-0.5028,-1.8256,-1.3391,1.1694,-0.4869,-0.5711,-3.1763,-0.0,-0.7824,-0.1823,-1.5528,1.2617,0.9478,0.5711,-0.0216,-1.4144,-0.0,-0.0,-0.3006,0.5711,-0.7545,-0.0973,-0.0,0.3219,0.0
DR 24,1.3437,0.7354,0.0,-2.4937,-24.4393,-3.657,0.6445,-0.4869,-0.7582,-0.6445,-1.6865,-5.9251,-5.9215,0.639,-4.4403,1.051,-1.051,-2.2495,0.5233,-0.4869,-0.0,-7.9357,-5.7496,-0.3508,-0.0,-0.789,0.7582,-0.1823,-0.5711,0.6445,0.2015,0.0216,-4.3109,-0.6332,-0.5711,-0.187,0.0973,-0.0,-0.1284,-0.3006
DR 36,-0.0,0.0372,0.0,-1.166,0.9056,-1.4537,0.6445,-0.4869,-1.8808,1.4144,0.3006,-1.9839,-2.9497,-1.2757,0.273,-20.1547,-4.7865,-1.7651,3.451,0.4869,0.2741,0.5953,-0.4518,-3.3158,0.5028,0.2956,0.4015,0.1823,0.5711,0.6445,0.4119,-0.4015,-1.854,0.0877,0.0725,-0.4413,-0.8186,0.0,-0.1284,-0.3006
DR 44,-2.3521,-3.139,-0.8059,1.166,-0.3508,0.5711,-1.4144,0.4869,0.4015,-0.6445,-0.1568,-0.5655,-2.3619,0.4015,0.0,0.2985,-0.5028,1.7651,-2.1005,-0.4869,0.5711,-0.8849,-0.0697,1.0839,-0.5028,0.5233,-0.7582,0.1823,0.9719,-0.6445,4.6337,0.1605,0.2517,1.5842,0.0725,0.187,1.2193,-0.0,0.9539,-0.0372
DR 26,-1.8131,-1.3312,0.2137,5.9251,2.8427,0.9719,-1.4144,0.4869,0.7582,-1.4144,0.1568,3.0645,3.5923,0.2137,1.6865,0.5028,0.7527,2.8318,-2.1005,-0.4869,-0.2741,0.5953,2.606,1.8167,0.5028,-0.5233,-2.6384,-0.1823,-0.5711,-0.0216,1.9105,0.0216,3.5923,0.3006,0.0725,-0.4413,0.273,-0.0,0.3219,0.3006
DR 49,-0.0,0.7354,-0.2137,-3.6704,-5.0678,0.5711,0.6445,0.0,-3.5572,0.1487,-9.9623,-1.9839,2.3619,-3.3143,-0.5179,-0.7527,-4.0793,2.2495,0.1125,-0.4869,0.5711,-5.3064,-0.7251,0.7824,0.1823,-8.311,0.1284,-0.5028,-0.2741,-0.6445,1.9105,-0.4015,0.1067,0.3006,0.0,-0.7545,-0.273,-0.0,-0.1284,-0.7354
DR 47,0.1801,-0.3006,0.0,0.3508,0.9056,-0.2741,1.4144,0.0,3.5572,-0.6445,0.5005,0.3508,6.8176,0.4015,0.0973,-0.7527,1.8256,-1.7651,-1.1694,0.4869,0.9719,1.6046,0.216,0.7824,1.5163,-0.789,0.7582,-0.0,-0.5711,-0.0216,-3.8277,-0.4015,0.1067,-0.0877,-0.0725,0.4413,0.5179,0.0808,0.1284,0.0372
DR 54,-0.0463,0.7354,0.2137,-1.166,0.3508,-0.2741,0.6445,0.0,0.7582,1.4144,-0.5005,-0.3508,-4.3109,1.6865,-0.5179,4.0793,2.2869,-0.6744,1.1694,-0.4869,0.5711,0.5953,0.216,0.3508,-0.9478,1.166,-2.6384,-0.1823,-0.9719,-0.2573,-1.4144,0.1605,-0.1067,1.051,0.2741,-0.7545,-0.8186,-0.0,-0.1284,0.0372
DR 31,-0.6386,-0.7354,0.2137,3.0645,-0.5897,-1.4537,-0.6445,0.0,-1.8808,-0.1487,-0.1568,3.6704,13.5505,-0.9329,2.8882,-3.4447,1.4098,2.2495,0.5233,0.0,0.0725,1.2193,4.8489,1.8167,1.5163,-0.5233,0.1284,-0.9478,-0.9719,-0.2573,1.0148,-0.4015,0.7205,0.0877,-0.0,1.1694,0.0973,-0.0,-0.5953,0.7354
