# shared_genes | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP16_MES_GLIOMA,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP24_CILIA,MP25_ASTROCYTES,MP26_NPC_GLIOMA,MP27_OLIGO_PROGENITOR,MP28_OLIGO_NORMAL,MP29_NPC_OPC,MP30_PDAC_CLASSICAL,MP31_ALVEOLAR,MP40_PDAC_RELATED,MP32_SKIN_PIGMENTATION,MP33_RBCS,MP34_PLATELET_ACTIVATION,MP35_HEMATO_RELATED_1,MP36_IG,MP37_HEMATO_RELATED_2,MP41_UNASSIGNED
MP25_ASTROCYTES,0,0,0,3,3,1,0,0,1,0,5,4,1,2,4,1,8,0,0,0,1,5,0,2,1,49,0,4,2,0,0,0,2,3,1,2,1,0,0,0
MP26_NPC_GLIOMA,0,1,0,0,1,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,1,0,1,0,0,49,0,1,4,0,0,0,1,0,0,0,0,1,0
MP27_OLIGO_PROGENITOR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,48,6,3,0,0,0,1,1,0,0,0,0,0
MP28_OLIGO_NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,1,6,47,1,1,2,1,3,1,3,0,0,0,0
MP29_NPC_OPC,0,0,2,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,4,3,1,49,0,0,0,0,0,0,0,1,2,3
MP30_PDAC_CLASSICAL,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,7,0,0,2,0,0,9,3,0,0,0,1,0,49,2,7,2,1,0,2,0,1,0
MP31_ALVEOLAR,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,4,1,0,1,0,0,5,0,0,0,0,2,0,2,49,1,0,0,0,1,0,0,0
MP40_PDAC_RELATED,0,0,0,0,3,0,1,1,0,0,1,9,8,0,4,2,4,12,0,0,0,3,4,4,0,2,0,0,1,0,7,1,50,2,0,0,0,0,0,0
MP32_SKIN_PIGMENTATION,0,0,0,0,1,1,0,1,1,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,3,1,1,3,0,2,0,2,49,1,0,0,0,0,0
MP33_RBCS,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,49,2,0,0,5,0
MP34_PLATELET_ACTIVATION,0,0,0,0,0,0,0,0,1,0,2,2,3,0,2,0,3,0,0,1,0,2,1,1,0,2,0,0,3,0,0,0,0,0,2,49,0,0,7,0
MP35_HEMATO_RELATED_1,0,0,0,2,0,0,0,0,0,0,1,0,2,2,1,3,1,1,0,0,1,1,0,1,1,1,0,0,0,0,2,1,0,0,0,0,50,2,1,0
MP36_IG,0,0,0,3,1,3,0,4,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,41,0,1
MP37_HEMATO_RELATED_2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,0,0,5,7,1,0,48,0
MP41_UNASSIGNED,0,0,6,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,41
