# factor_first_hallmark_significant | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 3-,hallmark,gs_ind_0,Inflammatory Response,25/82,1.0929188834879965e-07,2.8144761573690007e-06,4.405722779635823,70.62040392912445,-,DR 3,7.584593697458866e-06,True
DR 3-,hallmark,gs_ind_0,KRAS Signaling Up,22/83,9.22032280037151e-06,0.0001106438736044,3.5652797704447634,41.33621200524255,-,DR 3,0.00034825612675501574,True
DR 3-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,22/93,6.461196396966755e-05,0.000581507675727,3.049009813715696,29.4141360018817,-,DR 3,0.0017071784975471794,True
DR 4+,hallmark,gs_ind_0,p53 Pathway,12/41,0.0004154095278364,0.0182780192248034,3.98215168817156,31.00601149959369,+,DR 4,0.007644597061781674,True
DR 4-,hallmark,gs_ind_0,Apoptosis,13/59,0.0042671553818756,0.0358441052077557,2.716645161290322,14.824210670745018,-,DR 4,0.042969956293013034,True
DR 4-,hallmark,gs_ind_0,Estrogen Response Early,14/49,0.0001808341096007,0.0075950326032333,3.8665936638598346,33.32203534510104,-,DR 4,0.003975589585114627,True
DR 4-,hallmark,gs_ind_0,Estrogen Response Late,14/64,0.0032686442862646,0.0343207650057783,2.695007034215486,15.42454928240058,-,DR 4,0.03599883573400401,True
DR 4-,hallmark,gs_ind_0,Glycolysis,11/40,0.0012931995232216,0.0181047933251027,3.644246679486606,24.23655772505855,-,DR 4,0.017714219390621677,True
DR 4-,hallmark,gs_ind_0,Oxidative Phosphorylation,4/5,0.0004483700298631,0.009415770627127,27.47328244274809,211.8160324680408,-,DR 4,0.007934289929374673,True
DR 5+,hallmark,gs_ind_0,DNA Repair,5/11,0.0026594995775354,0.0228716963668052,7.766869958685816,46.054566494324,+,DR 5,0.030454706891856673,True
DR 5+,hallmark,gs_ind_0,Glycolysis,14/40,1.4139101995007215e-05,0.0006079813857853,5.206181395113561,58.13517027878158,+,DR 5,0.0004876720209056381,True
DR 5+,hallmark,gs_ind_0,Interferon Alpha Response,11/40,0.0012931995232216,0.0169605597339386,3.644246679486606,24.23655772505855,+,DR 5,0.017714219390621677,True
DR 5+,hallmark,gs_ind_0,Myc Targets V1,5/12,0.004192769000148,0.0300481778343943,6.727536231884058,36.82918333740776,+,DR 5,0.04236903410675874,True
DR 5+,hallmark,gs_ind_0,Reactive Oxygen Species Pathway,5/10,0.001577726486878,0.0169605597339386,9.184143222506394,59.25398339743649,+,DR 5,0.02058124275223391,True
DR 5+,hallmark,gs_ind_0,mTORC1 Signaling,13/48,0.000551985177671,0.0118676813199285,3.5807323943661973,26.86261633819781,+,DR 5,0.009310203875212184,True
DR 5-,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,33/114,3.3703641003193207e-09,1.5166638451436946e-07,4.219631901840491,82.3176131905128,-,DR 5,3.4359818084671303e-07,True
DR 5-,hallmark,gs_ind_0,Myogenesis,13/47,0.000440815093826,0.0066122264073908,3.6866086956521738,28.486001648149458,-,DR 5,0.007934289929374673,True
DR 5-,hallmark,gs_ind_0,TGF-beta Signaling,4/8,0.0049190181961412,0.0442711637652715,9.142493638676845,48.58912019089625,-,DR 5,0.04663957993378323,True
DR 5-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,19/93,0.001497712048809,0.0168492605491019,2.48982195351933,16.193345442284368,-,DR 5,0.02013260537022133,True
