# confounders | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
readout,axis,rho_n_genes_by_counts,p_n_genes_by_counts,rho_pct_counts_mt,p_pct_counts_mt,rho_S_score,p_S_score,rho_G2M_score,p_G2M_score
MP2_CELL_CYCLE_G1_S,cell_cycle,-0.21615183028187898,0.0,-0.07206600971358308,2.750377665284442e-86,0.6482441966107817,0.0,0.5835308506535242,0.0
MP3_CELL_CYCLE_HMG_RICH,cell_cycle,0.36103181342876883,0.0,-0.1061830071741426,1.4301577171574853e-185,0.39382251138391433,0.0,0.3516606248991726,0.0
MP4_CHROMATIN,chromatin,0.20506556074890578,0.0,0.31148313166906566,0.0,-0.08310348309682432,3.35073045511165e-114,-0.09947918947777183,5.105503112947605e-163
MP5_STRESS,stress,0.1756099499660455,0.0,0.2841483767452796,0.0,-0.27623762059888474,0.0,-0.30417146766105313,0.0
MP6_HYPOXIA,stress,0.24024688427820692,0.0,-0.13891887646918472,0.0,0.137243899419137,9.052290334304e-310,0.08431347977961018,1.6646658255646666e-117
MP7_STRESS_IN_VITRO,stress,0.1638341341498729,0.0,0.16657467838431278,0.0,-0.26700344305728413,0.0,-0.31050168893112456,0.0
MP8_PROTEASOMAL_DEGRADATION,proteostasis,0.2607285371678985,0.0,-0.15941641823095673,0.0,0.2537261743380724,0.0,0.17979912656440913,0.0
MP9_UNFOLDED_PROTEIN_RESPONSE,proteostasis,0.3610136063603327,0.0,0.15806533440284123,0.0,0.04416234035381543,1.8280342951481255e-33,-0.013130692269851524,0.0003401179361707485
MP10_PROTEIN_MATURATION,proteostasis,0.4200963803990707,0.0,0.3055849743863999,0.0,-0.07667044081855644,1.909782786511327e-97,-0.2103413341839546,0.0
MP11_TRANSLATION_INITIATION,proteostasis,0.279279544619329,0.0,-0.001785010713126028,0.626249575026614,0.02429866858318285,3.3458194697743084e-11,-0.1739933103988063,0.0
MP12_EMT_1,emt,-0.08358049949393107,1.6921553171896059e-115,-0.10755032644983237,2.351828539329424e-190,0.09316613387231537,3.7962096862773356e-143,0.054830034034510526,1.1399361096137973e-50
MP13_EMT_2,emt,0.11761655755004193,1.6741061257564736e-227,-0.09132307663003299,1.3533222745834798e-137,0.12015540983065082,2.0739258278591777e-237,0.07479517139205079,8.117919632303735e-93
MP14_EMT_3,emt,0.2448859598681382,0.0,-0.11605671138155643,1.59544632717733e-221,0.11069065971219506,1.4036685161434811e-201,0.01936741897096494,1.2598670302484706e-07
MP15_EMT_4,emt,0.204424053123715,0.0,0.05359869669498622,1.702717702901714e-48,-0.1014918225409247,1.2432119309686139e-169,-0.2550024718326084,0.0
MP16_MES_GLIOMA,emt,0.29378380181795954,0.0,-0.011687745025347274,0.0014280269611239827,0.025889074516995625,1.6106900090356798e-12,-0.07612945920229122,4.246745564101966e-96
MP17_INTERFERON_MHC_II_1,immune,0.03337664840055638,8.327609783199296e-20,-0.1296462514500189,2.2543183675372606e-276,0.01950142376878623,1.0310692956307528e-07,-0.055784389669125474,2.1768596057151884e-52
MP18_INTERFERON_MHC_II_2,immune,0.20726367602195808,0.0,-0.07738472777880757,3.073642396440036e-99,0.05980646735373705,5.856256059732994e-60,-0.0679262135845527,7.566800407802468e-77
MP19_EPITHELIAL_SENESCENCE,senescence,0.27212152177806986,0.0,-0.010987022054045037,0.0027200225247274914,-0.08224033954888908,7.118956431212559e-112,-0.19520618303614184,0.0
MP20_MYC,metabolic,0.24828913058783086,0.0,-0.15224007622426933,0.0,0.36333305635239793,0.0,0.28507843003311295,0.0
MP21_RESPIRATION,metabolic,0.3006672686180545,0.0,-0.08038693016761732,5.84583679979503e-107,0.13868364595214352,0.0,0.10197197605004972,3.1393602859623538e-171
