# signature_gene_contribution | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
MP11_TRANSLATION_INITIATION,proteostasis,RPL22L1,0.482731,0.615091,0.050394,0.046861,0.343029,3
MP11_TRANSLATION_INITIATION,proteostasis,EIF3F,0.501901,0.60879,0.049878,0.045849,0.371743,4
MP11_TRANSLATION_INITIATION,proteostasis,IMPDH2,0.390255,0.435462,0.035677,0.04558,0.422915,5
MP11_TRANSLATION_INITIATION,proteostasis,SNHG8,0.435513,0.563322,0.046153,0.045175,0.398417,6
MP11_TRANSLATION_INITIATION,proteostasis,RSL1D1,0.430757,0.470621,0.038558,0.041687,0.382198,7
MP11_TRANSLATION_INITIATION,proteostasis,TKT,0.428165,0.486227,0.039836,0.035841,0.292952,8
MP11_TRANSLATION_INITIATION,proteostasis,EIF4B,0.406013,0.450626,0.036919,0.035561,0.360668,9
MP11_TRANSLATION_INITIATION,proteostasis,EIF3D,0.381362,0.386272,0.031647,0.034252,0.327578,10
MP11_TRANSLATION_INITIATION,proteostasis,SNHG7,0.304523,0.321647,0.026352,0.033693,0.319446,11
MP11_TRANSLATION_INITIATION,proteostasis,AHCY,0.370589,0.371207,0.030413,0.033004,0.335031,12
MP11_TRANSLATION_INITIATION,proteostasis,EIF3M,0.389087,0.397991,0.032607,0.032627,0.298001,13
MP11_TRANSLATION_INITIATION,proteostasis,APEX1,0.407531,0.412826,0.033823,0.032413,0.299514,14
MP11_TRANSLATION_INITIATION,proteostasis,MYC,0.297135,0.335383,0.027478,0.032204,0.331965,15
MP11_TRANSLATION_INITIATION,proteostasis,CCDC85B,0.318051,0.310056,0.025403,0.028838,0.293721,16
MP11_TRANSLATION_INITIATION,proteostasis,FBL,0.383969,0.43728,0.035826,0.026356,0.314815,17
MP11_TRANSLATION_INITIATION,proteostasis,EIF2A,0.322712,0.304057,0.024911,0.023778,0.254319,18
MP11_TRANSLATION_INITIATION,proteostasis,PPP1R14B,0.276178,0.263573,0.021594,0.022037,0.206539,19
MP11_TRANSLATION_INITIATION,proteostasis,EIF2S3,0.329066,0.310454,0.025435,0.021817,0.293522,20
MP11_TRANSLATION_INITIATION,proteostasis,RGS10,0.295697,0.277774,0.022758,0.019579,0.225967,21
MP11_TRANSLATION_INITIATION,proteostasis,IGBP1,0.262181,0.221867,0.018177,0.018319,0.256068,22
MP11_TRANSLATION_INITIATION,proteostasis,NOB1,0.206419,0.161875,0.013262,0.017984,0.288211,23
MP11_TRANSLATION_INITIATION,proteostasis,SRM,0.210046,0.181262,0.014851,0.016221,0.187107,24
MP11_TRANSLATION_INITIATION,proteostasis,EPB41L4A-AS1,0.162303,0.133894,0.01097,0.015857,0.30616,25
MP11_TRANSLATION_INITIATION,proteostasis,LETMD1,0.176207,0.135226,0.011079,0.015434,0.283508,26
MP11_TRANSLATION_INITIATION,proteostasis,CCNG1,0.240472,0.215455,0.017652,0.015032,0.273432,27
MP11_TRANSLATION_INITIATION,proteostasis,ABHD14B,0.197848,0.160953,0.013187,0.014965,0.269721,28
MP11_TRANSLATION_INITIATION,proteostasis,CCNB1IP1,0.20122,0.157295,0.012887,0.014875,0.268846,29
