# dim_signature_spearman | DRVI run drvi_epi_64 | 04_3 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,EMP,LIM_STEM,FMASC
DR 28,-0.1101,-0.0134,-0.1053,-0.0144,-0.0268,0.0846,0.1253,0.0325,-0.0077,-0.0209,0.2142
DR 12,0.0638,0.0431,0.1197,-0.0234,0.0683,-0.2184,-0.2762,-0.2553,0.0246,0.2079,0.0095
DR 30,-0.0349,-0.002,-0.0288,0.1153,-0.0201,0.0698,0.0483,0.0005,-0.0011,0.0224,0.0588
DR 16,-0.0162,-0.0979,0.0213,-0.2166,-0.1556,-0.2185,-0.2305,-0.1392,-0.0226,-0.0112,-0.1413
DR 13,-0.0489,-0.0309,-0.0402,-0.0453,-0.0506,0.0137,0.0096,0.0119,-0.0293,0.0316,0.0012
DR 18,-0.0574,-0.0521,-0.0988,0.0282,-0.0562,0.2161,0.2729,0.2338,-0.0099,-0.0924,0.0829
DR 61,-0.0942,-0.0551,-0.0514,-0.0997,-0.1098,-0.1604,-0.1986,-0.1755,-0.0381,0.0391,-0.0972
DR 33,-0.0375,-0.0277,-0.0368,-0.0653,-0.0582,-0.0178,0.0148,0.0276,-0.0065,-0.0234,-0.0093
DR 55,-0.1238,-0.1468,-0.0991,-0.1423,-0.1445,-0.129,-0.1032,-0.0731,0.0562,0.0156,0.015
DR 59,-0.0011,-0.0065,0.0273,-0.0841,0.0122,-0.0729,-0.091,-0.0713,-0.0008,0.0143,-0.0815
DR 53,-0.0037,0.0429,-0.0114,0.1204,0.085,0.2117,0.2687,0.2098,0.0109,-0.216,0.1251
DR 50,-0.1991,-0.1837,-0.1799,-0.0973,-0.1309,0.0763,0.0921,0.0909,0.0172,-0.1537,0.1237
DR 1,0.0617,-0.0209,0.0284,0.0996,0.0882,0.0601,0.074,0.0898,0.0786,0.0696,0.0297
DR 9,0.027,-0.0001,0.0401,-0.0969,-0.0416,-0.1248,-0.1742,-0.1315,-0.0547,0.0434,-0.1158
DR 34,-0.045,-0.0587,-0.0628,-0.0767,-0.0309,0.0324,0.0554,0.0734,0.0429,-0.0012,-0.0119
DR 15,0.065,0.0855,0.0237,0.1269,0.1059,0.1462,0.2,0.1815,-0.0046,-0.0868,-0.0414
DR 58,0.0058,-0.0059,0.0719,0.1025,0.1174,-0.1878,-0.3244,-0.3531,-0.1036,0.0657,0.0202
DR 35,0.0666,0.0417,0.0337,0.0589,0.0425,0.1021,0.112,0.0746,0.0696,0.0383,0.115
DR 7,0.0489,-0.0057,0.0188,-0.0325,0.0163,0.008,0.0984,0.2443,-0.0279,-0.2035,-0.3226
DR 39,-0.0426,0.0257,-0.0404,-0.038,-0.0263,0.0308,0.0412,-0.0234,0.0013,0.0778,0.0945
