# convergence | DRVI run drvi_epi_64 | 04_3 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,confounder_flags
DR 14+,DR 14,+,BENPORATH_ES1,0.2666,BENPORATH_ES1,0.2666,0.6873504029124657,0.8726636,ESC_WONG,24.3208,4.77749234659096e-25,True,True,False,True,stemness,stemness,convergent,"depth,cell_cycle"
DR 14-,DR 14,-,HALLMARK_IFNG,0.1125,HALLMARK_IFNG,0.1125,0.31264959708753426,-0.8726636,ISDS,0.6173,0.24137928693729613,False,False,False,False,immune,immune,neither,none
DR 15+,DR 15,+,ESC_ASSOU,0.2,ESC_ASSOU,0.2,0.5237617086939748,0.09164137,ESC_ASSOU,0.2483,0.5645468649299897,True,False,False,False,stemness,stemness,cell_only_state_not_on_one_axis,"depth,cell_cycle"
DR 15-,DR 15,-,LIM_STEM,0.0868,LIM_STEM,0.0868,0.47623829130602524,-0.09164137,FMASC,2.7556,0.0017554966296212348,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,none
DR 16+,DR 16,+,ISDS,0.0213,ISDS,0.0213,0.4472516993055556,-0.18313509,HALLMARK_IFNA,4.6732,2.1222668969007838e-05,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,none
DR 16-,DR 16,-,ESC_ASSOU,0.2305,ESC_ASSOU,0.2305,0.5527483006944445,0.18313509,IMMUNOGENIC_CONSENSUS,0.0967,0.8003869518094971,True,False,False,False,stemness,immune,cell_only_state_not_on_one_axis,"depth,cell_cycle"
DR 17+,DR 17,+,FMASC,0.0368,FMASC,0.0368,0.5140921835069296,0.037210304,FMASC,0.0967,0.8003869518094971,False,False,False,False,stemness,stemness,neither,none
DR 17-,DR 17,-,LIM_STEM,0.1553,LIM_STEM,0.1553,0.48590781649307035,-0.037210304,HALLMARK_IFNA,1.7478,0.0178731047224837,False,True,False,False,stemness,immune,factor_only_candidate_patient_or_technical,none
DR 18+,DR 18,+,ESC_ASSOU,0.2729,ESC_ASSOU,0.2729,0.619928455475679,0.3026361,ESC_ASSOU,1.0281,0.09373461501481734,True,False,False,False,stemness,stemness,cell_only_state_not_on_one_axis,"depth,cell_cycle"
DR 18-,DR 18,-,ISDS,0.0988,ISDS,0.0988,0.380071544524321,-0.3026361,KEGG_APM,0.455,0.350751873952568,False,False,False,False,immune,immune,neither,none
DR 19+,DR 19,+,KEGG_APM,0.1692,KEGG_APM,0.1692,0.4722615592100041,-0.093002,KEGG_APM,1.1581,0.06948643007488287,False,False,False,False,immune,immune,neither,depth
DR 19-,DR 19,-,EMP,0.0187,EMP,0.0187,0.5277384407899959,0.093002,ESC_ASSOU,3.4462,0.0003579315655650388,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
