# factor_first_significant | DRVI run drvi_epi_64 | 04_3 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 3+,hallmark,gs_ind_0,E2F Targets,12/53,0.004738249092569799,0.04453954147015611,2.8115112971781024,15.047454754456218,+,DR 3,0.0464597407160167,True
DR 3+,hallmark,gs_ind_0,Estrogen Response Early,15/49,4.320330277245632e-05,0.0016761926510849665,4.278409312863784,42.996274902517925,+,DR 3,0.0012458261490384676,True
DR 3+,hallmark,gs_ind_0,Estrogen Response Late,15/64,0.0011107953964648305,0.013051845908461758,2.9566010509406735,20.11280772356416,+,DR 3,0.016015649989029285,True
DR 3+,hallmark,gs_ind_0,Glycolysis,13/40,7.132734685467942e-05,0.0016761926510849665,4.643345454545455,44.33573388785754,+,DR 3,0.00186983755556234,True
DR 3+,hallmark,gs_ind_0,p53 Pathway,12/41,0.0004154095278364417,0.006508082602770921,3.9821516881715597,31.00601149959369,+,DR 3,0.007444514250266628,True
DR 3-,helena,gs_ind_0,IMMUNOGENIC_CONSENSUS,9/13,4.227634404332841e-07,2.1138172021664203e-06,19.804757760371338,290.6635975715644,-,DR 3,2.1804969643160605e-05,True
DR 3-,helena,gs_ind_0,KEGG_APM,13/25,1.2120950461932075e-07,1.2120950461932074e-06,10.30176,164.063206369783,-,DR 3,7.254274502877083e-06,True
DR 3-,hallmark,gs_ind_0,Allograft Rejection,26/89,1.5635978652050002e-07,2.8144761573690007e-06,4.1552918349389705,65.11801947663723,-,DR 3,9.100426474183965e-06,True
DR 3-,hallmark,gs_ind_0,Complement,14/66,0.004409050499134496,0.03174516359376837,2.589378271415805,14.04503611479543,-,DR 3,0.044737538587822506,True
DR 3-,hallmark,gs_ind_0,Inflammatory Response,25/82,1.0929188834879965e-07,2.8144761573690007e-06,4.405722779635823,70.62040392912445,-,DR 3,6.86482910578995e-06,True
DR 3-,hallmark,gs_ind_0,KRAS Signaling Up,22/83,9.22032280037151e-06,0.00011064387360445813,3.5652797704447634,41.33621200524255,-,DR 3,0.00035026184338656803,True
DR 3-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,22/93,6.461196396966755e-05,0.000581507675727008,3.049009813715696,29.4141360018817,-,DR 3,0.0018057193807205767,True
DR 4+,helena,gs_ind_0,LIM_STEM,28/160,0.0015889294965575856,0.01747822446213344,2.0804922067268254,13.408137227292794,+,DR 4,0.0202889392935643,True
DR 4+,hallmark,gs_ind_0,p53 Pathway,12/41,0.0004154095278364417,0.018278019224803436,3.9821516881715597,31.00601149959369,+,DR 4,0.007444514250266628,True
DR 4-,hallmark,gs_ind_0,Apoptosis,13/59,0.0042671553818756855,0.03584410520775576,2.7166451612903226,14.824210670745018,-,DR 4,0.04373317244365,True
DR 4-,hallmark,gs_ind_0,Estrogen Response Early,14/49,0.0001808341096007929,0.0075950326032333025,3.8665936638598346,33.32203534510104,-,DR 4,0.0039288068195459935,True
DR 4-,hallmark,gs_ind_0,Estrogen Response Late,14/64,0.0032686442862646012,0.03432076500577831,2.695007034215486,15.42454928240058,-,DR 4,0.035027498905511205,True
DR 4-,hallmark,gs_ind_0,Glycolysis,11/40,0.0012931995232216237,0.018104793325102734,3.644246679486606,24.23655772505855,-,DR 4,0.017873764216379043,True
DR 4-,hallmark,gs_ind_0,Oxidative Phosphorylation,4/5,0.00044837002986319467,0.009415770627127088,27.47328244274809,211.81603246804076,-,DR 4,0.007646396423258352,True
DR 5+,helena,gs_ind_0,HALLMARK_IFNA,11/40,0.0012931995232216237,0.008584188040673632,3.644246679486606,24.23655772505855,+,DR 5,0.017873764216379043,True
DR 5+,helena,gs_ind_0,ISDS,6/15,0.002146047010168408,0.008584188040673632,6.302124205114328,38.72105608064646,+,DR 5,0.025026695280346286,True
DR 5+,hallmark,gs_ind_0,DNA Repair,5/11,0.002659499577535494,0.022871696366805246,7.766869958685816,46.054566494324,+,DR 5,0.029756376225547044,True
