run_accession	sample_accession	sample_title	library_strategy	library_source	library_selection	library_name	experiment_title	fastq_md5	fastq_ftp
SRR26541010	SAMN38001603	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h12C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	11a205fa44a14107649a7fe726b5169f;d22367dfa74f2e4fa72c8b8e8a4cd47f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/010/SRR26541010/SRR26541010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/010/SRR26541010/SRR26541010_2.fastq.gz
SRR26541012	SAMN38001602	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h12B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	a63c13d38dbebb18d301b699779f1ee0;0a5ced4d9e014611bdb4573139237b43	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/012/SRR26541012/SRR26541012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/012/SRR26541012/SRR26541012_2.fastq.gz
SRR26541014	SAMN38001601	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h12A_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	8b00002bdcaaf990fda66327df0381dd;879942f3288625168fd9c88865ef574c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/014/SRR26541014/SRR26541014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/014/SRR26541014/SRR26541014_2.fastq.gz
SRR26541017	SAMN38001572	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h02B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	ecc501dc08dc3effeeb3e8b77dfe74f3;c5bcca9ee8dfac788595f5043b08c19c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/017/SRR26541017/SRR26541017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/017/SRR26541017/SRR26541017_2.fastq.gz
SRR26541018	SAMN38001599	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h11B_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	452b02e7a021535aee9fb01bb7b9c483;95e0157174c321c23dc4cdc3d5ae04d1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/018/SRR26541018/SRR26541018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/018/SRR26541018/SRR26541018_2.fastq.gz
SRR26541019	SAMN38001599	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h11B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	a35235f8d46b9115a584efdb32b467fc;ffbe4b75353fa7e149db5f17f309a457	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/019/SRR26541019/SRR26541019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/019/SRR26541019/SRR26541019_2.fastq.gz
SRR26541021	SAMN38001598	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h11A_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	d2f627a003cd1ab42b16907a51f9c816;51cc6657806406201baff0e2831e0111	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/021/SRR26541021/SRR26541021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/021/SRR26541021/SRR26541021_2.fastq.gz
SRR26541023	SAMN38001597	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h10C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	a6ccf33851adf710d5cbb2f01943c8c0;d213fc955801c0a5c7c91c2f29328169	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/023/SRR26541023/SRR26541023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/023/SRR26541023/SRR26541023_2.fastq.gz
SRR26541024	SAMN38001596	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h10B_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	22ae9664743eeef85c8c1f4f0320277d;422884d2ff1c57621f6b37c03dbf01fd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/024/SRR26541024/SRR26541024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/024/SRR26541024/SRR26541024_2.fastq.gz
SRR26541026	SAMN38001595	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h10A_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	618b274f2fd3f2fe1e87a18489d1e01b;d709d402941896036932724c49e6df36	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/026/SRR26541026/SRR26541026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/026/SRR26541026/SRR26541026_2.fastq.gz
SRR26541036	SAMN38001591	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h07C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	034b2845328552ad2926c720abc312e6;3015d2c5da653158a8cb3f2b3f93449b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/036/SRR26541036/SRR26541036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/036/SRR26541036/SRR26541036_2.fastq.gz
SRR26541040	SAMN38001661	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h57A_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	884a9d666767976b4fb5b1ef3e1e4ce9;9674f385dc5ca3b8945645e07b9993fd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/040/SRR26541040/SRR26541040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/040/SRR26541040/SRR26541040_2.fastq.gz
SRR26541042	SAMN38001660	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h56C_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	a8db5b0064c9536a0e737b4cdc3e56b7;791415272a3377b68eeb590b8843838c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/042/SRR26541042/SRR26541042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/042/SRR26541042/SRR26541042_2.fastq.gz
SRR26541052	SAMN38001657	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h53C_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	38d4c2fe1018e66f623fe6dccc9d0d46;d596009863874138b3a84c31da875073	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/052/SRR26541052/SRR26541052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/052/SRR26541052/SRR26541052_2.fastq.gz
SRR26541056	SAMN38001656	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h53B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	f6a28c0ab9212e2cbab7c147ca918cb2;b9b46890e2571e399311bc8cdb30f26b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/056/SRR26541056/SRR26541056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/056/SRR26541056/SRR26541056_2.fastq.gz
SRR26541057	SAMN38001580	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h04A_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	ce82dc7ce0e7085c058c7be53b3a7134;7e30f22e6edd4145693b90f3a2851738	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/057/SRR26541057/SRR26541057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/057/SRR26541057/SRR26541057_2.fastq.gz
SRR26541060	SAMN38001648	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h47C_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	b7f13844d91a634c6fcca28ce90f74fa;7621087d38e9c350f5d635f2885ed9c1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/060/SRR26541060/SRR26541060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/060/SRR26541060/SRR26541060_2.fastq.gz
SRR26541061	SAMN38001655	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h53A_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	cf806155396342a33a41daa9dac924c7;866a5164f1a73486b35bf457b2296393	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/061/SRR26541061/SRR26541061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/061/SRR26541061/SRR26541061_2.fastq.gz
SRR26541064	SAMN38001647	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h47B_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	3a0f913a0af8be580549d853e254309a;b8146310cdfb3aece286e7d92ef41a8f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/064/SRR26541064/SRR26541064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/064/SRR26541064/SRR26541064_2.fastq.gz
SRR26541065	SAMN38001647	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h47B_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	37cf75946a0071f71728ecdb43f28e53;70da2399b1f8171fa36a5227219ffbb4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/065/SRR26541065/SRR26541065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/065/SRR26541065/SRR26541065_2.fastq.gz
SRR26541068	SAMN38001646	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h47A_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	b225b5b7ed8a640d699d117ab837b065;06bf2e1b34b545d4a463718df1498c6b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/068/SRR26541068/SRR26541068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/068/SRR26541068/SRR26541068_2.fastq.gz
SRR26541070	SAMN38001577	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h03B2_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	41de470851a6a4d7fb22d48a0b885f47;caeb368a585f2bc336bc8f67bf150bb1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/070/SRR26541070/SRR26541070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/070/SRR26541070/SRR26541070_2.fastq.gz
SRR26541075	SAMN38001644	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h46B_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	e18fa950ba6c8dcae8e3b6a60a269446;aca5b205867f675dd4f4c30d0a634739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/075/SRR26541075/SRR26541075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/075/SRR26541075/SRR26541075_2.fastq.gz
SRR26541077	SAMN38001644	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h46B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	56717d20779a43863ccebaa343acf8c3;26c64921f6da24b788ab8a214c6d553f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/077/SRR26541077/SRR26541077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/077/SRR26541077/SRR26541077_2.fastq.gz
SRR26541078	SAMN38001643	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h46A_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	eba8116d5772b463a6b998676de1f2c7;ed1299e91dae51f1071203df6883403b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/078/SRR26541078/SRR26541078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/078/SRR26541078/SRR26541078_2.fastq.gz
SRR26541080	SAMN38001642	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h45C_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	8b92ec0c6aa65b24b46f557471e5536f;118c65f28c2965486e6d6fcf405f7daf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/080/SRR26541080/SRR26541080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/080/SRR26541080/SRR26541080_2.fastq.gz
SRR26541082	SAMN38001642	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h45C_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	2172bbd9a23d7d37b251814a45f48b63;e073a9e1c8f271633173cc39f22bfc06	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/082/SRR26541082/SRR26541082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/082/SRR26541082/SRR26541082_2.fastq.gz
SRR26541085	SAMN38001641	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h45B_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	9f163f551d9cdd32680e9bc4914f5da7;f24cea38b838e437fd1b2f1ff089d227	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/085/SRR26541085/SRR26541085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/085/SRR26541085/SRR26541085_2.fastq.gz
SRR26541086	SAMN38001641	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h45B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	e9fb4d5b4840e28340dd374f9d7da40d;bf3ed0e214d88a5023524aae3a175ba1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/086/SRR26541086/SRR26541086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/086/SRR26541086/SRR26541086_2.fastq.gz
SRR26541092	SAMN38001576	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h03B1_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	e27db83d4bfcfd91cec81c7eacdf0d73;7809baf1ecaa1c32e7fa2c9e1e5fb9c4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/092/SRR26541092/SRR26541092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/092/SRR26541092/SRR26541092_2.fastq.gz
SRR26541100	SAMN38001636	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h42C_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	15d603f213b57ba8be04ad1e26e22409;34181e82a6cca70de756420f86a6c361	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/000/SRR26541100/SRR26541100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/000/SRR26541100/SRR26541100_2.fastq.gz
SRR26541102	SAMN38001669	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h64C_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	76f3a910827b74fa28541ebfa2ae9c06;242bfbb256373821194a15df6e86dccd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/002/SRR26541102/SRR26541102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/002/SRR26541102/SRR26541102_2.fastq.gz
SRR26541103	SAMN38001636	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h42C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	87de35cd63b9e99e107d1d47d61a1d39;7d3270bb0fb5022b173e40e15e6b9ecd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/003/SRR26541103/SRR26541103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/003/SRR26541103/SRR26541103_2.fastq.gz
SRR26541104	SAMN38001582	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h04C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	3eec3e68b8f2fe504c8e466fb6d496af;0ee1a1a0762b8dccd11add8f172a1d73	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/004/SRR26541104/SRR26541104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/004/SRR26541104/SRR26541104_2.fastq.gz
SRR26541105	SAMN38001669	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h64C_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	6f4dd582553d226672564d0f27a94df5;6592d6070ab03b82012db46e9afac77d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/005/SRR26541105/SRR26541105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/005/SRR26541105/SRR26541105_2.fastq.gz
