# convergence | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 12-,DR 12,-,MP8_PROTEASOMAL_DEGRADATION,0.2024,MP8_PROTEASOMAL_DEGRADATION,0.2024,MP14_EMT_3,4.3505,4.461696245809641e-05,True,True,False,False,proteostasis,emt,both_routes_different_family,False,none
DR 13+,DR 13,+,MP7_STRESS_IN_VITRO,0.0714,MP7_STRESS_IN_VITRO,0.0714,MP41_UNASSIGNED,0.7445,0.1800943134441921,False,False,False,False,stress,unassigned,neither,False,cell_cycle
DR 13-,DR 13,-,MP23_SECRETED_2,0.1401,MP23_SECRETED_2,0.1401,MP14_EMT_3,13.6089,2.4609341899525838e-14,False,True,False,False,secreted,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 14+,DR 14,+,MP2_CELL_CYCLE_G1_S,0.5793,MP2_CELL_CYCLE_G1_S,0.5793,MP2_CELL_CYCLE_G1_S,25.899,1.261827534590668e-26,True,True,True,True,cell_cycle,cell_cycle,convergent,False,cell_cycle
DR 14-,DR 14,-,MP15_EMT_4,0.1817,MP15_EMT_4,0.1817,MP6_HYPOXIA,4.2901,5.127433068882606e-05,False,True,False,False,emt,stress,factor_only_candidate_patient_or_technical,False,none
DR 15+,DR 15,+,MP11_TRANSLATION_INITIATION,0.1284,MP11_TRANSLATION_INITIATION,0.1284,MP14_EMT_3,4.3505,4.461696245809641e-05,False,True,False,False,proteostasis,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 15-,DR 15,-,MP33_RBCS,0.1663,MP33_RBCS,0.1663,MP12_EMT_1,11.0358,9.208735520633067e-12,False,True,False,False,other_lineage,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 16+,DR 16,+,MP21_RESPIRATION,0.1111,MP21_RESPIRATION,0.1111,MP14_EMT_3,5.9697,1.0722597402590898e-06,False,True,False,False,metabolic,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 16-,DR 16,-,MP5_STRESS,0.2233,MP5_STRESS,0.2233,MP5_STRESS,2.5258,0.00297988840281942,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 17+,DR 17,+,MP23_SECRETED_2,0.1108,MP23_SECRETED_2,0.1108,MP23_SECRETED_2,2.2803,0.005244450612819533,False,True,False,False,secreted,secreted,factor_only_candidate_patient_or_technical,False,none
DR 17-,DR 17,-,MP12_EMT_1,0.1629,MP12_EMT_1,0.1629,MP39_METAL_RESPONSE,3.2137,0.0006113641945007669,False,True,False,False,emt,detoxification,factor_only_candidate_patient_or_technical,False,none
DR 18+,DR 18,+,MP3_CELL_CYCLE_HMG_RICH,0.1763,MP3_CELL_CYCLE_HMG_RICH,0.1763,MP10_PROTEIN_MATURATION,3.5905,0.0002567438208106129,False,True,False,False,cell_cycle,proteostasis,factor_only_candidate_patient_or_technical,False,depth
