# dim_geneset_signed_significance | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP25_ASTROCYTES,MP33_RBCS,MP36_IG,MP41_UNASSIGNED
DR 5,0.6469,0.7445,-0.2139,-2.5258,1.7471,0.9835,0.6543,0.4893,0.7661,0.1429,-6.5089,-5.1679,5.1287,-6.4094,1.4269,-1.0721,4.934,0.5309,-0.4893,0.2744,-1.6312,-0.7344,1.842,-5.5303,-0.0656,-0.0,-0.0359
DR 29,0.0,-0.2997,-0.2139,0.8369,2.2647,-0.9835,0.1429,0.4893,-0.3979,-0.1429,0.7338,19.8848,17.7105,0.0713,-0.1398,1.4269,5.7528,0.1092,0.4893,-0.0,2.1098,7.8279,0.5502,-1.1865,-0.0,-0.0727,-0.0359
DR 14,25.899,6.1481,0.0,-2.5258,-4.2901,-0.9835,0.1429,0.0,-0.3979,0.1429,-0.7338,0.0,-1.8782,-0.2139,-0.5053,-1.0721,-0.9912,1.187,-0.4893,-0.2744,-1.2377,-0.4543,-0.7928,-0.5309,-0.0656,-0.2427,-0.0359
DR 2,-0.6469,-1.3519,0.0,-0.056,-0.9134,-2.8602,-1.4307,-0.4893,-0.7661,-0.1429,29.3607,3.0982,-7.8123,3.3505,-0.7597,1.8507,-2.2803,-0.5309,0.4893,-0.9835,1.2377,-0.0633,-0.5502,1.1865,0.0656,0.0,0.0
DR 4,-0.0,0.7445,-0.2139,-0.5688,-0.3513,-0.5732,-0.6543,0.0,-1.283,-0.1429,0.4976,1.1865,1.4269,-0.4015,-1.0721,-3.4804,-0.9912,0.5309,0.4893,-0.2744,0.6,1.5206,-2.798,2.0672,0.0656,-0.0,-0.2997
DR 40,-0.0,0.2997,0.0,-0.5688,0.5948,0.5732,0.6543,0.0,0.1215,0.1429,0.056,0.056,4.3505,0.4015,0.7597,0.2979,1.7917,0.5309,0.0,0.5732,0.6,-0.0633,0.7928,0.2957,0.0,-16.6946,-0.2997
DR 11,-16.202,-4.4821,0.2139,1.1865,0.9134,0.2744,-1.4307,0.0,1.283,0.1429,-0.0,-0.1703,-0.2457,0.2139,0.7597,0.7597,0.6821,-1.187,-0.4893,0.0656,-0.6,-0.0,1.842,0.2957,-0.0,-0.0,0.2997
DR 57,0.0,0.2997,0.0,0.1703,1.2986,-0.5732,0.1429,0.0,0.7661,0.6543,0.1488,-0.056,-2.391,1.2986,2.8752,5.5885,-2.2803,0.5309,0.0,0.9835,0.8946,-0.0,0.7928,-2.0672,0.0656,-0.0,0.0
DR 27,0.1728,0.2997,0.0,-0.1703,0.5948,0.5732,0.1429,-0.4893,-1.9056,0.6543,-0.1488,-1.1865,1.4269,-1.2986,-26.6813,-7.273,-2.2803,0.1092,0.4893,-0.0,-0.6,-0.2139,-7.74,-1.1865,0.0656,0.0,0.0
DR 42,0.375,-0.7445,0.0,0.3513,-0.9134,0.2744,0.1429,0.0,2.6666,0.1429,-0.0,-1.1865,-3.6277,0.0713,-0.7597,-1.4269,1.7917,0.5309,-0.4893,0.5732,-2.1098,0.0633,2.798,0.7986,-0.5732,-0.0,0.0359
DR 41,3.6937,4.4821,0.0,0.056,2.2647,0.2744,0.1429,0.0,-1.9056,0.6543,2.1321,0.1703,-2.9832,-0.4015,-0.5053,-1.8507,-1.3588,1.187,-0.4893,-0.5732,-3.2137,-0.0,-0.7928,-1.5791,0.5732,-0.0,0.0
DR 24,1.3627,0.7445,0.0,-2.5258,-24.507,-3.6965,0.6543,-0.4893,-0.7661,-0.6543,-1.7125,-5.9727,-5.9697,0.6471,1.0721,-1.0721,-2.2803,0.5309,-0.4893,-0.0,-7.9873,-5.7979,-0.3513,-0.7986,-0.5732,-0.0,-0.2997
DR 36,-0.0,0.0359,0.0,-1.1865,0.9134,-1.473,0.6543,-0.4893,-1.9056,1.4307,0.2997,-2.0173,-2.9832,-1.2986,-20.2224,-4.8328,-1.7917,3.4854,0.4893,0.2744,0.6,-0.4543,-3.3517,0.2957,0.0656,0.0,-0.2997
DR 44,-2.3814,-3.1772,-0.8144,1.1865,-0.3513,0.5732,-1.4307,0.4893,0.3979,-0.6543,-0.1488,-0.5688,-2.391,0.4015,0.2979,-0.5053,1.7917,-2.1321,-0.4893,0.5732,-0.8946,-0.0633,1.1038,0.5309,0.0656,-0.0,-0.0359
DR 26,-1.8385,-1.3519,0.2139,5.9727,2.8752,0.9835,-1.4307,0.4893,0.7661,-1.4307,0.1488,3.0982,3.6277,0.2139,0.5053,0.7597,2.8646,-2.1321,-0.4893,-0.2744,0.6,2.6361,1.842,-0.5309,0.0656,-0.0,0.2997
DR 49,-0.0,0.7445,-0.2139,-3.7093,-5.1125,0.5732,0.6543,0.0,-3.5905,0.1429,-10.0226,-2.0173,2.391,-3.3505,-0.7597,-4.1207,2.2803,0.1092,-0.4893,0.5732,-5.3514,-0.7344,0.7928,-8.3605,0.0,-0.0,-0.7445
DR 47,0.1728,-0.2997,0.0,0.3513,0.9134,-0.2744,1.4307,0.0,3.5905,-0.6543,0.4976,0.3513,6.865,0.4015,-0.7597,1.8507,-1.7917,-1.187,0.4893,0.9835,1.6312,0.2139,0.7928,-0.7986,-0.0656,0.0727,0.0359
DR 54,-0.0427,0.7445,0.2139,-1.1865,0.3513,-0.2744,0.6543,0.0,0.7661,1.4307,-0.4976,-0.3513,-4.3505,1.7125,4.1207,2.3167,-0.6821,1.187,-0.4893,0.5732,0.6,0.2139,0.3513,1.1865,0.2744,-0.0,0.0359
DR 31,-0.6469,-0.7445,0.2139,3.0982,-0.5948,-1.473,-0.6543,0.0,-1.9056,-0.1429,-0.1488,3.7093,13.6089,-0.939,-3.4804,1.4269,2.2803,0.5309,0.0,0.0656,1.2377,4.8944,1.842,-0.5309,-0.0,-0.0,0.7445
DR 37,-0.0427,0.2997,-0.2139,-2.0173,2.8752,0.5732,0.6543,0.0,-1.9056,-0.6543,4.3505,9.7302,9.9163,-0.4015,-0.5053,1.4269,0.6821,0.1092,0.4893,-0.2744,2.6361,0.7344,0.0688,2.0672,-0.2744,0.0,-0.2997
DR 43,1.8385,2.1467,0.2139,1.1865,-0.3513,2.1128,-0.6543,-0.4893,-1.283,0.6543,0.1488,-2.5258,-5.9697,-0.939,-2.8752,-2.8752,-17.1541,0.5309,-0.4893,-0.2744,2.1098,-0.4543,-6.0834,1.5791,-0.2744,-0.0,0.0359
DR 8,3.0093,3.1772,0.2139,0.3513,1.2986,0.0656,1.4307,-0.4893,0.3979,1.4307,-0.0,-2.5258,-13.6089,-0.0,0.5053,0.7597,-17.1541,0.5309,-0.4893,-0.0656,-2.1098,-1.0971,-2.2803,0.7986,-0.0,0.0,0.0359
DR 22,-0.0427,0.7445,0.2139,-0.0,1.2986,-0.2744,-0.6543,0.0,-1.283,-1.4307,0.7338,0.3513,-4.3505,-0.4015,-0.0,-1.4269,-0.6821,-1.187,0.4893,-0.2744,0.3701,-0.7344,-0.7928,1.5791,-0.0,0.0,0.2997
DR 46,-0.1728,-0.7445,0.2139,-0.0,2.2647,-0.2744,-0.6543,-0.4893,1.283,0.6543,0.4976,0.3513,-2.391,0.0713,-4.8328,1.8507,-1.3588,1.187,0.0,-0.9835,2.1098,0.0633,-0.3513,6.4204,0.0656,0.0,0.0
DR 17,0.1728,-0.2997,0.0,0.5688,-1.7471,-0.2744,-0.1429,0.0,1.283,-0.6543,-1.0119,-0.8369,-2.9832,-0.939,-2.8752,-1.0721,1.3588,-1.187,0.0,0.2744,-3.2137,-0.2139,2.2803,-1.5791,-0.2744,-0.0,0.0359
DR 19,-2.3814,1.3519,0.2139,35.1821,0.9134,3.6965,-0.1429,-0.4893,1.283,-0.6543,-0.4976,-0.3513,-1.8782,0.2139,0.0359,0.1398,0.2291,-2.1321,-0.4893,-0.0656,0.8946,4.0641,0.7928,0.5309,0.0656,0.2427,0.2997
