# factor_first_significant | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,lab,gs_ind_0,MP10_PROTEIN_MATURATION,6/13,0.0008738731352655757,0.0032998189297859404,7.991602399314481,56.281462040462216,+,DR 1,0.012428417923777076,True
DR 1+,lab,gs_ind_0,MP12_EMT_1,16/47,5.057843930604054e-06,2.6553680635671286e-05,5.023744999354755,61.26241139381469,+,DR 1,0.00020020124409652032,True
DR 1+,lab,gs_ind_0,MP14_EMT_3,10/33,0.0009428054085102686,0.0032998189297859404,4.16904004020774,29.04424550712454,+,DR 1,0.013236880493272376,True
DR 1+,lab,gs_ind_0,MP18_INTERFERON_MHC_II_2,20/39,5.058600851559426e-11,1.0623061788274795e-09,10.375949996448611,245.98623757233398,+,DR 1,6.647675999062627e-09,True
DR 1+,lab,gs_ind_0,MP25_ASTROCYTES,16/31,4.374399042453471e-09,4.593118994576145e-08,10.301862050878574,198.2850557075752,+,DR 1,3.798578778239314e-07,True
DR 1+,lab,gs_ind_0,MP39_METAL_RESPONSE,16/36,6.731188405582002e-08,4.7118318839074015e-07,7.767400356930398,128.27029826205302,+,DR 1,4.4525230151286045e-06,True
DR 1+,hallmark,gs_ind_0,Coagulation,12/52,0.004011479179753746,0.057497868243137025,2.8825686871663883,15.90772981557226,+,DR 1,0.039340436612589964,True
DR 1+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,28/114,2.6301966850553997e-06,0.00011309845745738219,3.2747423975873335,42.07537027649923,+,DR 1,0.00011173801089614664,True
DR 1+,hallmark,gs_ind_0,Myogenesis,15/47,2.4747288817396626e-05,0.0005320667095740274,4.546838067592785,48.227377542811446,+,DR 1,0.0007391190260129126,True
DR 1-,lab,gs_ind_0,MP14_EMT_3,9/33,0.003807834545464743,0.021895048636422273,3.5971119518303403,20.038412169513247,-,DR 1,0.0374177639881361,True
DR 1-,lab,gs_ind_0,MP22_SECRETED_1,12/26,1.9872335795739027e-06,2.2853186165099883e-05,8.170218604225738,107.26489678134641,-,DR 1,8.628270555189597e-05,True
DR 1-,lab,gs_ind_0,MP5_STRESS,28/37,9.367854465177793e-22,2.1546065269908923e-20,31.156521739130437,1508.5859447199553,-,DR 1,4.0143292873387967e-19,True
DR 1-,lab,gs_ind_0,MP7_STRESS_IN_VITRO,6/16,0.0031514828378030346,0.021895048636422273,5.698739135757131,32.82406608056813,-,DR 1,0.033652237106594485,True
DR 1-,hallmark,gs_ind_0,Androgen Response,10/25,6.840173852509236e-05,0.00046904049274349043,6.349250698501397,60.890027325039796,-,DR 1,0.001656431289688723,True
DR 1-,hallmark,gs_ind_0,Apoptosis,17/59,3.1696002737503654e-05,0.00025356802190002923,3.94598493348293,40.87772056868248,-,DR 1,0.0008874880766501024,True
DR 1-,hallmark,gs_ind_0,Estrogen Response Early,30/49,4.500282524747776e-19,2.1601356118789325e-17,16.342807729904504,690.4015299451424,-,DR 1,1.2672795589689737e-16,True
DR 1-,hallmark,gs_ind_0,Estrogen Response Late,25/64,2.954205870354879e-10,4.726729392567807e-09,6.479606188466948,142.17954318691525,-,DR 1,3.235183673135299e-08,True
DR 1-,hallmark,gs_ind_0,Hypoxia,15/61,0.0006459320302324772,0.0038755921813948633,3.152740341419587,23.15629857389903,-,DR 1,0.009749320199037206,True
DR 1-,hallmark,gs_ind_0,TGF-beta Signaling,4/8,0.004919018196141284,0.026234763712753514,9.142493638676845,48.58912019089625,-,DR 1,0.04447040149647784,True
DR 1-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,36/93,2.764305130669727e-14,6.634332313607345e-13,6.727923880005286,210.0417602857842,-,DR 1,5.140564409034119e-12,True
DR 1-,hallmark,gs_ind_0,UV Response Up,14/32,5.968869982019467e-07,7.162643978423361e-06,7.491123831606405,107.35932603676179,-,DR 1,3.036347333216459e-05,True
DR 1-,hallmark,gs_ind_0,p53 Pathway,14/41,1.9595327397435125e-05,0.0001881151430153772,5.014038508408482,54.35327760264868,-,DR 1,0.0006113933300546694,True
DR 2+,lab,gs_ind_0,MP12_EMT_1,39/47,4.421796518931309e-33,6.632694778396964e-32,51.5780367874704,3842.4998872141264,+,DR 2,4.3581226490586984e-30,True
DR 2+,lab,gs_ind_0,MP13_EMT_2,13/37,2.776013555350533e-05,0.00013880067776752663,5.220734693877551,54.77547613677655,+,DR 2,0.000797678997129296,True
DR 2+,lab,gs_ind_0,MP15_EMT_4,13/35,1.3806907719484292e-05,0.0001035518078961322,5.6912,63.68647172496206,+,DR 2,0.0004461668278138924,True
